target,subject_id,k_calibration,repeat,model,eval_n,calibration_n,calibration_stimuli,tau2_train_subject_residual,sigma2_train_within_residual,fold_rmse,fold_mae,fold_pearson
valence,1,0,0,stimulus_only,32,0,,0.13735170717592593,1.5977360488290984,1.2674798231296687,1.0580357142857144,0.8855087098137514
valence,1,1,0,stimulus_only,31,1,9331,0.13735170717592593,1.5977360488290984,1.286737943747237,1.0829493087557605,0.8865477316164654
valence,1,1,0,bias_mean,31,1,9331,0.13735170717592593,1.5977360488290984,1.4209473978901437,1.1566820276497698,0.8865477316164652
valence,1,1,0,bias_shrink1,31,1,9331,0.13735170717592593,1.5977360488290984,1.34795580730954,1.1152073732718895,0.8865477316164652
valence,1,1,0,bias_shrink2,31,1,9331,0.13735170717592593,1.5977360488290984,1.3261546931663013,1.1044546850998465,0.8865477316164652
valence,1,1,0,bias_shrink4,31,1,9331,0.13735170717592593,1.5977360488290984,1.3096994715305692,1.095852534562212,0.8865477316164652
valence,1,1,0,bias_shrink8,31,1,9331,0.13735170717592593,1.5977360488290984,1.2992341947951522,1.0901177675371225,0.8865477316164652
valence,1,1,0,bias_empirical_bayes,31,1,9331,0.13735170717592593,1.5977360488290984,1.295573580086563,1.0880564858609498,0.8865477316164654
valence,1,1,0,bias_median,31,1,9331,0.13735170717592593,1.5977360488290984,1.4209473978901437,1.1566820276497698,0.8865477316164652
valence,1,1,0,bias_huber,31,1,9331,0.13735170717592593,1.5977360488290984,1.4209473978901437,1.1566820276497698,0.8865477316164652
valence,1,1,0,bias_trimmed_mean,31,1,9331,0.13735170717592593,1.5977360488290984,1.4209473978901437,1.1566820276497698,0.8865477316164652
valence,1,1,0,affine_residual_ridge1,31,1,9331,0.13735170717592593,1.5977360488290984,1.4209473978901437,1.1566820276497698,0.8865477316164652
valence,1,1,0,affine_residual_ridge4,31,1,9331,0.13735170717592593,1.5977360488290984,1.4209473978901437,1.1566820276497698,0.8865477316164652
valence,1,1,0,kernel_residual_shrink4,31,1,9331,0.13735170717592593,1.5977360488290984,1.3081681746621574,1.0955492146537065,0.8860340641868423
