target,block,k_calibration,model,subjects,rmse_wins_vs_fewshot,rmse_losses_vs_fewshot,rmse_ties_vs_fewshot,rmse_win_margin_vs_fewshot,mean_delta_rmse_model_minus_fewshot,median_delta_rmse_model_minus_fewshot,worst_regression_delta_rmse,best_gain_delta_rmse
arousal,eeg_entropy_complexity,0,stimulus_plus_physio,63,30,33,0,-3,0.010906205949902967,0.004051792003907373,0.2822209715043311,-0.1205991161197344
arousal,eeg_entropy_complexity,1,stimulus_only,63,29,34,0,-5,0.04541906466748441,0.004358674243650995,0.530204047796393,-0.07792794598263564
arousal,eeg_entropy_complexity,1,stimulus_plus_fewshot_bias,63,7,56,0,-49,0.4719992060533751,0.5086579941168672,1.304657787438705,-0.6691262650063323
arousal,eeg_entropy_complexity,1,stimulus_plus_fewshot_bias_plus_physio,63,7,56,0,-49,0.48433941153266075,0.5242133849895287,1.2998841610364709,-0.6499913680056242
arousal,eeg_entropy_complexity,1,stimulus_plus_fewshot_bias_shrink4_plus_physio,63,29,34,0,-5,0.012082725301420823,0.00461709166541957,0.25238315515529974,-0.10698164006718458
arousal,eeg_entropy_complexity,1,stimulus_plus_physio,63,31,32,0,-1,0.056531154439057846,0.003661102034950403,0.6210019382588414,-0.13929039749766026
arousal,eeg_entropy_complexity,2,stimulus_only,63,30,33,0,-3,0.07959168368008107,0.0045712367392816144,0.8588546506710601,-0.08577737925848483
arousal,eeg_entropy_complexity,2,stimulus_plus_fewshot_bias,63,8,55,0,-47,0.2087947553847173,0.2545131013668376,0.5348009758141616,-0.6508588522752814
arousal,eeg_entropy_complexity,2,stimulus_plus_fewshot_bias_plus_physio,63,8,55,0,-47,0.22085538808420727,0.26466577197166674,0.523039595782024,-0.6337396124498444
arousal,eeg_entropy_complexity,2,stimulus_plus_fewshot_bias_shrink4_plus_physio,63,29,34,0,-5,0.012027814842370048,0.006957628162394425,0.2288778203422861,-0.09523686331324344
arousal,eeg_entropy_complexity,2,stimulus_plus_physio,63,30,33,0,-3,0.09053510395697192,0.014619293941012357,0.9485010133481637,-0.1740828505726102
arousal,eeg_entropy_complexity,4,stimulus_only,63,29,34,0,-5,0.12118900875895555,0.00607483903418915,1.2565809141261637,-0.08811149438593091
arousal,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias,63,10,53,0,-43,0.0734588408884143,0.11395363292901495,0.24034358128360545,-0.47013395684651327
arousal,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_plus_physio,63,9,54,0,-45,0.08825173125814346,0.12604886521878766,0.31980743373818554,-0.4462284563898127
arousal,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_shrink4_plus_physio,63,28,35,0,-7,0.01336430647271912,0.007916920283210782,0.2154412587128791,-0.09720148374535009
arousal,eeg_entropy_complexity,4,stimulus_plus_physio,63,28,35,0,-7,0.13232841885465327,0.035311299903221016,1.3468952135491006,-0.17438317148684623
arousal,eeg_entropy_complexity,8,stimulus_only,63,28,35,0,-7,0.16255437039180978,0.022955927213194505,1.582972210829984,-0.10107886799604304
arousal,eeg_entropy_complexity,8,stimulus_plus_fewshot_bias,63,14,49,0,-35,0.02212239020445903,0.04085512475613817,0.08656967321341202,-0.23562018631755666
arousal,eeg_entropy_complexity,8,stimulus_plus_fewshot_bias_plus_physio,63,14,49,0,-35,0.03722949824056704,0.048870429777742475,0.2550354887645183,-0.21260551595620703
arousal,eeg_entropy_complexity,8,stimulus_plus_fewshot_bias_shrink4_plus_physio,63,25,38,0,-13,0.014061123458846643,0.007755708850971876,0.22807549477939615,-0.08648701860944241
arousal,eeg_entropy_complexity,8,stimulus_plus_physio,63,27,36,0,-9,0.17361525004624467,0.04069584811382598,1.6734268006288442,-0.15694666431509252
arousal,eeg_entropy_complexity,16,stimulus_only,63,23,40,0,-17,0.1942390462882393,0.04560688807503843,1.7529013268346338,-0.0814568807349576
arousal,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias,63,13,50,0,-37,0.006407015499088842,0.014286952130354136,0.03587413444153187,-0.10501245454386554
arousal,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias_plus_physio,63,17,46,0,-29,0.020836130671556024,0.022372242973609513,0.24473301063548814,-0.07289015191216452
arousal,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias_shrink4_plus_physio,63,21,42,0,-21,0.013848895899749478,0.008499783328106858,0.23561335733861744,-0.07801974155617586
arousal,eeg_entropy_complexity,16,stimulus_plus_physio,63,23,40,0,-17,0.20469440676624046,0.0693056555972813,1.841712747270101,-0.1583638085823189
arousal,emg_bsl_stats_22,0,stimulus_only,63,0,0,63,0,0.0,0.0,0.0,0.0
arousal,emg_bsl_stats_22,0,stimulus_plus_fewshot_bias,63,0,0,63,0,0.0,0.0,0.0,0.0
arousal,emg_bsl_stats_22,0,stimulus_plus_fewshot_bias_plus_physio,63,33,30,0,3,0.6835904297374185,-0.0026291989427871254,40.50186853826674,-0.06323943693190892
arousal,emg_bsl_stats_22,0,stimulus_plus_fewshot_bias_shrink4_plus_physio,63,33,30,0,3,0.6835904297374185,-0.0026291989427871254,40.50186853826674,-0.06323943693190892
arousal,emg_bsl_stats_22,0,stimulus_plus_physio,63,33,30,0,3,0.6835904297374185,-0.0026291989427871254,40.50186853826674,-0.06323943693190892
arousal,emg_bsl_stats_22,1,stimulus_only,63,34,29,0,5,0.04514628007933507,-0.0019789277222996837,0.5709101255553106,-0.060537463805081515
arousal,emg_bsl_stats_22,1,stimulus_plus_fewshot_bias,63,6,57,0,-51,0.48789164979503946,0.5259925322333165,1.0346646771964494,-0.6678676823940422
arousal,emg_bsl_stats_22,1,stimulus_plus_fewshot_bias_plus_physio,63,5,58,0,-53,1.1717117830798482,0.5338025811979019,40.85875019892807,-0.6468465731377491
arousal,emg_bsl_stats_22,1,stimulus_plus_fewshot_bias_shrink4_plus_physio,63,34,29,0,5,0.6852692804007251,-0.002878576286659218,40.6117323426707,-0.05336994086848801
arousal,emg_bsl_stats_22,1,stimulus_plus_physio,63,34,29,0,5,0.7257493737235299,-0.0067172737194891585,40.56288422803577,-0.07429048264228055
arousal,emg_bsl_stats_22,2,stimulus_only,63,32,31,0,1,0.07654648985778181,-0.003913407463250751,0.8523839265641007,-0.1035101293635119
arousal,emg_bsl_stats_22,2,stimulus_plus_fewshot_bias,63,7,56,0,-49,0.2137858550482437,0.25255859790500645,0.5519619255077144,-0.655292557212678
arousal,emg_bsl_stats_22,2,stimulus_plus_fewshot_bias_plus_physio,63,6,57,0,-51,0.918627517519955,0.26631112445074656,41.97834217306176,-0.6493452390951111
arousal,emg_bsl_stats_22,2,stimulus_plus_fewshot_bias_shrink4_plus_physio,63,34,29,0,5,0.7028984424380864,-0.0021237883392231094,41.75958668164202,-0.05272558528460847
arousal,emg_bsl_stats_22,2,stimulus_plus_physio,63,33,30,0,3,0.7718719936349446,-0.008882706100633575,41.667239977690535,-0.10949739156254257
arousal,emg_bsl_stats_22,4,stimulus_only,63,29,34,0,-5,0.12246283852576993,0.01607347306166118,1.2442836076723904,-0.08994413287451297
arousal,emg_bsl_stats_22,4,stimulus_plus_fewshot_bias,63,10,53,0,-43,0.07848671888560582,0.11260078294901765,0.24743848690251458,-0.4950422428571166
arousal,emg_bsl_stats_22,4,stimulus_plus_fewshot_bias_plus_physio,63,9,54,0,-45,0.7678513626086395,0.12254840885205387,41.06862881985141,-0.4890346091105693
arousal,emg_bsl_stats_22,4,stimulus_plus_fewshot_bias_shrink4_plus_physio,63,32,31,0,1,0.6884302342351781,-0.0012773142319888464,40.90433533028505,-0.04754770381865803
arousal,emg_bsl_stats_22,4,stimulus_plus_physio,63,31,32,0,-1,0.7999673192282549,0.016027933381133508,40.765997844253434,-0.10688819542056494
