augmentation_config,target,model,test_subject,n,mae,rmse,pearson,spearman,balanced_accuracy,macro_f1,auroc,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_mean,true_dev_std,pred_dev_mean,pred_dev_std,best_epoch,best_val_rmse_scaled,fit_subjects,val_subjects,outer_train_subjects,y_outer_mean,y_outer_std,final_train_last_loss,oracle_test_checkpoint_selection,arch_config,arch_description
gaussian_0p10,valence,eeg_oracle_arch_A0_current,1,32,0.9473676600357891,1.1500129358507656,0.8958164767415291,0.8941221543633059,0.875,0.8423645320197044,0.9291666666666667,0.9473676600357891,1.1500129358507656,0.18458753608599762,0.14923458259783476,0.625,-0.4495967741935484,1.1175376128242858,-0.11365887390804458,0.14850763688722582,4,0.9135855500760998,54,8,62,-1.0744093786695063e-17,1.2587906431828473,0.10011634831466983,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,valence,eeg_oracle_arch_A0_current,2,32,1.190546631521861,1.5556176313335282,0.8460347691781839,0.8001968837913156,0.8947368421052632,0.8745098039215686,0.8987854251012146,1.190546631521861,1.5556176313335282,-0.46297139042947144,-0.4038496859791879,0.65625,-0.3860887096774194,1.499820800408392,-0.09635521025868357,0.05974370849624968,1,1.2419068383314102,54,8,62,-3.581364595565021e-18,1.252604113559039,0.12938903860988155,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,valence,eeg_oracle_arch_A0_current,3,32,0.9008569349472715,1.1123874496533428,0.9097381277365727,0.9180180194786914,0.9,0.873015873015873,0.9875,0.9008569349472715,1.1123874496533428,0.3501015169737879,0.29899175571132797,0.625,-0.1955645161290323,1.1803897435466537,-0.13721621504395415,0.5203173765756735,12,0.8836063834848857,54,8,62,-1.4325458382260084e-17,1.2589173991989755,0.08293301972650713,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,valence,eeg_oracle_arch_A0_current,5,32,1.1461363313210264,1.4565789700565341,0.8726297038267729,0.8580337512739282,0.90625,0.906158357771261,0.98046875,1.1461363313210264,1.4565789700565341,0.1975680197199198,0.20258502920222038,0.625,0.1854838709677419,1.4829722032698982,0.10256033620788108,0.2558216814195058,5,1.1618398391609535,54,8,62,-2.865091676452017e-17,1.2536830985043268,0.10293435293339914,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,valence,eeg_oracle_arch_A0_current,6,32,0.9055422627744949,1.1366756641825264,0.944493294391243,0.9241720979356519,0.9411764705882353,0.9375,0.9882352941176471,0.9055422627744949,1.1366756641825264,0.2806058057056823,0.2278852409939909,0.6875,-0.10030241935483879,1.1527374217875292,-0.11674472296289827,0.5834400769496534,18,0.9049502239064692,54,8,62,3.581364595565021e-18,1.2595209830295602,0.06566124084976412,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,valence,eeg_oracle_arch_A0_current,7,32,0.5916039714908865,0.7298496386935894,0.9450780039350383,0.9476432473345643,0.875,0.8423645320197044,1.0,0.5916039714908865,0.7298496386935894,0.29915539904703187,0.2928126342822467,0.53125,-0.16381048387096778,0.7539040491205143,-0.18744802129025093,0.10463681450429187,4,0.5772516697637599,54,8,62,-3.223228136008519e-17,1.2643525652675267,0.10452935213763867,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,valence,eeg_oracle_arch_A0_current,8,32,0.834967030745269,1.025942866809167,0.9410550218893003,0.9277093877462874,0.96875,0.9687194525904204,1.0,0.834967030745269,1.025942866809167,0.01472354713425505,0.052974063094817433,0.5,0.3442540322580645,0.9651393883815917,0.021412703198947926,0.1447481438267434,4,0.8133367269351517,54,8,62,-1.4325458382260084e-17,1.2613999114594618,0.1044021159290306,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,valence,eeg_oracle_arch_A0_current,9,32,0.9644721248548345,1.207981552615094,0.9112087034907845,0.8649073101278004,0.8583333333333334,0.8398398398398399,0.9666666666666667,0.9644721248548345,1.207981552615094,0.038751967997249885,0.05298377686827303,0.4375,0.503024193548387,1.061751339195067,-0.0714437073417157,0.10100364798655319,2,0.9592858336981188,54,8,62,-1.4325458382260084e-17,1.259250906693792,0.12015684694051743,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,valence,eeg_oracle_arch_A0_current,10,32,0.7955049652771508,0.9983814951278177,0.9113461920218451,0.9029407215346167,0.875,0.8423645320197044,0.9666666666666667,0.7955049652771508,0.9983814951278177,0.14460486589323338,0.0962419814521442,0.46875,-0.036794354838709756,0.9997417263296526,0.02433659874345561,0.024380729055707345,1,0.7912864393166016,54,8,62,-3.223228136008519e-17,1.2617194503981597,0.1224176774342214,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,valence,eeg_oracle_arch_A0_current,11,32,1.1359216582569949,1.4117262241632504,0.9189337326368808,0.8765966638334913,0.8888888888888888,0.875,0.9523809523809523,1.1359216582569949,1.4117262241632504,0.34654003589164617,0.3852639296187682,0.59375,-0.10030241935483872,1.4456403474452697,-0.34210151206928324,0.8101668887725209,30,1.1252786904512546,54,8,62,0.0,1.254556998531285,0.05373326274416139,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,valence,eeg_oracle_arch_A0_current,12,32,0.9167650140651361,1.1209384058409224,0.8614536847055557,0.8719105038286782,0.8888888888888888,0.875,0.9682539682539683,0.9167650140651361,1.1209384058409224,0.3409172858587846,0.24674610863730684,0.59375,0.24899193548387094,1.156639274123462,0.3574308611158121,0.6441511416691097,18,0.8902524595984298,54,8,62,-1.4325458382260084e-17,1.25912418425186,0.07330244004486068,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,valence,eeg_oracle_arch_A0_current,13,32,0.8660764152358155,1.0384643692387783,0.902629246845013,0.9225946791333808,0.8571428571428572,0.8095238095238095,0.9696969696969697,0.8660764152358155,1.0384643692387783,-0.14958446063720932,-0.11237397072412264,0.5,-0.481350806451613,0.933579727266912,-0.07087597062183822,0.10086999579555381,3,0.8234894393437944,54,8,62,-3.9395010551215234e-17,1.2610536529056107,0.11144188010404187,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
