target,decision,best_block,best_model,best_k_calibration,best_rmse,locked_reference_model,locked_reference_rmse,best_lift_vs_locked_rmse,rmse_win_margin_vs_locked,mean_delta_rmse_model_minus_locked,reason
arousal,NO_GO_PHYSIOLOGY_VS_LOCKED_PERSONALIZATION_GPU,eeg_entropy_complexity,physio_residual_ridge1000,4,1.9407191366008125,locked_kernel_residual_shrink4,1.7990775269301655,-0.14164160967064698,-33.0,0.12497631305726772,physiology-informed models do not improve over locked B2 personalization baseline; pooled lift < 0.02; subject win margin < 3; mean subject RMSE delta is not better than locked baseline
valence,NO_GO_PHYSIOLOGY_VS_LOCKED_PERSONALIZATION_GPU,emg_lagged_interaction_experimental,physio_residual_ridge1000,4,1.2579121498487642,locked_kernel_residual_shrink4,1.2157109012314278,-0.04220124861733643,-29.0,0.04218143892261254,physiology-informed models do not improve over locked B2 personalization baseline; pooled lift < 0.02; subject win margin < 3; mean subject RMSE delta is not better than locked baseline
