gaussian_0p10_augmentation_config,test_subject,gaussian_0p10_rmse,gaussian_0p10_lift_vs_stimulus_rmse,gaussian_0p10_balanced_accuracy,gaussian_0p10_lift_vs_stimulus_balanced_accuracy,gaussian_0p10_auroc,gaussian_0p10_lift_vs_stimulus_auroc,gaussian_0p10_dev_pearson,gaussian_0p10_dev_sign_acc,gaussian_0p10_pred_dev_std,gaussian_0p10_true_dev_std,none_augmentation_config,none_rmse,none_lift_vs_stimulus_rmse,none_balanced_accuracy,none_lift_vs_stimulus_balanced_accuracy,none_auroc,none_lift_vs_stimulus_auroc,none_dev_pearson,none_dev_sign_acc,none_pred_dev_std,none_true_dev_std,delta_rmse_gauss10_minus_none,delta_rmse_lift_gauss10_minus_none,delta_auroc_gauss10_minus_none,delta_ba_gauss10_minus_none,delta_dev_pearson_gauss10_minus_none,gauss10_better_rmse_than_none,gauss10_better_rmse_than_stimulus,gauss10_positive_dev_pearson
gaussian_0p10,1,1.8641912513061627,0.011541349242675025,0.7166666666666667,0.0,0.775,0.01666666666666672,0.16495514539821055,0.5625,0.2978928988313917,1.8730758315387523,none,1.8792694512456432,-0.003536850696805427,0.7166666666666667,0.0,0.7666666666666667,0.008333333333333415,0.11534216053400974,0.59375,0.231223454944955,1.8730758315387523,-0.015078199939480452,0.015078199939480452,0.008333333333333304,0.0,0.04961298486420081,True,True,True
gaussian_0p10,2,2.78571232427845,-0.053199161129075634,0.7272727272727273,0.0,0.8727272727272727,0.004545454545454519,0.4363790633110057,0.3125,0.12208313156693312,1.5829340702617387,none,2.923181868711423,-0.1906687055620484,0.7272727272727273,0.0,0.8681818181818182,0.0,0.3579816592640372,0.125,0.1373472949663765,1.5829340702617387,-0.13746954443297277,0.13746954443297277,0.004545454545454519,0.0,0.07839740404696849,True,False,True
gaussian_0p10,3,1.7407709126297295,0.11257482242124417,0.8548387096774194,0.0,0.967741935483871,0.0,-0.1802188132097617,0.8125,0.08518158678820462,1.353914241378173,none,1.8060280579561436,0.047317677094830035,0.8548387096774194,0.0,0.967741935483871,0.0,-0.011311787819757198,0.5625,0.10101591141729056,1.353914241378173,-0.06525714532641413,0.06525714532641413,0.0,0.0,-0.16890702539000452,True,True,False
gaussian_0p10,5,1.7463258184155188,0.008510389629424964,0.7420634920634921,-0.0357142857142857,0.873015873015873,0.007936507936507908,-0.022065356294654965,0.5625,0.3606303460363591,1.5102454224184472,none,2.086514850661498,-0.3316786426165541,0.7777777777777778,0.0,0.8611111111111112,-0.003968253968253954,-0.059916236810630456,0.28125,0.13914469322785328,1.5102454224184472,-0.3401890322459791,0.3401890322459791,0.011904761904761862,-0.0357142857142857,0.03785088051597549,True,True,False
gaussian_0p10,6,3.8246089661566094,-0.09209684666330364,0.6666666666666666,0.0,0.5,0.0,-0.21538439658676933,0.3125,0.13174438288848653,1.790167901902087,none,3.7002595435298584,0.03225257596344733,0.6666666666666666,0.0,0.48333333333333334,-0.016666666666666663,-0.04733792450201271,0.5,0.3028155271458304,1.790167901902087,0.12434942262675097,-0.12434942262675097,0.016666666666666663,0.0,-0.16804647208475662,False,False,False
gaussian_0p10,7,1.4578343400813183,0.16745079459217505,0.6875,0.0,,,0.12900667696928386,0.78125,0.15697213488211384,1.2461858921407156,none,1.562874575734861,0.06241055893863234,0.6875,0.0,,,0.13527124056148349,0.6875,0.20623000341810818,1.2461858921407156,-0.1050402356535427,0.1050402356535427,,0.0,-0.0062645635921996234,True,True,True
gaussian_0p10,8,2.0904952048236987,-0.171705897383313,0.8958333333333333,0.10416666666666652,0.8958333333333334,-0.01041666666666663,0.12483924666240064,0.46875,0.4035835990105871,1.630470033705313,none,1.9751071500048631,-0.05631784256447747,0.8541666666666667,0.0625,0.90625,0.0,0.09908246592685847,0.5,0.25632414874263565,1.630470033705313,0.11538805481883552,-0.11538805481883552,-0.01041666666666663,0.04166666666666652,0.025756780735542162,False,False,True
gaussian_0p10,9,1.9473416557695953,0.22306970705335294,0.6784313725490196,0.009803921568627416,0.7764705882352941,0.007843137254901933,0.13723109475701342,0.65625,0.5563146758211223,1.8981830747933253,none,2.36553268141978,-0.1951213185968319,0.6647058823529413,-0.0039215686274509665,0.7647058823529411,-0.0039215686274510775,-0.009384720713634803,0.40625,0.7731818107729885,1.8981830747933253,-0.41819102565018484,0.41819102565018484,0.01176470588235301,0.013725490196078383,0.14661581547064823,True,True,True
gaussian_0p10,10,1.8493343112290395,-0.13196393266487694,0.8614718614718615,-0.023809523809523725,0.8614718614718615,-0.03246753246753242,-0.2702117993177711,0.4375,0.33305924249914465,1.7129972872947774,none,1.7273793085799853,-0.010008930015822814,0.8852813852813852,0.0,0.8701298701298701,-0.023809523809523836,-0.03654318866600476,0.53125,0.1667690714720236,1.7129972872947774,0.12195500264905412,-0.12195500264905412,-0.008658008658008587,-0.023809523809523725,-0.23366861065176636,False,False,False
gaussian_0p10,11,2.071159313527459,-0.044623671315082714,0.5607287449392713,0.0,0.5748987854251012,-0.012145748987854255,-0.18086244956061542,0.34375,0.07801475914436355,1.9006477694544373,none,2.289525211410463,-0.262989569198087,0.5607287449392713,0.0,0.5789473684210527,-0.0080971659919028,-0.006006923000561031,0.40625,0.29506633217584666,1.9006477694544373,-0.2183658978830043,0.2183658978830043,-0.004048582995951455,0.0,-0.1748555265600544,True,False,False
gaussian_0p10,12,1.3606838687733975,-0.030518388272911645,0.8236714975845411,0.0,0.927536231884058,-0.007246376811594235,0.15361266488116473,0.5,0.28443901437402525,1.2274284576871455,none,1.3410974680255803,-0.010931987525094389,0.8236714975845411,0.0,0.9130434782608695,-0.021739130434782705,0.15874914258774858,0.5625,0.19185107958562883,1.2274284576871455,0.019586400747817256,-0.019586400747817256,0.01449275362318847,0.0,-0.005136477706583847,False,False,True
gaussian_0p10,13,2.3139939068652846,0.10325147727311501,0.6875,0.0,,,-0.01987786556410613,0.65625,0.38256416666385734,1.4088788982214433,none,2.3114187602151026,0.105826623923297,0.6875,0.0,,,-0.1428658344810369,0.5625,0.4228835418758286,1.4088788982214433,0.002575146650181992,-0.002575146650181992,,0.0,0.12298796891693077,False,True,False
gaussian_0p10,14,1.7438654294711906,0.05279175601066988,0.8666666666666667,0.0,0.9,-0.033333333333333326,0.09934647010109794,0.625,0.1110636299264812,0.8494495885699882,none,1.925988488893526,-0.12933130341166543,0.8666666666666667,0.0,0.8833333333333333,-0.050000000000000044,0.12844811150074167,0.25,0.24080487623864505,0.8494495885699882,-0.1821230594223353,0.1821230594223353,0.01666666666666672,0.0,-0.029101641399643732,True,True,True
gaussian_0p10,15,1.729578895744967,-0.03442077061364124,0.7090909090909091,0.0,0.7772727272727272,-0.00454545454545463,-0.07654719367694127,0.3125,0.12658844463308982,1.6186477056527646,none,1.8071956233785471,-0.11203749824722142,0.759090909090909,0.04999999999999993,0.7818181818181819,0.0,-0.01854435094473478,0.28125,0.3244538485563176,1.6186477056527646,-0.07761672763358018,0.07761672763358018,-0.00454545454545463,-0.04999999999999993,-0.05800284273220649,True,False,False
gaussian_0p10,16,1.3865066294080908,0.007211741534403959,0.9009661835748792,0.0,0.9371980676328503,0.0,0.08177822488342446,0.46875,0.0742138947325389,1.371204820434612,none,1.502356928336732,-0.10863855739423722,0.7898550724637681,-0.11111111111111116,0.927536231884058,-0.009661835748792313,0.07401205287365512,0.65625,0.2963006383194293,1.371204820434612,-0.11585029892864118,0.11585029892864118,0.009661835748792313,0.11111111111111116,0.00776617200976934,True,True,True
gaussian_0p10,17,1.3504871590324443,0.09252048883370878,0.94,0.0,0.9714285714285714,-0.011428571428571455,0.3353331114933649,0.59375,0.5017768264278786,1.3129056407007988,none,1.387151204835261,0.0558564430308921,0.94,0.0,0.9942857142857143,0.011428571428571455,0.275243777294448,0.6875,0.20199847027716458,1.3129056407007988,-0.03666404580281668,0.03666404580281668,-0.02285714285714291,0.0,0.06008933419891693,True,True,True
gaussian_0p10,18,2.1684822133338266,0.04596365109195011,0.8125,0.0,0.81640625,0.0,0.05842226975816481,0.5625,0.05382281772069798,2.1200614760696554,none,2.177027235306687,0.037418629119089886,0.8125,0.0,0.80078125,-0.015625,0.0022719544646885442,0.53125,0.2890455977982085,2.1200614760696554,-0.008545021972860223,0.008545021972860223,0.015625,0.0,0.05615031529347626,True,True,True
