target,k_calibration,model,n,mae,rmse,pearson,spearman,ccc,y_true_mean,y_true_std,y_pred_mean,y_pred_std,residual_mean,residual_std,stimulus_rmse_reference,lift_vs_stimulus_rmse,locked_reference_model,locked_reference_rmse,lift_vs_locked_reference_rmse,rmse_wins_vs_locked,rmse_losses_vs_locked,rmse_win_margin_vs_locked,mean_delta_rmse_model_minus_locked,median_delta_rmse_model_minus_locked,worst_regression_delta_rmse,best_gain_delta_rmse
arousal,16,kernel_residual_shrink4,100800,1.3151930456632712,1.6576672767528167,0.7536351792053005,0.7439849160257844,0.712968896111387,4.319345238095238,2.51743972040842,4.306776164087848,1.7988133931939054,0.01256907400738995,1.6576196242792542,1.9459437177050949,0.2882764409522782,bias_shrink4,1.7343610762407864,0.07669379948796973,47,16,31,-0.076916128845504,-0.06468440078744409,0.17731897739494396,-0.5249109696509144
arousal,16,affine_residual_ridge4,100800,1.290454959178601,1.6697310412401762,0.7501994258928015,0.7437530433489286,0.7322532486644787,4.319345238095238,2.51743972040842,4.301495478280133,2.018665383391893,0.017849759815104924,1.6696356297574468,1.9459437177050949,0.27621267646491865,bias_shrink4,1.7343610762407864,0.06463003500061015,35,28,7,-0.08028901373762104,-0.01572173695118151,0.12802440030184625,-0.7741525769327291
arousal,16,affine_residual_ridge1,100800,1.293379741019387,1.6754240753787557,0.7487711473965935,0.7427004939398496,0.7320863105135631,4.319345238095238,2.51743972040842,4.301114717065463,2.0345984404892836,0.018230521029774842,1.675324888032689,1.9459437177050949,0.2705196423263392,bias_shrink4,1.7343610762407864,0.058937000862030686,34,29,5,-0.07485794311629963,-0.010505927841600204,0.14067274421832776,-0.7767119217089523
arousal,8,kernel_residual_shrink4,151200,1.387639543749364,1.7329976743975504,0.7250998922733572,0.7169662253962346,0.679311572081633,4.30667328042328,2.513988465966169,4.309935192551532,1.744980455084664,-0.0032619121282512547,1.7329946045491849,1.9431588530362547,0.21016117863870432,bias_shrink4,1.7662446364822941,0.03324696208474376,42,21,21,-0.03288188771471006,-0.025083567408886065,0.28711056985289507,-0.3804409061568794
arousal,4,kernel_residual_shrink4,176400,1.4480306773182992,1.7982942073064918,0.6992680084765467,0.6909927011173533,0.6498972475986026,4.307222222222222,2.5145634754683037,4.30527485725901,1.7070034734613382,0.0019473649632120327,1.7982931529096648,1.9438976177651741,0.1456034104586823,bias_shrink4,1.803261391817789,0.004967184511297296,38,25,13,-0.0069533668272030785,-0.01817846344451879,0.29332251510254403,-0.23282784883727303
arousal,16,bias_shrink4,100800,1.3940513632872507,1.7343610762407864,0.7248394710918495,0.7210290937994475,0.6896122951480218,4.319345238095238,2.51743972040842,4.307596102150538,1.8312541088099257,0.011749135944700449,1.734321279516472,1.9459437177050949,0.2115826414643085,bias_shrink4,1.7343610762407864,0.0,0,0,0,0.0,0.0,0.0,0.0
arousal,8,bias_shrink4,151200,1.421977388775104,1.7662446364822941,0.7116238686387477,0.7057796201275196,0.6729504963384697,4.30667328042328,2.513988465966169,4.312043544120157,1.7940211249122466,-0.005370263696876618,1.766236472324784,1.9431588530362547,0.17691421655396056,bias_shrink4,1.7662446364822941,0.0,0,0,0,0.0,0.0,0.0,0.0
arousal,4,bias_shrink4,176400,1.4545970256382124,1.803261391817789,0.6969447047865421,0.6890618934611106,0.6533912873872213,4.307222222222222,2.5145634754683037,4.304722222222222,1.7488812081855873,0.0024999999999999766,1.8032596588457885,1.9438976177651741,0.140636225947385,bias_shrink4,1.803261391817789,0.0,0,0,0,0.0,0.0,0.0,0.0
arousal,2,bias_shrink4,189000,1.4945345337657163,1.8481950495622332,0.6778992811482255,0.6683610421801447,0.630254149051876,4.307597883597883,2.514008887188597,4.3119317289639865,1.7082287688289097,-0.004333845366103457,1.8481899683232481,1.9435688697160587,0.09537382015382545,bias_shrink4,1.8481950495622332,0.0,0,0,0,0.0,0.0,0.0,0.0
arousal,1,bias_shrink4,195300,1.532182415803644,1.8904840712391418,0.6594931031169223,0.6461336325798284,0.6086498480243968,4.3085099846390165,2.514789491673669,4.3150751697140874,1.6757381821707318,-0.006565185075070662,1.8904726715702216,1.9445678743341894,0.05408380309504768,bias_shrink4,1.8904840712391418,0.0,0,0,0,0.0,0.0,0.0,0.0
arousal,0,stimulus_only,2016,1.5799251152073732,1.9442049821165959,0.6343754946304895,0.5984999661777204,0.5793812998802726,4.308035714285714,2.514611055537069,4.308035714285714,1.6319723102903876,-1.409807015397024e-17,1.9442049821165959,1.9442049821165959,0.0,stimulus_only,1.9442049821165959,0.0,0,0,0,0.0,0.0,0.0,0.0
arousal,16,bias_empirical_bayes,100800,1.3918843231366962,1.734540116959432,0.7248761257883043,0.7219163119865653,0.692455616736498,4.319345238095238,2.51743972040842,4.306656405573162,1.856094004467853,0.012688832522076015,1.7344937044771502,1.9459437177050949,0.21140360074566278,bias_shrink4,1.7343610762407864,-0.0001790407186457177,21,42,-21,-0.0005780972581624011,0.0026817067537079353,0.007800650608481341,-0.036617370531888405
