target,quantile,block,model,subjects,rmse_wins,rmse_losses,rmse_ties,rmse_win_margin,mean_delta_rmse_model_minus_stimulus,median_delta_rmse_model_minus_stimulus,worst_regression_delta_rmse,best_gain_delta_rmse
valence,0.5,emg_expanded_812,physio_emg_expanded_812_ridge,63,26,37,0,-11,4856.731668686092,0.019050112229606064,297813.4026765736,-0.12726580862847148
valence,0.5,eeg_cov_riemannian,physio_eeg_cov_riemannian_ridge,63,25,38,0,-13,0.0383000026522469,0.009538590993826368,1.4511692662064304,-0.39750209060709474
valence,0.5,emg_existing_22,physio_emg_existing_22_ridge,63,25,38,0,-13,0.5745219667113599,0.0026090990799045866,36.10138779672288,-0.07779389968213835
valence,0.75,eeg_entropy_complexity,physio_eeg_entropy_complexity_ridge,63,35,28,0,7,0.015396677273332961,-0.013280279867242673,0.36526354118775783,-0.19902380530475172
valence,0.75,none,stimulus_only,63,0,0,63,0,0.0,0.0,0.0,0.0
valence,0.75,emg_bsl_stats_22,physio_emg_bsl_stats_22_ridge,63,31,32,0,-1,0.2458005806372439,2.4380859452222126e-05,15.885864287651536,-0.31153835055341994
valence,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,63,29,34,0,-5,0.030874433654003504,0.013708325270475274,0.6839225905419233,-0.2183437288607395
valence,0.75,emg_expanded_812,physio_emg_expanded_812_ridge,63,29,34,0,-5,5106.423494748956,0.014622805280271933,311266.2678241431,-0.4469515971036502
valence,0.75,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,63,29,34,0,-5,-0.004321047042389192,0.0004322608071065659,0.05903968028927631,-0.09345669650142208
valence,0.75,eeg_cov_riemannian,physio_eeg_cov_riemannian_ridge,63,27,36,0,-9,0.03528943573631221,0.009342910388393522,1.557889432106434,-0.5350048160271921
valence,0.75,emg_existing_22,physio_emg_existing_22_ridge,63,27,36,0,-9,0.7841965527341387,0.004571260237860253,49.47491347390453,-0.24153634257837142
valence,0.75,eeg_directed_connectivity_experimental,physio_eeg_directed_connectivity_experimental_ridge,63,26,37,0,-11,0.023516673695467255,0.005031179186274937,0.5437605010849904,-0.15109767945236352
valence,0.9,eeg_bandpower,physio_eeg_bandpower_ridge,58,29,29,0,0,0.0241908472205612,-2.5792803557189714e-05,0.7630744357409531,-0.3083920779896352
valence,0.9,none,stimulus_only,58,0,0,58,0,0.0,0.0,0.0,0.0
valence,0.9,eeg_entropy_complexity,physio_eeg_entropy_complexity_ridge,58,28,30,0,-2,0.02108593196912038,0.008299462348951847,0.5384651455758536,-0.3354367981289528
valence,0.9,emg_bsl_stats_22,physio_emg_bsl_stats_22_ridge,58,27,31,0,-4,-0.0174275188932008,0.0015706350989777018,0.05449440921062321,-0.5134673929023044
valence,0.9,emg_expanded_812,physio_emg_expanded_812_ridge,58,27,31,0,-4,6400.201727486188,0.005036984762945229,371212.23437708,-0.4508010423909812
valence,0.9,eeg_cov_riemannian,physio_eeg_cov_riemannian_ridge,58,26,32,0,-6,0.03482123783112502,0.01817684914644857,1.69449091398281,-0.6862220089414217
valence,0.9,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,58,25,33,0,-8,-0.008103206083974425,0.004461500941917551,0.07147522887013391,-0.45673826134451323
valence,0.9,eeg_directed_connectivity_experimental,physio_eeg_directed_connectivity_experimental_ridge,58,24,34,0,-10,0.029348463297267584,0.019053003486329434,0.6899207406554222,-0.3926955719773422
valence,0.9,emg_existing_22,physio_emg_existing_22_ridge,58,20,38,0,-18,1.6120654900291462,0.007138044869923199,93.5748970753616,-0.38709977379820404
