test_subject,scope,model_group,task,n,subjects,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,mcc,cohen_kappa,auroc,average_precision,true_high_rate,pred_high_rate,majority_class_accuracy,accuracy_lift_vs_majority,valence_mae_score,valence_rmse_score,valence_pearson_score,valence_spearman_score,valence_true_score_std,valence_pred_score_std,valence_pred_over_true_std_ratio,valence_mae_deviation,valence_rmse_deviation,valence_pearson_deviation,valence_spearman_deviation,valence_sign_accuracy_deviation,valence_true_deviation_std,valence_pred_deviation_std,valence_pred_over_true_deviation_std_ratio,valence_mean_abs_true_deviation,valence_mean_abs_pred_deviation,arousal_mae_score,arousal_rmse_score,arousal_pearson_score,arousal_spearman_score,arousal_true_score_std,arousal_pred_score_std,arousal_pred_over_true_std_ratio,arousal_mae_deviation,arousal_rmse_deviation,arousal_pearson_deviation,arousal_spearman_deviation,arousal_sign_accuracy_deviation,arousal_true_deviation_std,arousal_pred_deviation_std,arousal_pred_over_true_deviation_std_ratio,arousal_mean_abs_true_deviation,arousal_mean_abs_pred_deviation,dimension_hamming_accuracy,both_dimensions_correct_rate,only_valence_correct_rate,only_arousal_correct_rate,neither_dimension_correct_rate,true_rate_LV_LA,pred_rate_LV_LA,true_rate_LV_HA,pred_rate_LV_HA,true_rate_HV_LA,pred_rate_HV_LA,true_rate_HV_HA,pred_rate_HV_HA
5,subject,eeg_gaussian10,arousal_high_low,32,1,0.75,0.7777777777777778,0.8181818181818181,0.7777777777777778,0.746031746031746,0.7420634920634921,0.5945883900105632,0.5223880597014925,0.8690476190476191,0.9197387549511732,0.5625,0.3125,0.5625,0.1875,,,,,,,,,,,,,,,,,,1.5174295222801983,1.8938427579561918,0.6917304972272152,0.7313911457293475,2.0832291640623697,1.653048913956099,0.7935031548482177,1.5174295222801986,1.8938427579561918,0.006781162305216313,-0.031524926686217,0.3125,1.5102454224184472,0.17601683966709192,0.11654850069673375,1.4047379032258065,0.2504164249528917,,,,,,,,,,,,,
5,subject,eeg_gaussian10,joint_4class_valence_arousal,32,1,0.65625,0.5644522144522144,0.7023809523809523,0.5644522144522144,0.5756410256410256,0.6819826007326008,0.5383958858220685,0.5138121546961326,,,,,0.40625,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.828125,0.65625,0.25,0.09375,0.0,0.09375,0.21875,0.40625,0.25,0.34375,0.46875,0.15625,0.0625
6,subject,eeg_gaussian10,valence_high_low,32,1,0.9375,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9375,0.9375,0.8823529411764706,0.8754863813229572,0.9803921568627451,0.9790616246498599,0.46875,0.53125,0.53125,0.40625,1.0737493570477208,1.1897360786159055,0.9514864131662156,0.9491547610632243,3.0458732327528013,2.180684802696686,0.7159473280918881,1.073749357047721,1.1897360786159055,-0.39744266111489984,-0.3283527486888478,0.34375,1.1527374217875292,0.06540748071771754,0.05674100578450432,1.045866935483871,0.06749328567116539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,subject,eeg_gaussian10,arousal_high_low,32,1,0.375,0.6666666666666666,0.5454545454545454,0.6666666666666666,0.3333333333333333,0.4791666666666667,0.17407765595569785,0.05882352941176472,0.5,0.9546384916558708,0.9375,0.3125,0.9375,-0.5625,,,,,,,,,,,,,,,,,,3.381458464452637,3.778845112591574,0.3368998125244155,0.399707247600459,1.39159025488827,1.6798159487198274,1.207119655241831,3.381458464452637,3.7788451125915734,0.0818795137810304,0.02602639296187683,0.34375,1.790167901902087,0.14872856043862673,0.08308078827718715,3.337701612903226,0.12876850250728838,,,,,,,,,,,,,
6,subject,eeg_gaussian10,joint_4class_valence_arousal,32,1,0.34375,0.38888888888888884,0.5357142857142857,0.29166666666666663,0.2882921284455811,0.45026996305768685,0.30152840755531485,0.2186046511627907,,,,,0.46875,-0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65625,0.34375,0.59375,0.03125,0.03125,0.0625,0.21875,0.46875,0.25,0.0,0.46875,0.46875,0.0625
7,subject,eeg_gaussian10,valence_high_low,32,1,0.84375,0.875,0.8529411764705883,0.875,0.8423645320197044,0.8460591133004927,0.7276068751089989,0.6923076923076923,0.9958333333333333,0.9935897435897435,0.375,0.53125,0.625,0.21875,0.6204030902488916,0.7913480327247022,0.9426029354814519,0.9431661926227474,1.8874586088176875,2.174173486611009,1.1519052531550713,0.6204030902488916,0.7913480327247022,0.17811481960794165,0.16831684300006416,0.53125,0.7539040491205143,0.08004145057518676,0.10616928065110534,0.6224798387096775,0.10952243275906492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,subject,eeg_gaussian10,arousal_high_low,32,1,0.625,0.625,0.5,0.3125,0.38461538461538464,0.7692307692307693,,,,,0.0,0.375,1.0,-0.375,,,,,,,,,,,,,,,,,,1.5730026788659055,1.8531043693078315,0.6838481775508461,0.7188895047643291,0.909477013178453,1.6661891162569296,1.832029938208198,1.5730026788659053,1.8531043693078315,0.1470691054099421,0.1726697835132112,0.3125,1.2461858921407156,0.2900083452996128,0.232716761703344,1.3487903225806452,0.3786323190441364,,,,,,,,,,,,,
7,subject,eeg_gaussian10,joint_4class_valence_arousal,32,1,0.53125,0.5916666666666667,0.4423076923076923,0.29583333333333334,0.3296296296296296,0.6240740740740741,0.4201097412272332,0.34065934065934067,,,,,0.625,-0.09375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.734375,0.53125,0.3125,0.09375,0.0625,0.625,0.21875,0.0,0.25,0.375,0.40625,0.0,0.125
8,subject,eeg_gaussian10,valence_high_low,32,1,0.96875,0.96875,0.9705882352941176,0.96875,0.9687194525904204,0.9687194525904204,0.9393364366277243,0.9375,1.0,1.0,0.5,0.53125,0.5,0.46875,0.858879235720335,1.044974059677513,0.9426219473605205,0.9249384517016447,2.692582403567252,2.2109758636112837,0.8211358213888883,0.8588792357203352,1.0449740596775132,0.13431323505105022,0.1378425448003554,0.46875,0.9651393883815917,0.10901441351248471,0.11295198892998679,0.830141129032258,0.11333408226244408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,subject,eeg_gaussian10,arousal_high_low,32,1,0.8125,0.7916666666666667,0.7545454545454545,0.7916666666666667,0.7681159420289855,0.8188405797101449,0.5449492609130661,0.5384615384615384,0.90625,0.7510732323232323,0.25,0.3125,0.75,0.0625,,,,,,,,,,,,,,,,,,1.5729662122081574,1.7915225264836387,0.7734477058667635,0.7829760185197248,2.4929588343973914,1.6209255997108882,0.6502015104882608,1.5729662122081574,1.7915225264836387,0.18291503789377542,0.16715542521994134,0.78125,1.630470033705313,0.1502316732815107,0.0921401008149844,1.7182459677419355,0.23207310911911241,,,,,,,,,,,,,
8,subject,eeg_gaussian10,joint_4class_valence_arousal,32,1,0.78125,0.7708333333333334,0.825,0.7708333333333334,0.739766081871345,0.7763157894736842,0.7158188976374374,0.6888888888888889,,,,,0.375,0.40625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.890625,0.78125,0.1875,0.03125,0.0,0.375,0.21875,0.125,0.25,0.375,0.46875,0.125,0.0625
9,subject,eeg_gaussian10,valence_high_low,32,1,0.84375,0.8583333333333334,0.8372549019607842,0.8583333333333334,0.8398398398398399,0.8460960960960962,0.6952687917708212,0.6825396825396826,0.9625,0.9745742503540491,0.625,0.53125,0.625,0.21875,0.9341110870464218,1.1703537941189819,0.9104185312609566,0.8511135297507622,2.5600216673887743,2.22149956274464,0.867765922078974,0.9341110870464218,1.1703537941189819,0.04248032987543344,0.0524337722641041,0.59375,1.061751339195067,0.13582760273847644,0.12792788454716889,0.9334677419354838,0.11377970201060097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,subject,eeg_gaussian10,arousal_high_low,32,1,0.6875,0.6980392156862745,0.7186147186147187,0.6980392156862745,0.6825396825396826,0.6800595238095238,0.4161455870818984,0.3869731800766284,0.7803921568627451,0.8263439475407021,0.53125,0.34375,0.53125,0.15625,,,,,,,,,,,,,,,,,,1.7691064696146166,2.179154763332932,0.4234019513894035,0.4468407394204413,1.96229099205495,1.8877408494010226,0.9620086200483349,1.7691064696146166,2.179154763332932,-0.060008784697948556,-0.044175602788411775,0.5625,1.8981830747933253,0.7150762848217298,0.3767161841853483,1.6965725806451613,0.6774921015933513,,,,,,,,,,,,,
