target,decision,best_model,best_rmse,stimulus_rmse_reference,best_lift_vs_stimulus_rmse,best_dev_rmse,best_lift_vs_stimulus_dev_rmse,best_dev_pearson,rmse_wins,rmse_losses,win_margin,worst_regression_delta_rmse,best_gain_delta_rmse,stimulus_r2_in_sample,subject_r2_in_sample,residual_std_ratio_after_loso_stimulus,reason
arousal,NO_GO_CURRENT_FEATURE_SET,physio_eeg_entropy_complexity_ridge,1.946367855861422,1.944204982116596,-0.002162873744826,1.9485175118232667,-0.0043125297066706,0.1317467268746114,31.0,32.0,-1.0,0.4782462827939997,-0.6368568522914473,0.4210450889034962,0.1558410176617859,0.7731633000799616,best physiologic block does not beat stimulus-only RMSE; residual/dev RMSE does not improve over stimulus-only; subject-level win margin is not meaningfully positive; required > 3
valence,NO_GO_CURRENT_FEATURE_SET,physio_emg_lagged_interaction_experimental_ridge,1.2591521569008588,1.257773694673858,-0.0013784622270007,1.2591521569008588,-0.0013784622270007,0.0022037975299574,29.0,34.0,-5.0,0.0313847214348335,-0.0387327231313714,0.7583263149107389,0.0224217984204502,0.4995322620014137,best physiologic block does not beat stimulus-only RMSE; residual/dev RMSE does not improve over stimulus-only; subject-level win margin is not meaningfully positive; required > 3
