scope,target,subset,best_metric,best_metric_value,experiment,model,rmse,lift_vs_stimulus_rmse,balanced_accuracy,lift_vs_stimulus_balanced_accuracy,auroc,lift_vs_stimulus_auroc,dev_rmse,dev_pearson,pred_dev_std
main,arousal,,lift_vs_stimulus_rmse,-0.024669396659676,04c_nonlinear_22feat,emg_residual_extratrees,1.968874378776272,-0.024669396659676,0.765237020316027,-0.0033860045146727,0.8160528267086371,-2.0809990547876467e-05,1.968874378776272,-0.0925597798640766,0.1790472043565619
main,arousal,,lift_vs_stimulus_auroc,0.0026001535558249,04f_augmented_812feat,emg_expanded_extratrees_residual_aug,1.970173266284092,-0.0259682841674961,0.7692276098192488,0.0006045849885489,0.81867379025501,0.0026001535558249,1.970173266284092,-0.0370239164065959,0.2547678025880294
main,arousal,,lift_vs_stimulus_balanced_accuracy,0.0009808077124016,04e_expanded_812feat,emg_expanded_extratrees_residual,1.9721542819077305,-0.0279492997911345,0.7696038325431014,0.0009808077124016,0.8169914668086127,0.0009178301094276,1.9721542819077305,-0.0322992829529712,0.2739513093034497
main,arousal,,dev_pearson,0.0387774718729456,04f_augmented_812feat,emg_expanded_ridge_residual_aug,2.053242736968759,-0.109037754852163,0.7597234680834984,-0.0088995567472013,0.8089516912498371,-0.0071219454493478,2.053242736968759,0.0387774718729456,0.7394131332795013
main,arousal,,rmse,1.968874378776272,04c_nonlinear_22feat,emg_residual_extratrees,1.968874378776272,-0.024669396659676,0.765237020316027,-0.0033860045146727,0.8160528267086371,-2.0809990547876467e-05,1.968874378776272,-0.0925597798640766,0.1790472043565619
main,valence,,lift_vs_stimulus_rmse,-0.0025692854744612,04c_nonlinear_22feat,emg_residual_extratrees,1.2603429801483192,-0.0025692854744612,0.8805748220680901,0.0010154585429983,0.9471135490175338,0.0038276138235338,1.2603429801483192,0.0066069377026459,0.0891486256226094
main,valence,,lift_vs_stimulus_auroc,0.0042043811797654,04b_clipped_ridge,emg_residual_ridge,1.2610441716790652,-0.0032704770052072,0.8795593635250918,0.0,0.9474903163737654,0.0042043811797654,1.2610441716790652,0.0335919490486254,0.1422926887837033
main,valence,,lift_vs_stimulus_balanced_accuracy,0.0010154585429983,04c_nonlinear_22feat,emg_residual_extratrees,1.2603429801483192,-0.0025692854744612,0.8805748220680901,0.0010154585429983,0.9471135490175338,0.0038276138235338,1.2603429801483192,0.0066069377026459,0.0891486256226094
main,valence,,dev_pearson,0.0335919490486254,04b_clipped_ridge,emg_residual_ridge,1.2610441716790652,-0.0032704770052072,0.8795593635250918,0.0,0.9474903163737654,0.0042043811797654,1.2610441716790652,0.0335919490486254,0.1422926887837033
main,valence,,rmse,1.2603429801483192,04c_nonlinear_22feat,emg_residual_extratrees,1.2603429801483192,-0.0025692854744612,0.8805748220680901,0.0010154585429983,0.9471135490175338,0.0038276138235338,1.2603429801483192,0.0066069377026459,0.0891486256226094
