target,decision,best_block,best_model,best_k_calibration,best_rmse,locked_reference_model,locked_reference_rmse,best_lift_vs_locked_rmse,rmse_win_margin_vs_locked,mean_delta_rmse_model_minus_locked,reason
arousal,NO_GO_PHYSIOLOGY_VS_LOCKED_PERSONALIZATION_GPU,emg_existing_22,physio_residual_ridge1000,4,2.4396311791134644,locked_kernel_residual_shrink4,2.039192360611511,-0.4004388185019532,-2.0,0.35673876789781334,physiology-informed models do not improve over locked B2 personalization baseline; pooled lift < 0.02; subject win margin < 3; mean subject RMSE delta is not better than locked baseline
valence,WEAK_GO_PHYSIOLOGY_VS_LOCKED_NEEDS_CONFIRMATION_GPU,emg_lagged_interaction_experimental,physio_similarity_knn64,4,1.287580402397503,locked_kernel_residual_shrink4,1.2914358861713804,0.003855483773877344,0.0,0.0015476840481098292,pooled lift < 0.02; subject win margin < 3; mean subject RMSE delta is not better than locked baseline
