target,block,k_calibration,model,n,mae,rmse,pearson,ccc,y_true_std,y_pred_std,locked_reference_rmse,locked_reference_model,lift_vs_locked_rmse,subjects,rmse_wins_vs_locked,rmse_losses_vs_locked,rmse_ties_vs_locked,rmse_win_margin_vs_locked,mean_delta_rmse_model_minus_locked,median_delta_rmse_model_minus_locked,worst_regression_delta_rmse,best_gain_delta_rmse
arousal,emg_existing_22,4,physio_residual_ridge1000,2240,2.060903480968305,2.4396311791134644,0.3141253812848796,0.2687851768375711,2.4812327709138122,1.4034861937024712,2.039192360611511,locked_kernel_residual_shrink4,-0.4004388185019532,8.0,3.0,5.0,0.0,-2.0,0.35673876789781334,0.24210874245990655,1.1995705064821485,-0.06645264143003038
arousal,emg_lagged_interaction_experimental,4,physio_residual_ridge1000,2240,2.087275017425418,2.461571769064505,0.29034948249891035,0.24574062649244963,2.479716182739221,1.3709708533078815,2.016188512264566,locked_kernel_residual_shrink4,-0.4453832567999392,8.0,2.0,6.0,0.0,-4.0,0.41967534173263776,0.4120622799446678,1.0485365288143318,-0.028200766031299285
arousal,emg_existing_22,4,physio_similarity_knn64,2240,2.109036472812295,2.4852122354407755,0.3055331803556533,0.2614511041583767,2.4812327709138122,1.4420566061681424,2.039192360611511,locked_kernel_residual_shrink4,-0.4460198748292643,8.0,1.0,7.0,0.0,-6.0,0.40498511901095036,0.24679034533968502,1.5268477694415312,-0.09186421661740085
arousal,eeg_entropy_complexity,4,physio_similarity_knn64,2240,2.1508309949189424,2.5384809884118003,0.25739013386576387,0.22203538599903144,2.489867220457791,1.434868500727431,2.0716091800585157,locked_kernel_residual_shrink4,-0.46687180835328457,8.0,1.0,7.0,0.0,-6.0,0.4341454193971336,0.41264483338607894,1.0825054238964607,-0.029781496698758403
arousal,emg_lagged_interaction_experimental,4,physio_similarity_knn64,2240,2.1099723282669274,2.498086201667397,0.29492210357476006,0.2571213530948733,2.479716182739221,1.476712040083553,2.016188512264566,locked_kernel_residual_shrink4,-0.48189768940283084,8.0,1.0,7.0,0.0,-6.0,0.45296512334732625,0.26769414702829275,1.3489777624207036,-0.027407573125482587
arousal,eeg_entropy_complexity,4,physio_residual_ridge1000,2240,2.175202309020928,2.5540727586112157,0.2635583646121854,0.23468974311635177,2.489867220457791,1.5241935457134028,2.0716091800585157,locked_kernel_residual_shrink4,-0.48246357855270006,8.0,0.0,8.0,0.0,-8.0,0.466558981377781,0.5414175299467489,0.8667289725497487,0.0032070692013645985
arousal,emg_existing_22,4,physio_context_ridge1000,2240,2.256977033721549,2.5543948576211744,-0.02951721922199679,-0.01195747796148404,2.4812327709138122,0.5263570480808507,2.039192360611511,locked_kernel_residual_shrink4,-0.5152024970096631,8.0,0.0,8.0,0.0,-8.0,0.5037134629974915,0.5070708033520545,1.0756250504824958,0.058763301210415175
arousal,emg_lagged_interaction_experimental,4,physio_context_ridge100,2240,2.2309275465352196,2.5739618028873354,0.14727118147984966,0.11087628828810499,2.479716182739221,1.1311779717955175,2.016188512264566,locked_kernel_residual_shrink4,-0.5577732906227695,8.0,0.0,8.0,0.0,-8.0,0.5346795237751553,0.46526502214201093,1.6922466104207858,0.022768608265548274
arousal,emg_lagged_interaction_experimental,4,physio_residual_ridge100,2240,2.1965532233140297,2.5804590012626756,0.23195837127501248,0.20364489208318343,2.479716182739221,1.4801940544983683,2.016188512264566,locked_kernel_residual_shrink4,-0.5642704889981096,8.0,1.0,7.0,0.0,-6.0,0.5330927085171091,0.4144431380092404,1.7349471083123578,-0.001248619226864367
arousal,emg_lagged_interaction_experimental,4,physio_context_ridge1000,2240,2.2837855066571917,2.5882117220609193,-0.1527047238468465,-0.05362829839205197,2.479716182739221,0.450216851481549,2.016188512264566,locked_kernel_residual_shrink4,-0.5720232097963533,8.0,0.0,8.0,0.0,-8.0,0.5697418182833354,0.6195835964891865,1.017965426573054,0.12415002674859554
arousal,emg_existing_22,4,physio_context_ridge100,2240,2.2140012994408607,2.618198185905792,0.19371096975664054,0.16471726064206402,2.4812327709138122,1.4062382924940702,2.039192360611511,locked_kernel_residual_shrink4,-0.5790058252942809,8.0,2.0,6.0,0.0,-4.0,0.4897276679350506,0.37249249904182,2.170606384025904,-0.3398178984252196
arousal,emg_existing_22,4,physio_residual_ridge100,2240,2.179611916201455,2.6463443447753923,0.25915419457401917,0.2414481828419355,2.4812327709138122,1.733307635242001,2.039192360611511,locked_kernel_residual_shrink4,-0.607151984163881,8.0,2.0,6.0,0.0,-4.0,0.4991774758320542,0.2895396809300519,2.3093492764719556,-0.3576494451068297
arousal,eeg_entropy_complexity,4,physio_context_ridge1000,2240,2.3293678418866226,2.684673536126192,-0.07298634446341776,-0.04378136827448414,2.489867220457791,0.8317924186688151,2.0716091800585157,locked_kernel_residual_shrink4,-0.6130643560676763,8.0,0.0,8.0,0.0,-8.0,0.6185034601506554,0.5619684276648734,1.068901909389706,0.2305005935696629
arousal,emg_existing_22,16,physio_residual_ridge1000,1280,2.01804715115577,2.3980133025990695,0.31825631619430284,0.27274393874653247,2.442300961055987,1.387281921497744,1.7764977055074054,locked_kernel_residual_shrink4,-0.6215155970916642,8.0,3.0,5.0,0.0,-2.0,0.586850532418198,0.5604827122349552,1.7219410280343999,-0.1302857783561897
arousal,emg_existing_22,16,physio_similarity_knn64,1280,2.0703261442482472,2.4480817542065707,0.30843519559968346,0.2642864384019427,2.442300961055987,1.4289757053409242,1.7764977055074054,locked_kernel_residual_shrink4,-0.6715840486991653,8.0,2.0,6.0,0.0,-4.0,0.640534297191532,0.5531023672059484,2.043401279491778,-0.11051015864330749
arousal,emg_lagged_interaction_experimental,16,physio_residual_ridge1000,1280,2.1492575501091777,2.518751996611066,0.2790534863470444,0.2341954037990884,2.528045690775473,1.3750827917155157,1.8388992932376849,locked_kernel_residual_shrink4,-0.6798527033733812,8.0,2.0,6.0,0.0,-4.0,0.662420923546355,0.6633134597389532,1.5574308065347093,-0.0807715910095963
arousal,emg_lagged_interaction_experimental,16,physio_similarity_knn64,1280,2.1636270732618867,2.5541257654434677,0.2833314734849387,0.24568668101500435,2.528045690775473,1.4832168781081982,1.8388992932376849,locked_kernel_residual_shrink4,-0.7152264722057828,8.0,1.0,7.0,0.0,-6.0,0.6940641682157469,0.545449094322487,1.8423777323610282,-0.06460501657672335
arousal,eeg_entropy_complexity,16,physio_similarity_knn64,1280,2.1624832207337024,2.5330032682415093,0.27234184403405093,0.23547804736705194,2.5035477756263713,1.4492113039119365,1.804905946663372,locked_kernel_residual_shrink4,-0.7280973215781374,8.0,3.0,5.0,0.0,-2.0,0.6896221284449862,0.6876958971106832,1.7603197737176148,-0.07524159657501084
arousal,emg_existing_22,16,physio_context_ridge1000,1280,2.2040346674621105,2.5062821058157096,-0.01312404015914172,-0.005409517941269394,2.442300961055987,0.5272040687792698,1.7764977055074054,locked_kernel_residual_shrink4,-0.7297844003083043,8.0,0.0,8.0,0.0,-8.0,0.7257731464631594,0.8268212661289019,1.5564858829467223,0.007134001372357979
