target,block,k_calibration,model,n,mae,rmse,pearson,spearman,ccc,y_true_std,y_pred_std,lift_vs_fewshot_rmse,lift_vs_fewshot_mae,lift_vs_fewshot_pearson,fewshot_reference_model
arousal,emg_lagged_interaction_experimental,0,stimulus_plus_fewshot_bias_plus_physio,128,2.0253227011830908,2.4177375101936502,0.36507759993351674,0.35884066851588975,0.34003024402561854,2.4547541365875625,1.6803069635134116,0.08017828769332658,0.07363563215024271,0.04339367487925877,stimulus_plus_fewshot_bias_shrink4
arousal,emg_lagged_interaction_experimental,0,stimulus_plus_fewshot_bias_shrink4_plus_physio,128,2.0253227011830908,2.4177375101936502,0.36507759993351674,0.35884066851588975,0.34003024402561854,2.4547541365875625,1.6803069635134116,0.08017828769332658,0.07363563215024271,0.04339367487925877,stimulus_plus_fewshot_bias_shrink4
arousal,emg_lagged_interaction_experimental,0,stimulus_plus_physio,128,2.0253227011830908,2.4177375101936502,0.36507759993351674,0.35884066851588975,0.34003024402561854,2.4547541365875625,1.6803069635134116,0.08017828769332658,0.07363563215024271,0.04339367487925877,stimulus_plus_fewshot_bias_shrink4
arousal,emg_lagged_interaction_experimental,4,stimulus_plus_fewshot_bias_shrink4_plus_physio,2240,1.6984204599471586,2.0843952255723996,0.5596795979639053,0.5584211661083307,0.531623535331882,2.4612555370295612,1.7899590554231943,0.046756875004574816,0.05418370671950812,0.027336604112514262,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_plus_physio,128,2.0720788602145688,2.4672975349623676,0.340572056092948,0.3354658950927236,0.3191411314313507,2.4547541365875625,1.7065606359248457,0.03061826292460923,0.026879473118764707,0.018888131038690026,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_shrink4_plus_physio,128,2.0720788602145688,2.4672975349623676,0.340572056092948,0.3354658950927236,0.3191411314313507,2.4547541365875625,1.7065606359248457,0.03061826292460923,0.026879473118764707,0.018888131038690026,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_entropy_complexity,0,stimulus_plus_physio,128,2.0720788602145688,2.4672975349623676,0.340572056092948,0.3354658950927236,0.3191411314313507,2.4547541365875625,1.7065606359248457,0.03061826292460923,0.026879473118764707,0.018888131038690026,stimulus_plus_fewshot_bias_shrink4
arousal,emg_lagged_interaction_experimental,4,stimulus_plus_fewshot_bias_plus_physio,2240,1.6695132385492366,2.1106562080898237,0.6088148562470259,0.6081241923492312,0.6060664013271815,2.4612555370295612,2.2869688051761194,0.02049589248715078,0.08309092811743013,0.07647186239563486,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_entropy_complexity,4,stimulus_plus_fewshot_bias_shrink4_plus_physio,2240,1.6982030310189786,2.068306705776214,0.5610512977560103,0.5587625848106694,0.5357463855958937,2.4433490458690055,1.8005938252888858,0.017370547102236955,0.009907088028640487,0.0097691632711151,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias_plus_physio,1280,1.548181338324485,1.9413128962571113,0.6476474224195339,0.6525568318986353,0.6416063999949408,2.443973650051988,2.13124984429221,0.01595543117159237,0.02634991167551526,0.027006673159093664,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_entropy_complexity,16,stimulus_plus_fewshot_bias_shrink4_plus_physio,1280,1.577917439532719,1.9464828602435607,0.6272125208382203,0.6311600205785882,0.6107706607025122,2.443973650051988,1.9392443344448314,0.01078546718514306,-0.003386189532718742,0.006571771577780106,stimulus_plus_fewshot_bias_shrink4
arousal,emg_lagged_interaction_experimental,16,stimulus_plus_fewshot_bias_shrink4_plus_physio,1280,1.5203626253985447,1.9293865983649021,0.6441483595023673,0.6418755852863673,0.630539857969021,2.4462263667739337,2.015908997380948,0.007573899999022249,0.023804041268121967,0.011265566608820943,stimulus_plus_fewshot_bias_shrink4
arousal,emg_existing_22,0,stimulus_plus_fewshot_bias_plus_physio,128,2.09131246507562,2.5062656738663924,0.32592063808263577,0.34057831625567475,0.3078701929856139,2.4547541365875625,1.7461616466496515,-0.00834987597941561,0.007645868257713406,0.004236713028377803,stimulus_plus_fewshot_bias_shrink4
arousal,emg_existing_22,0,stimulus_plus_fewshot_bias_shrink4_plus_physio,128,2.09131246507562,2.5062656738663924,0.32592063808263577,0.34057831625567475,0.3078701929856139,2.4547541365875625,1.7461616466496515,-0.00834987597941561,0.007645868257713406,0.004236713028377803,stimulus_plus_fewshot_bias_shrink4
arousal,emg_existing_22,0,stimulus_plus_physio,128,2.09131246507562,2.5062656738663924,0.32592063808263577,0.34057831625567475,0.3078701929856139,2.4547541365875625,1.7461616466496515,-0.00834987597941561,0.007645868257713406,0.004236713028377803,stimulus_plus_fewshot_bias_shrink4
arousal,emg_lagged_interaction_experimental,16,stimulus_plus_fewshot_bias_plus_physio,1280,1.51907668828299,1.9495526597403785,0.6579171152457618,0.6548369795400039,0.6530928780526236,2.4462263667739337,2.222971270188408,-0.012592161376454136,0.02508997838367666,0.025034322352215477,stimulus_plus_fewshot_bias_shrink4
