test_subject,eeg_rmse,eeg_mae,eeg_balanced_accuracy,eeg_auroc,eeg_dev_rmse,eeg_dev_pearson,eeg_dev_sign_acc,eeg_true_dev_std,eeg_pred_dev_std,eeg_std_ratio_pred_over_true,eeg_mean_abs_true_dev,eeg_mean_abs_pred_dev,eeg_lift_vs_stimulus_rmse,eeg_lift_vs_stimulus_mae,eeg_lift_vs_stimulus_balanced_accuracy,eeg_lift_vs_stimulus_auroc,eeg_lift_vs_stimulus_dev_rmse,stimulus_rmse,stimulus_mae,stimulus_balanced_accuracy,stimulus_auroc,eeg_better_rmse_than_stimulus,eeg_better_mae_than_stimulus,eeg_better_auroc_than_stimulus,eeg_better_ba_than_stimulus,eeg_positive_dev_pearson,failure_score
50,1.3809071201409593,1.1943104991930196,0.9166666666666667,0.9916666666666667,1.3809071201409593,0.30162911746992993,0.65625,1.3910614610751582,0.04108214550350295,0.02953294779061798,1.2056451612903225,0.04718327350398632,0.010420588906991934,0.011334662097302939,0.0,0.0,0.010420588906991934,1.3913277090479512,1.2056451612903225,0.9166666666666667,0.9916666666666667,True,True,False,False,True,-0.010420588906991934
52,1.9981959845096742,1.684366844799208,0.6666666666666667,0.75,1.9981959845096742,-0.0669849356545405,0.625,1.9522573515044046,0.07640362695977888,0.03913604264359066,1.702116935483871,0.12258117446777556,0.020236167750548706,0.017750090684663045,0.0,-0.003968253968253954,0.020236167750548706,2.018432152260223,1.702116935483871,0.6666666666666667,0.753968253968254,True,True,False,False,False,0.046748767903991795
53,1.178208349935856,0.9667819984187842,0.9772727272727273,0.9954545454545455,1.178208349935856,-0.11709426808490225,0.375,1.0633145558549586,0.2951470677754802,0.27757267701267335,0.8991935483870968,0.23881779079977344,-0.06039979399171069,-0.06758845003168745,0.050000000000000044,0.0,-0.06039979399171069,1.1178085559441453,0.8991935483870968,0.9272727272727272,0.9954545454545455,False,False,False,True,False,0.17749406207661295
54,1.7809010083903267,1.4990905848552138,0.6774891774891775,0.7965367965367965,1.7809010083903267,0.0038586748064658874,0.5,1.6942831997212953,0.15407390967199164,0.09093751841324131,1.4773185483870968,0.3992768991549812,-0.08151829696363277,-0.021772036468117095,0.0,0.0021645021645021467,-0.081518296963633,1.699382711426694,1.4773185483870968,0.6774891774891775,0.7943722943722944,False,False,True,False,True,0.08151829696363277
55,2.422953327283694,2.2168898493877602,0.6875,,2.422953327283694,0.24237335657703316,0.59375,0.9986088789050975,0.10988459063572316,0.11003766635451273,2.25,0.09124134355925707,0.03869646361429124,0.033110150612239764,0.0,,0.03869646361429124,2.4616497908979853,2.25,0.6875,,True,True,False,False,True,-0.03869646361429124
56,1.4906910865769958,1.2430797898698103,0.8571428571428572,0.9722222222222222,1.4906910865769958,-0.06838928405421975,0.46875,1.3444179697621401,0.08582683598632736,0.06383939958898968,1.2288306451612905,0.10050675260778222,-0.040249130535322974,-0.014249144708520012,0.0,0.005952380952380931,-0.040249130535322974,1.4504419560416728,1.2288306451612903,0.8571428571428572,0.9662698412698413,False,False,True,False,False,0.10863841458954272
57,2.1115094860262418,1.7291363098673656,0.6041666666666667,0.5885416666666666,2.1115094860262418,0.22740689974127304,0.59375,2.1643328274237774,0.5694602980049787,0.2631112418520901,1.836693548387097,0.5132461204664411,0.05512299456000713,0.10755723851973142,0.0625,0.04166666666666663,0.05512299456000713,2.166632480586249,1.836693548387097,0.5416666666666667,0.546875,True,True,True,True,True,-0.05512299456000713
58,1.6118790856223517,1.329845631561792,0.9583333333333333,0.9947916666666666,1.6118790856223517,-0.041819330964604634,0.4375,1.133263600349544,0.054852678620950404,0.04840240046886111,1.3074596774193548,0.045891595033744875,-0.027766077705227987,-0.02238595414243716,0.0,0.0,-0.02776607770522821,1.5841130079171237,1.3074596774193548,0.9583333333333333,0.9947916666666666,False,False,False,False,False,0.06958540866983262
59,2.2672399585154603,1.7646504617671241,0.763157894736842,0.8906882591093117,2.2672399585154603,0.05548255137645972,0.375,1.6408958852975948,0.4824572923887576,0.29402066073251476,1.5524193548387097,0.41404925160212275,-0.2087337110477283,-0.2122311069284144,0.0,0.010121457489878471,-0.2087337110477283,2.058506247467732,1.5524193548387097,0.763157894736842,0.8805668016194332,False,False,True,False,True,0.2087337110477283
60,2.600909303514089,2.2271521841569886,0.7777777777777778,0.9444444444444444,2.600909303514089,-0.2544483551905654,0.34375,2.0713483906629713,0.16667745070645137,0.0804680909583843,2.089717741935484,0.26980296105619106,-0.18525352919954718,-0.13743444222150458,0.0,0.001984126984126977,-0.18525352919954718,2.415655774314542,2.089717741935484,0.7777777777777778,0.9424603174603174,False,False,True,False,False,0.4397018843901126
61,1.811359016225626,1.5755784503790857,0.9583333333333333,1.0,1.811359016225626,0.08543825623805726,0.625,1.641778371653087,0.20207273612523147,0.12308161662627079,1.611391129032258,0.16788449608373507,0.05355706921178749,0.03581267865317228,0.0,0.0,0.05355706921178749,1.8649160854374134,1.611391129032258,0.9583333333333333,1.0,True,True,False,False,True,-0.05355706921178749
62,2.1593547865315337,1.7857707375357812,0.9545454545454546,0.9090909090909091,2.159354786531534,0.09638084275342902,0.46875,2.058781133828381,0.2607027756564867,0.12662967003761758,1.742439516129032,0.34986644731985683,-0.06642833870185072,-0.043331221406749165,0.0,-0.006493506493506551,-0.06642833870185116,2.092926447829683,1.742439516129032,0.9545454545454546,0.9155844155844156,False,False,False,False,True,0.06642833870185072
63,2.197503911286077,1.8553248199913184,0.8852813852813852,0.922077922077922,2.197503911286077,-0.11071054060123466,0.5,2.1644511428246234,0.18160024131629007,0.08390128921053705,1.8578629032258065,0.19596130236617476,-0.014856364801574262,0.00253808323448812,0.0,0.00649350649350644,-0.014856364801574706,2.1826475464845028,1.8578629032258065,0.8852813852813852,0.9155844155844156,False,True,True,False,False,0.1255669054028089
