target,quantile,feature_block,model,gamma,subject_id,n,locked_rmse,candidate_rmse,improvement_locked_minus_candidate,delta_candidate_minus_locked
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.1,55,819,1.3381857160407502,1.494872500105414,-0.15668678406466374,0.15668678406466374
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.1,59,467,2.52989344229672,2.6812466534811312,-0.15135321118441114,0.15135321118441114
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.1,7,345,1.4627017099053237,1.5795425195945718,-0.11684080968924815,0.11684080968924815
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.1,2,804,1.9001274492678175,2.0065724326497527,-0.1064449833819352,0.1064449833819352
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.1,19,466,2.133332814472424,2.2325930171476203,-0.09926020267519631,0.09926020267519631
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.1,56,201,1.9723461110139118,2.0615280945345065,-0.0891819835205947,0.0891819835205947
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.1,20,285,2.190852574328747,2.267671895095732,-0.07681932076698539,0.07681932076698539
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.1,58,252,2.060187132125431,2.1365701201388174,-0.07638298801338639,0.07638298801338639
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.1,60,627,2.4500021200572637,2.5219844008871077,-0.07198228082984404,0.07198228082984404
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.1,14,327,1.6019783830372953,1.6718146062649053,-0.06983622322760996,0.06983622322760996
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.1,17,243,2.209887930516505,2.2703108902415075,-0.060422959725002556,0.060422959725002556
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.1,13,644,1.7800390021753902,1.8401587439921776,-0.060119741816787364,0.060119741816787364
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.1,49,595,2.338413373672547,2.398483843087919,-0.060070469415371974,0.060070469415371974
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.1,43,390,2.6120204503116473,2.662804960390848,-0.05078451007920082,0.05078451007920082
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.1,26,546,2.303989732947513,2.3506010849727756,-0.046611352025262676,0.046611352025262676
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.1,28,468,1.9554554798883805,2.0009360745757085,-0.04548059468732801,0.04548059468732801
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.1,23,196,2.0763772558642604,2.120257421105036,-0.043880165240775426,0.043880165240775426
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.2,6,1088,1.8723755768266206,2.373033253736515,-0.5006576769098943,0.5006576769098943
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.2,41,654,1.8645977938737581,2.2538805248325655,-0.3892827309588074,0.3892827309588074
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.2,42,685,2.1406560940835324,2.47166497819551,-0.3310088841119776,0.3310088841119776
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.2,55,819,1.3381857160407502,1.6556023494412087,-0.31741663340045845,0.31741663340045845
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.2,59,467,2.52989344229672,2.834023375939837,-0.30412993364311713,0.30412993364311713
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.2,7,345,1.4627017099053237,1.6980556790459733,-0.23535396914064965,0.23535396914064965
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.2,2,804,1.9001274492678175,2.1169134233839526,-0.2167859741161351,0.2167859741161351
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.2,19,466,2.133332814472424,2.333510425015324,-0.20017761054289984,0.20017761054289984
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.2,56,201,1.9723461110139118,2.1510976546273333,-0.1787515436134215,0.1787515436134215
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.2,20,285,2.190852574328747,2.3467043477870604,-0.15585177345831358,0.15585177345831358
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.2,58,252,2.060187132125431,2.2133205796749325,-0.15313344754950142,0.15313344754950142
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.2,60,627,2.4500021200572637,2.5976485601492643,-0.14764644009200056,0.14764644009200056
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.2,14,327,1.6019783830372953,1.741950591922468,-0.1399722088851727,0.1399722088851727
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.2,49,595,2.338413373672547,2.4610912103879405,-0.12267783671539334,0.12267783671539334
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.2,17,243,2.209887930516505,2.3320913373296848,-0.12220340681317987,0.12220340681317987
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.2,13,644,1.7800390021753902,1.9019690348590899,-0.12193003268369962,0.12193003268369962
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.2,43,390,2.6120204503116473,2.715115173312154,-0.1030947230005066,0.1030947230005066
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.2,26,546,2.303989732947513,2.4000540224632094,-0.09606428951569645,0.09606428951569645
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.2,28,468,1.9554554798883805,2.047556977879317,-0.09210149799093625,0.09210149799093625
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.2,8,488,2.4694799778940264,2.5590226211756,-0.08954264328157358,0.08954264328157358
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.35,6,1088,1.8723755768266206,2.7654432323803277,-0.8930676555537072,0.8930676555537072
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.35,41,654,1.8645977938737581,2.5604306757685467,-0.6958328818947885,0.6958328818947885
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.35,42,685,2.1406560940835324,2.728567371707983,-0.5879112776244506,0.5879112776244506
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.35,55,819,1.3381857160407502,1.9020300271968287,-0.5638443111560785,0.5638443111560785
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.35,59,467,2.52989344229672,3.0653914487580365,-0.5354980064613164,0.5354980064613164
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.35,7,345,1.4627017099053237,1.8782675032995222,-0.4155657933941985,0.4155657933941985
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.35,2,804,1.9001274492678175,2.2884920627945258,-0.38836461352670826,0.38836461352670826
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.35,19,466,2.133332814472424,2.487551726055643,-0.35421891158321905,0.35421891158321905
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.35,56,201,1.9723461110139118,2.2860789948122684,-0.3137328837983566,0.3137328837983566
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.35,20,285,2.190852574328747,2.4689361523245386,-0.27808357799579175,0.27808357799579175
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.35,58,252,2.060187132125431,2.3290557635479767,-0.2688686314225457,0.2688686314225457
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.35,60,627,2.4500021200572637,2.7173715224118324,-0.26736940235456874,0.26736940235456874
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.35,14,327,1.6019783830372953,1.8476419125462165,-0.24566352950892112,0.24566352950892112
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.35,49,595,2.338413373672547,2.5593496582141526,-0.2209362845416054,0.2209362845416054
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.35,13,644,1.7800390021753902,1.997509810484843,-0.21747080830945276,0.21747080830945276
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.35,17,243,2.209887930516505,2.427079921651156,-0.21719199113465093,0.21719199113465093
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.35,43,390,2.6120204503116473,2.7962532040100454,-0.1842327536983981,0.1842327536983981
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.35,26,546,2.303989732947513,2.4791867837690114,-0.1751970508214984,0.1751970508214984
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.35,8,488,2.4694799778940264,2.642400447226906,-0.17292046933287963,0.17292046933287963
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.35,28,468,1.9554554798883805,2.1194613081791425,-0.16400582829076193,0.16400582829076193
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.5,6,1088,1.8723755768266206,3.1663873595507828,-1.2940117827241622,1.2940117827241622
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.5,41,654,1.8645977938737581,2.875059310012451,-1.010461516138693,1.010461516138693
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.5,42,685,2.1406560940835324,2.9907643664749903,-0.8501082723914579,0.8501082723914579
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.5,55,819,1.3381857160407502,2.1529005051033634,-0.8147147890626132,0.8147147890626132
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.5,59,467,2.52989344229672,3.298908255458693,-0.7690148131619727,0.7690148131619727
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.5,7,345,1.4627017099053237,2.060725618867064,-0.5980239089617403,0.5980239089617403
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.5,2,804,1.9001274492678175,2.465996036036673,-0.5658685867688553,0.5658685867688553
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.5,19,466,2.133332814472424,2.644293614017982,-0.5109607995455581,0.5109607995455581
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.5,56,201,1.9723461110139118,2.421700852478741,-0.4493547414648291,0.4493547414648291
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.5,20,285,2.190852574328747,2.5950309471715887,-0.40417837284284186,0.40417837284284186
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.5,60,627,2.4500021200572637,2.843723435110631,-0.39372131505336716,0.39372131505336716
arousal,0.75,eeg_bandpower,physio_eeg_bandpower_ridge,0.5,58,252,2.060187132125431,2.4454299880239954,-0.38524285589856433,0.38524285589856433
