augmentation_config,target,model,test_subject,n,mae,rmse,pearson,spearman,balanced_accuracy,macro_f1,auroc,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_mean,true_dev_std,pred_dev_mean,pred_dev_std,best_epoch,best_val_rmse_scaled,fit_subjects,val_subjects,outer_train_subjects,y_outer_mean,y_outer_std,final_train_last_loss
none,arousal,eeg_bc_residual_huber_norm_augmented_smoke,1,32,1.524506564595299,1.8792644750073806,0.6461646909345987,0.6497225745416199,0.7166666666666667,0.722943722943723,0.7666666666666667,1.524506564595299,1.8792644750073806,0.11535214047353766,0.10979745257368734,0.59375,0.09979838709677412,1.8730758315387523,-0.16416262716381935,0.23122350661041957,2,1.010730003554102,54,8,62,7.162729191130042e-18,1.9455604821992014,0.4262023505664641
none,arousal,eeg_bc_residual_huber_norm_augmented_smoke,2,32,2.5141178302320046,2.9231809166434655,0.7448326253971648,0.7861338107214635,0.7272727272727273,0.625,0.8681818181818182,2.5141178302320046,2.9231809166434655,0.35798591629809556,0.33687683284457476,0.125,2.2273185483870965,1.5829340702617387,-0.2578580488719545,0.13734722045806552,1,0.936298913094179,54,8,62,-7.162729191130042e-18,1.9288502402018097,0.4358590548076937
none,arousal,eeg_bc_residual_huber_norm_augmented_smoke,3,32,1.6014598571845262,1.8060287447113261,0.6288653832127741,0.6269373041091655,0.8548387096774194,0.5060034305317325,0.967741935483871,1.6014598571845262,1.8060287447113261,-0.011312426732007486,-0.07404692082111436,0.5625,-1.265625,1.353914241378173,-0.07593694473189883,0.10101522315580953,1,1.096710113889335,54,8,62,2.865091676452017e-17,1.9459122563827091,0.4413159484824827
none,arousal,eeg_bc_residual_huber_norm_augmented_smoke,5,32,1.6773000911260159,2.0865135819849363,0.6895985000333867,0.7356824713292901,0.7777777777777778,0.746031746031746,0.8611111111111112,1.6773000911260159,2.0865135819849363,-0.059914288316012046,-0.014662756598240468,0.28125,0.893649193548387,1.5102454224184472,-0.5304838166153303,0.13914583118311888,1,1.1534513359731065,54,8,62,-7.162729191130042e-18,1.9474092830945495,0.4389130468330076
none,arousal,eeg_bc_residual_huber_norm_augmented_smoke,6,32,3.279174516553672,3.7002677092187173,0.32738810762185216,0.36907761082574514,0.6666666666666666,0.3333333333333333,0.48333333333333334,3.279174516553672,3.7002677092187173,-0.04734119943358077,-0.08870967741935483,0.5,3.2752016129032255,1.790167901902087,0.05895295263531123,0.3028166531845347,2,0.9373242147736611,54,8,62,1.7906822977825105e-17,1.9011711549146475,0.42369295320203226
none,arousal,eeg_bc_residual_huber_norm_augmented_smoke,7,32,1.2664470580198648,1.562871667401952,0.667873128609761,0.6874124282707046,0.6875,0.4074074074074074,,1.2664470580198648,1.562871667401952,0.1352709654463618,0.12556136062266418,0.6875,-1.0433467741935485,1.2461858921407156,-0.08596116241427558,0.2062309646912188,2,0.9177450054408505,54,8,62,7.162729191130042e-18,1.949252022010084,0.42661428595742873
gaussian_0p05,arousal,eeg_bc_residual_huber_norm_augmented_smoke,1,32,1.5592467992222367,1.8868602760202102,0.6381942319701722,0.6426825238337266,0.7583333333333333,0.7624602332979851,0.775,1.5592467992222367,1.8868602760202102,0.11783449498852644,0.017047016843660976,0.5625,0.09979838709677412,1.8730758315387523,0.2591218601976196,0.4948641172133528,4,1.0154860474535279,54,8,62,7.162729191130042e-18,1.9455604821992014,0.39642038773144445
gaussian_0p05,arousal,eeg_bc_residual_huber_norm_augmented_smoke,2,32,2.093431642646726,2.55464198540617,0.7352085685355148,0.7739992351582018,0.75,0.6559139784946236,0.8636363636363636,2.093431642646726,2.55464198540617,0.16362505088862753,0.02785923753665689,0.8125,2.2273185483870965,1.5829340702617387,0.20873253106392592,0.37263365712945584,3,0.9106186812887573,54,8,62,-7.162729191130042e-18,1.9288502402018097,0.41843128204345703
gaussian_0p05,arousal,eeg_bc_residual_huber_norm_augmented_smoke,3,32,1.6170323413949244,1.824598814465784,0.6298797927982513,0.6252479520921048,0.8548387096774194,0.5060034305317325,0.967741935483871,1.6170323413949244,1.824598814465784,-0.08735994908210049,-0.11473607038123164,0.625,-1.265625,1.353914241378173,-0.05141379165447178,0.07081960619075398,1,1.1071976284335963,54,8,62,2.865091676452017e-17,1.9459122563827091,0.43700156673308344
gaussian_0p05,arousal,eeg_bc_residual_huber_norm_augmented_smoke,5,32,1.4959595619410253,1.8050667345985074,0.6776821887888016,0.6903436834690269,0.7420634920634921,0.716256157635468,0.8492063492063492,1.4959595619410253,1.8050667345985074,0.04851047038995537,-0.06121700879765395,0.4375,0.893649193548387,1.5102454224184472,-0.041288733299988487,0.4029340353320486,4,1.1393567567765344,54,8,62,-7.162729191130042e-18,1.9474092830945495,0.40424257396690305
