target,subject,n,zero_rmse,model_rmse,improvement_zero_minus_model
arousal,1,32,1.8757326005488377,1.9334976325561315,-0.05776503200729377
arousal,2,32,2.7325131631493744,1.6339964596250207,1.0985167035243537
arousal,3,32,1.8533457350509737,1.3975888943258559,0.4557568407251178
arousal,5,32,1.7548362080449436,1.55896301669001,0.19587319135493364
arousal,6,32,3.7325121194933057,1.847915253576348,1.8845968659169579
arousal,7,32,1.6252851346734933,1.2863854370484806,0.3388996976250127
arousal,8,32,1.9187893074403857,1.683065841244194,0.23572346619619178
arousal,9,32,2.170411362822948,1.9594147868834324,0.21099657593951582
arousal,10,32,1.7173703785641625,1.7682552643042864,-0.05088488574012384
arousal,11,32,2.026535642212376,1.9619589878239352,0.06457665438844096
arousal,12,32,1.3301654805004859,1.2670229240641502,0.0631425564363357
arousal,13,32,2.4172453841383996,1.4543266046156835,0.9629187795227161
arousal,14,32,1.7966571854818605,0.8768511882012782,0.9198059972805823
arousal,15,32,1.6951581251313257,1.6708621477705956,0.02429597736073008
arousal,16,32,1.3937183709424947,1.4154372339970187,-0.021718863054523974
arousal,17,32,1.443007647866153,1.355257435562115,0.08775021230403812
arousal,18,32,2.2144458644257767,2.1884505559428704,0.02599530848290632
arousal,19,32,1.8649160854374134,1.5173629276660157,0.3475531577713977
arousal,20,32,1.6061071539303806,1.280092604012398,0.3260145499179825
arousal,21,32,1.6322030782527182,1.6844382862050529,-0.05223520795233472
arousal,22,32,2.2019212090640568,2.212723196105865,-0.010801987041808125
arousal,23,32,1.4444266565960073,1.1964868882000792,0.24793976839592813
arousal,24,32,1.48257196823593,1.5301389514669923,-0.04756698323106234
arousal,25,32,2.1900265994374353,2.2598528789511536,-0.06982627951371834
arousal,26,32,2.0975708009095437,1.7743786922662155,0.32319210864332826
arousal,27,32,1.535350762562059,1.3731654208969182,0.16218534166514087
arousal,28,32,1.736794234893714,1.3246348352961017,0.4121593995976123
arousal,29,32,1.4303522584477637,1.3819799527800258,0.04837230566773787
arousal,30,32,0.956852374832003,0.9870079378228587,-0.030155562990855644
arousal,31,32,2.3482477221801465,2.2674772167588153,0.08077050542133124
arousal,32,32,1.2891028761453294,1.3237397402097648,-0.034636864064435446
arousal,33,32,1.7088498453534822,1.5969578700784182,0.111891975275064
arousal,34,32,1.370932162726182,1.3287226869419373,0.04220947578424461
arousal,35,32,1.552764938493383,1.5745883810318817,-0.02182344253849866
arousal,36,32,1.6137422213029615,1.5560284653691958,0.05771375593376571
arousal,37,32,1.579093729239403,1.5627216779342215,0.01637205130518149
arousal,38,32,1.3992196939083654,1.43025199939343,-0.031032305485064526
arousal,39,32,2.042019248651355,2.050863690420979,-0.00884444176962429
arousal,40,32,2.919191928710636,2.797828720598067,0.12136320811256907
arousal,41,32,2.4690247430071826,1.544234495006249,0.9247902480009336
arousal,42,32,2.6523340250498326,1.7136675747670926,0.93866645028274
arousal,43,32,1.8068903377094594,1.8608871410970602,-0.05399680338760082
arousal,44,32,2.461961855606203,2.4876595899692227,-0.02569773436301981
arousal,45,32,1.5219490856302587,1.5197887056742674,0.002160379955991276
arousal,46,32,1.9311611674675555,1.990793039590074,-0.059631872122518415
arousal,47,32,2.441804445284562,2.4234266921845276,0.018377753100034422
arousal,48,32,1.3047018848475163,1.3428432821285121,-0.03814139728099586
arousal,49,32,2.3836409706151227,1.7471179451911298,0.6365230254239929
arousal,50,32,1.3913277090479512,1.4359344114324213,-0.044606702384470065
arousal,52,32,2.018432152260223,2.015233395101321,0.0031987571589020547
arousal,53,32,1.1178085559441453,1.0976150253986672,0.020193530545478122
