test_subject,best_epoch,best_val_rmse_scaled,rmse,dev_pearson,pred_dev_std,true_dev_std,std_ratio_pred_over_true
1,3,0.9383421343348538,1.8256013921027316,0.2254899039232075,0.3767420387397595,1.8730758315387523,0.20113549723732316
2,12,1.335812009968785,2.5765813016556005,0.1441251484506853,1.2249258080333725,1.5829340702617387,0.7738324868014437
3,7,0.825596393696451,1.599717390973313,-0.1244924374652136,0.4872465972345191,1.353914241378173,0.35987995571901377
5,7,0.8276169726888931,1.611708964266102,0.118439232951571,0.5031739350601053,1.5102454224184472,0.33317362038703785
6,13,1.8098195178271248,3.440776666668472,-0.0128820386765308,0.8402001615337994,1.790167901902087,0.4693415408918185
7,2,0.7611884951382841,1.4837481967440391,0.0829868262735513,0.2091590109605234,1.2461858921407156,0.1678393346286621
8,2,0.8951670024891206,1.7409851246362538,0.3328980321206899,0.1867698148277748,1.630470033705313,0.11454967645331843
9,1,1.0303159463403408,1.999358395591336,0.1261761788992405,0.1172216451751652,1.898183074793325,0.06175465724660322
10,1,0.8989870209033899,1.7511879507443235,-0.2006605237453427,0.0899872591284953,1.7129972872947774,0.052532049989761624
11,16,0.922531660786251,1.7907789586846892,0.3500986641542283,0.8239002050739741,1.9006477694544373,0.433483898655492
12,1,0.6736114816693523,1.3155074830995257,0.0981080637918851,0.1619617697458223,1.2274284576871453,0.13195210582864303
13,3,0.9856291501402084,1.9079208810682813,0.0536676818036076,0.3712852571885028,1.4088788982214433,0.26353241407562433
14,13,0.7982660908740693,1.5532953630760504,0.342233476860633,0.8159834433169757,0.8494495885699882,0.9606025528726768
15,6,0.8570469716689856,1.6697639550596577,0.0673651551992666,0.5313328327962495,1.6186477056527646,0.3282572427222357
16,7,0.6835273070103007,1.3240017047817745,0.2821516687846481,0.5089490303587902,1.371204820434612,0.37116922488463516
17,4,0.7127306951987793,1.3909673869484818,0.253031574805305,0.4844757244529417,1.3129056407007988,0.36901031531431283
18,5,1.074981270255325,2.0851556429129623,0.2426446118929991,0.663314575395563,2.1200614760696554,0.3128751608775375
19,3,0.8708023605611168,1.694347134944853,0.1827989406236538,0.2211169536843986,1.4699453361764527,0.15042529014007883
20,6,0.6528410591129453,1.272721904387115,0.1339832968170501,0.4772243903034679,1.2400897101370107,0.38483053798643485
21,2,0.8158943318402496,1.5903063625048233,0.2272307344654883,0.3146773313654777,1.631799589761145,0.19284067316841197
22,2,1.1597475543653852,2.2498490562806315,-0.2221406600453107,0.2324969706905626,2.143575596227557,0.10846222129965007
