experiment,target,model,test_subject,n,rmse,mae,dev_rmse,dev_mae,dev_pearson,score_pearson,balanced_accuracy,auroc,true_dev_mean,pred_dev_mean,dev_mean_bias_pred_minus_true,true_dev_std,pred_dev_std,std_ratio_pred_over_true,stimulus_rmse,stimulus_dev_rmse,lift_vs_stimulus_rmse,lift_vs_stimulus_dev_rmse
05b_residual_smoke,arousal,eeg_bc_residual_huber_smoke,1,32,1.8788075688968537,1.514577558063226,1.8788075688968535,1.514577558063226,0.2247403161163631,0.6488205170451706,0.7166666666666667,0.7833333333333333,0.09979838709677412,-0.20781346102012319,-0.3076118481168973,1.8730758315387523,0.09833602676298897,0.05249975740819438,1.8757326005488377,1.8757326005488377,-0.003074968348016016,-0.003074968348015794
05b_residual_smoke,arousal,eeg_bc_residual_huber_smoke,2,32,2.9620267822373947,2.5519934267391475,2.9620267822373947,2.551993426739148,0.42262180338125654,0.7372815023958527,0.7272727272727273,0.8772727272727273,2.2273185483870965,-0.2915441554505378,-2.5188627038376343,1.5829340702617387,0.06005668630703573,0.0379401059306705,2.7325131631493744,2.7325131631493744,-0.22951361908802026,-0.22951361908802026
05b_residual_smoke,arousal,eeg_bc_residual_huber_smoke,3,32,1.8106297666662827,1.6064538235415613,1.8106297666662827,1.6064538235415613,0.06634397429157443,0.6326267564516352,0.8548387096774194,0.967741935483871,-1.265625,-0.06019637128338215,1.2054286287166178,1.353914241378173,0.07231518953237687,0.053411942442316396,1.8533457350509737,1.8533457350509737,0.04271596838469094,0.04271596838469094
05b_residual_smoke,arousal,eeg_bc_residual_huber_smoke,5,32,1.8875188330615666,1.5330594752900182,1.8875188330615666,1.5330594752900182,-0.013870750368160187,0.6694358513776892,0.7777777777777778,0.8650793650793651,0.893649193548387,-0.14239927777089179,-1.0360484713192788,1.5102454224184472,0.43613873800519626,0.28878666442603224,1.7548362080449438,1.7548362080449436,-0.13268262501662287,-0.1326826250166231
05b_residual_smoke,arousal,eeg_bc_residual_huber_smoke,6,32,3.9591235858906555,3.558417774691817,3.9591235858906555,3.558417774691817,-0.13528766797318256,0.3214576778938688,0.6666666666666666,0.5,3.2752016129032255,-0.25139269744977355,-3.526594310352999,1.790167901902087,0.06070817446646252,0.03391200032238598,3.7325121194933057,3.7325121194933057,-0.22661146639734975,-0.22661146639734975
05b_residual_smoke,arousal,eeg_bc_residual_huber_smoke,7,32,1.436745390548866,1.1576876776112666,1.4367453905488659,1.1576876776112663,-0.056635503596858094,0.6620706803411059,0.6875,,-1.0433467741935485,-0.3386243302375078,0.7047224439560407,1.2461858921407156,0.06944171214419968,0.05572339775477317,1.6252851346734933,1.6252851346734933,0.18853974412462726,0.18853974412462748
05c_stabilized_residual_smoke,arousal,eeg_bc_residual_huber_norm_stabilized_smoke,1,32,1.87926437415346,1.524503576698988,1.8792643741534598,1.5245035766989878,0.11535878170469416,0.6461652255866629,0.7166666666666667,0.7666666666666667,0.09979838709677412,-0.16417297880216142,-0.26397136589893555,1.8730758315387523,0.23122048922556446,0.12344427563057649,1.8757326005488377,1.8757326005488377,-0.0035317736046223125,-0.0035317736046220904
05c_stabilized_residual_smoke,arousal,eeg_bc_residual_huber_norm_stabilized_smoke,2,32,2.9231820577402825,2.514119306857821,2.9231820577402825,2.514119306857821,0.3579834316195609,0.7448325185039648,0.7272727272727273,0.8681818181818182,2.2273185483870965,-0.2578592111309609,-2.4851777595180575,1.5829340702617387,0.13734743704493405,0.08676762957167056,2.7325131631493744,2.7325131631493744,-0.19066889459090808,-0.19066889459090808
05c_stabilized_residual_smoke,arousal,eeg_bc_residual_huber_norm_stabilized_smoke,3,32,1.8060298617843697,1.6014608981082636,1.8060298617843697,1.6014608981082636,-0.01131036425592872,0.628865546716312,0.8548387096774194,0.967741935483871,-1.265625,-0.0759351807116285,1.1896898192883716,1.353914241378173,0.10101695021565368,0.07461104043986726,1.8533457350509737,1.8533457350509737,0.047315873266603914,0.047315873266603914
05c_stabilized_residual_smoke,arousal,eeg_bc_residual_huber_norm_stabilized_smoke,5,32,2.0865156853147386,1.6773014055806141,2.0865156853147386,1.677301405580614,-0.05992166830478981,0.6895981949435699,0.7777777777777778,0.8611111111111112,0.893649193548387,-0.5304863217418068,-1.4241355152901938,1.5102454224184472,0.13914265286534488,0.09213247780776929,1.7548362080449438,1.7548362080449436,-0.33167947726979485,-0.3316794772697951
