target,stimulus_only_rmse_B0,fewshot_bias_shrink4_rmse_B1,locked_kernel_residual_rmse_B2,model_family_confirmatory_decision,physiology_gpu_decision,physiology_best_block,physiology_best_model,physiology_best_k,physiology_best_rmse,physiology_locked_reference_rmse,physiology_lift_vs_locked_rmse,physiology_win_margin_vs_locked,physiology_mean_delta_model_minus_locked
arousal,1.944204982116596,1.7338282485895926,1.6576672767528169,GO_CONFIRMED_MODEL_FAMILY_CALIBRATION,NO_GO_PHYSIOLOGY_VS_LOCKED_PERSONALIZATION_GPU,eeg_entropy_complexity,physio_residual_ridge1000,4.0,1.9407191366008123,1.7990775269301655,-0.1416416096706469,-33.0,0.1249763130572677
valence,1.257773694673858,1.2418476288448907,1.1591886890005123,GO_CONFIRMED_MODEL_FAMILY_CALIBRATION,NO_GO_PHYSIOLOGY_VS_LOCKED_PERSONALIZATION_GPU,emg_lagged_interaction_experimental,physio_residual_ridge1000,4.0,1.2579121498487642,1.2157109012314278,-0.0422012486173364,-29.0,0.0421814389226125
