target,decision,best_model,best_k_calibration,best_lift_vs_stimulus_rmse,best_lift_vs_stimulus_residual_rmse,best_rmse,best_residual_rmse,rmse_win_margin,reason
arousal,GO_FEWSHOT_SUBJECT_CALIBRATION,stimulus_plus_fewshot_bias,16,0.6508586882000227,0.6508586882000227,1.7516664236906534,1.7516664236906534,4.0,few-shot subject bias beats stimulus-only in pooled and subject-level residual metrics
valence,WEAK_GO_FEWSHOT_CALIBRATION_NEEDS_CONFIRMATION,stimulus_plus_fewshot_bias_shrink4,16,0.009077654707254856,0.009077654707254856,1.2838485470789516,1.2838485470789516,0.0,few-shot calibration has positive pooled lift but does not meet practical margin
