epoch,train_loss,val_rmse_scaled,augmentation_config,stage,test_subject,target,y_outer_mean,y_outer_std,oracle_test_checkpoint_selection,early_stop,arch_config,arch_description
4,0.4172688614456884,1.0110196212240676,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
5,0.4022371293075623,0.7530966479483795,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
6,0.36844693004123624,0.7459946330814113,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
7,0.35590828786934575,0.7748443230526781,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
8,0.33568542618905345,0.7981246014247905,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
9,0.3042602695284351,0.8465384972981247,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
10,0.2816707840369594,0.8080334684231861,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
11,0.2488981287085241,0.8806161507143131,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
12,0.2381900584986133,0.9867252012457395,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
13,0.2136916387225351,0.8996786840173314,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
14,0.18671254717534588,0.9409963740522557,gaussian_0p10,oracle_test_checkpoint_selection,3,arousal,2.865091676452017e-17,1.9459122563827091,True,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
1,0.442726404436173,0.9430593891443075,gaussian_0p10,oracle_test_checkpoint_selection,5,arousal,-7.162729191130042e-18,1.9474092830945495,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
2,0.4337620739975283,0.8682476834217148,gaussian_0p10,oracle_test_checkpoint_selection,5,arousal,-7.162729191130042e-18,1.9474092830945495,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
3,0.42783344176507765,0.8366964784981954,gaussian_0p10,oracle_test_checkpoint_selection,5,arousal,-7.162729191130042e-18,1.9474092830945495,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
4,0.42113408254038903,0.9201244631372709,gaussian_0p10,oracle_test_checkpoint_selection,5,arousal,-7.162729191130042e-18,1.9474092830945495,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
5,0.3943041048703655,0.8710571399591847,gaussian_0p10,oracle_test_checkpoint_selection,5,arousal,-7.162729191130042e-18,1.9474092830945495,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
6,0.3751092855968783,0.8205415889800648,gaussian_0p10,oracle_test_checkpoint_selection,5,arousal,-7.162729191130042e-18,1.9474092830945495,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
7,0.34122999781562435,0.8716861948882246,gaussian_0p10,oracle_test_checkpoint_selection,5,arousal,-7.162729191130042e-18,1.9474092830945495,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
8,0.30474812753738895,0.7790128244890298,gaussian_0p10,oracle_test_checkpoint_selection,5,arousal,-7.162729191130042e-18,1.9474092830945495,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
9,0.28437126716298444,0.8292534406635986,gaussian_0p10,oracle_test_checkpoint_selection,5,arousal,-7.162729191130042e-18,1.9474092830945495,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
10,0.2559077632763693,0.9074434701958498,gaussian_0p10,oracle_test_checkpoint_selection,5,arousal,-7.162729191130042e-18,1.9474092830945495,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
11,0.24712409631859872,0.9628928897907286,gaussian_0p10,oracle_test_checkpoint_selection,5,arousal,-7.162729191130042e-18,1.9474092830945495,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
12,0.22055474933116667,0.8164526835712604,gaussian_0p10,oracle_test_checkpoint_selection,5,arousal,-7.162729191130042e-18,1.9474092830945495,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
13,0.19911147798261336,0.8875503926745791,gaussian_0p10,oracle_test_checkpoint_selection,5,arousal,-7.162729191130042e-18,1.9474092830945495,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
14,0.18170329832261609,0.9175798825648431,gaussian_0p10,oracle_test_checkpoint_selection,5,arousal,-7.162729191130042e-18,1.9474092830945495,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
15,0.16351885877309308,0.9078845415171463,gaussian_0p10,oracle_test_checkpoint_selection,5,arousal,-7.162729191130042e-18,1.9474092830945495,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
16,0.16003023580678047,0.9350597478982812,gaussian_0p10,oracle_test_checkpoint_selection,5,arousal,-7.162729191130042e-18,1.9474092830945495,True,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
1,0.44193712261415297,1.9654065584036327,gaussian_0p10,oracle_test_checkpoint_selection,6,arousal,1.7906822977825105e-17,1.9011711549146475,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
2,0.4275822865386163,1.9599765145868273,gaussian_0p10,oracle_test_checkpoint_selection,6,arousal,1.7906822977825105e-17,1.9011711549146475,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
3,0.4083230423350488,2.0914558407405033,gaussian_0p10,oracle_test_checkpoint_selection,6,arousal,1.7906822977825105e-17,1.9011711549146475,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
4,0.39978689676330936,2.0220639789908144,gaussian_0p10,oracle_test_checkpoint_selection,6,arousal,1.7906822977825105e-17,1.9011711549146475,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
5,0.37300670315181056,2.219029480999393,gaussian_0p10,oracle_test_checkpoint_selection,6,arousal,1.7906822977825105e-17,1.9011711549146475,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
6,0.3592410400029152,2.164864376376307,gaussian_0p10,oracle_test_checkpoint_selection,6,arousal,1.7906822977825105e-17,1.9011711549146475,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
7,0.32756338436757365,1.7915374145769944,gaussian_0p10,oracle_test_checkpoint_selection,6,arousal,1.7906822977825105e-17,1.9011711549146475,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
8,0.3009870463321286,1.872541670328181,gaussian_0p10,oracle_test_checkpoint_selection,6,arousal,1.7906822977825105e-17,1.9011711549146475,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
9,0.2711413661318441,2.2516083270785376,gaussian_0p10,oracle_test_checkpoint_selection,6,arousal,1.7906822977825105e-17,1.9011711549146475,True,,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
