method,n_eval,n_high,high_threshold,zero_rmse_high,model_rmse_high,lift_vs_zero_high,fixed_rmse_same_eval_high,lift_vs_fixed_same_eval_high,locked_bridge_rmse_05ak,lift_vs_locked_bridge_rmse,pearson_high,sign_acc_high
none_noaug_control,192,68,2.2096774193548385,3.6182232323805663,3.7218038146209342,-0.10358058224036792,,,2.622267149339945,-1.099536665280989,-0.4443926097548544,0.3235294117647059
gaussian_0p10,192,68,2.2096774193548385,3.6182232323805663,3.767095955476102,-0.14887272309553579,,,2.622267149339945,-1.144828806136157,-0.24763308908568024,0.38235294117647056
