subject_id,candidate_rmse,candidate_lift_vs_stimulus_rmse,locked_rmse,locked_lift_vs_stimulus_rmse,delta_rmse_candidate_minus_locked,target,best_candidate_model,k_calibration,locked_reference_model
1,2.524094772739072,-0.24534795160471612,2.3487187127957094,-0.06997189166135342,0.1753760599433627,arousal,bias_shrink1,2,bias_shrink4
9,1.872173606695021,-0.08005176924308333,1.7874531216598435,0.004668715792094158,0.08472048503517748,arousal,bias_shrink1,2,bias_shrink4
5,1.7223125570632314,-0.054540814577463737,1.663999566653528,0.0037721758322395438,0.05831299040970328,arousal,bias_shrink1,2,bias_shrink4
8,2.1338195661871424,0.36178882145900326,2.199903368316884,0.29570501932926163,-0.06608380212974163,arousal,bias_shrink1,2,bias_shrink4
2,2.084240618766485,0.4935689243953689,2.2413527458923714,0.3364567972694825,-0.1571121271258864,arousal,bias_shrink1,2,bias_shrink4
7,1.2319306235435865,0.8139961411600314,1.536832372608216,0.5090943920954019,-0.3049017490646295,arousal,bias_shrink1,2,bias_shrink4
3,1.3979252524144015,0.9145372863518546,1.7673628457595878,0.5450996930066683,-0.36943759334518633,arousal,bias_shrink1,2,bias_shrink4
6,2.1700862601328166,1.4064148994109194,2.6804131234702715,0.8960880360734644,-0.5103268633374549,arousal,bias_shrink1,2,bias_shrink4
5,1.5849067797035508,-0.0595680752626957,1.5633835370440061,-0.03804483260315106,0.02152324265954464,valence,kernel_residual_shrink4,8,bias_shrink4
8,1.2608451832607084,-0.011678794557159256,1.2474208084962297,0.0017455802073194082,0.013424374764478664,valence,kernel_residual_shrink4,8,bias_shrink4
9,1.2995792947894735,0.06815817355484488,1.2897670912454946,0.07797037709882382,0.009812203543978937,valence,kernel_residual_shrink4,8,bias_shrink4
2,1.5606979524329687,-0.025523628754503758,1.551581465908727,-0.016407142230262073,0.009116486524241685,valence,kernel_residual_shrink4,8,bias_shrink4
3,1.3063764023807485,-0.03980260521239187,1.3039029802325823,-0.037329183064225724,0.002473422148166149,valence,kernel_residual_shrink4,8,bias_shrink4
1,1.2080298306324173,0.015204006541883253,1.2059382784866208,0.017295558687679735,0.0020915521457964825,valence,kernel_residual_shrink4,8,bias_shrink4
6,1.0061659162618806,0.07533436443288521,1.1151400875970634,-0.03363980690229762,-0.10897417133518283,valence,kernel_residual_shrink4,8,bias_shrink4
7,0.8025740118250754,0.20658894030187336,1.0490081429141658,-0.039845190787217044,-0.2464341310890904,valence,kernel_residual_shrink4,8,bias_shrink4
