target,k_calibration,model,label_policy,binary_n,accuracy,balanced_accuracy,macro_f1,auroc,n_low,n_high,true_high_rate,pred_high_rate
arousal,0,stimulus_only,midpoint_as_low,256,0.61328125,0.6067317317317318,0.6059150067640062,0.6110798298298298,148,108,0.421875,0.44140625
arousal,0,stimulus_only,midpoint_as_high,256,0.6171875,0.6190476190476191,0.6169770992366412,0.6518124579742038,123,133,0.51953125,0.45703125
arousal,0,stimulus_only,discard_midpoint,231,0.6320346320346321,0.6279358626919602,0.6280193236714975,0.6447229750075278,123,108,0.4675324675324675,0.42857142857142855
arousal,1,affine_residual_ridge1,midpoint_as_low,4960,0.7084677419354839,0.7065683296775221,0.704050001064604,0.7798695105345349,2866,2094,0.4221774193548387,0.45564516129032256
arousal,1,affine_residual_ridge1,midpoint_as_high,4960,0.6879032258064516,0.6891546307677376,0.6878970856444073,0.768665495482996,2382,2578,0.519758064516129,0.47580645161290325
arousal,1,affine_residual_ridge1,discard_midpoint,4476,0.7205093833780161,0.7189288575490967,0.7191004534092782,0.796545265069043,2382,2094,0.467828418230563,0.46134941912421806
arousal,1,affine_residual_ridge4,midpoint_as_low,4960,0.7084677419354839,0.7065683296775221,0.704050001064604,0.7798695105345349,2866,2094,0.4221774193548387,0.45564516129032256
arousal,1,affine_residual_ridge4,midpoint_as_high,4960,0.6879032258064516,0.6891546307677376,0.6878970856444073,0.768665495482996,2382,2578,0.519758064516129,0.47580645161290325
arousal,1,affine_residual_ridge4,discard_midpoint,4476,0.7205093833780161,0.7189288575490967,0.7191004534092782,0.796545265069043,2382,2094,0.467828418230563,0.46134941912421806
arousal,1,bias_empirical_bayes,midpoint_as_low,4960,0.6715725806451613,0.6701400205685203,0.6672858648747844,0.7476732944490989,2866,2094,0.4221774193548387,0.46431451612903224
arousal,1,bias_empirical_bayes,midpoint_as_high,4960,0.6703629032258065,0.672041702736909,0.6702792587821141,0.7561084914724411,2382,2578,0.519758064516129,0.46431451612903224
arousal,1,bias_empirical_bayes,discard_midpoint,4476,0.6894548704200179,0.6877308081865183,0.6878794500822035,0.7723318072426356,2382,2094,0.467828418230563,0.46112600536193027
arousal,1,bias_huber,midpoint_as_low,4960,0.7084677419354839,0.7065683296775221,0.704050001064604,0.7798695105345349,2866,2094,0.4221774193548387,0.45564516129032256
arousal,1,bias_huber,midpoint_as_high,4960,0.6879032258064516,0.6891546307677376,0.6878970856444073,0.768665495482996,2382,2578,0.519758064516129,0.47580645161290325
arousal,1,bias_huber,discard_midpoint,4476,0.7205093833780161,0.7189288575490967,0.7191004534092782,0.796545265069043,2382,2094,0.467828418230563,0.46134941912421806
arousal,1,bias_mean,midpoint_as_low,4960,0.7084677419354839,0.7065683296775221,0.704050001064604,0.7798695105345349,2866,2094,0.4221774193548387,0.45564516129032256
arousal,1,bias_mean,midpoint_as_high,4960,0.6879032258064516,0.6891546307677376,0.6878970856444073,0.768665495482996,2382,2578,0.519758064516129,0.47580645161290325
arousal,1,bias_mean,discard_midpoint,4476,0.7205093833780161,0.7189288575490967,0.7191004534092782,0.796545265069043,2382,2094,0.467828418230563,0.46134941912421806
arousal,1,bias_median,midpoint_as_low,4960,0.7084677419354839,0.7065683296775221,0.704050001064604,0.7798695105345349,2866,2094,0.4221774193548387,0.45564516129032256
arousal,1,bias_median,midpoint_as_high,4960,0.6879032258064516,0.6891546307677376,0.6878970856444073,0.768665495482996,2382,2578,0.519758064516129,0.47580645161290325
arousal,1,bias_median,discard_midpoint,4476,0.7205093833780161,0.7189288575490967,0.7191004534092782,0.796545265069043,2382,2094,0.467828418230563,0.46134941912421806
arousal,1,bias_shrink1,midpoint_as_low,4960,0.6796370967741936,0.6778902070248896,0.6752112667582311,0.7550858932343165,2866,2094,0.4221774193548387,0.46108870967741933
arousal,1,bias_shrink1,midpoint_as_high,4960,0.6739919354838709,0.6753731926610166,0.673969658192777,0.7637558713886604,2382,2578,0.519758064516129,0.4719758064516129
arousal,1,bias_shrink1,discard_midpoint,4476,0.696604110813226,0.6947942905121747,0.6949861252590537,0.7803096007384258,2382,2094,0.467828418230563,0.45933869526362825
arousal,1,bias_shrink2,midpoint_as_low,4960,0.6616935483870968,0.6583756067746813,0.6564286458511355,0.7268545826943162,2866,2094,0.4221774193548387,0.45403225806451614
arousal,1,bias_shrink2,midpoint_as_high,4960,0.6689516129032258,0.6707957730561315,0.6688169944208591,0.7456964862535737,2382,2578,0.519758064516129,0.4600806451612903
arousal,1,bias_shrink2,discard_midpoint,4476,0.6831992850759607,0.6804099033101654,0.6807757746067442,0.7555958329624364,2382,2094,0.467828418230563,0.4450402144772118
arousal,1,bias_shrink4,midpoint_as_low,4960,0.6449596774193549,0.6384927593609762,0.637765505651122,0.6922828391489725,2866,2094,0.4221774193548387,0.4368951612903226
arousal,1,bias_shrink4,midpoint_as_high,4960,0.6596774193548387,0.6622252229189831,0.6591773015000713,0.7194770026556818,2382,2578,0.519758064516129,0.44193548387096776
arousal,1,bias_shrink4,discard_midpoint,4476,0.6680071492403932,0.6637111189701173,0.6639801932619989,0.7233059430927755,2382,2094,0.467828418230563,0.4226988382484361
arousal,1,bias_shrink8,midpoint_as_low,4960,0.6368951612903225,0.6282984781561114,0.6281886772144236,0.6573449312860791,2866,2094,0.4221774193548387,0.4247983870967742
arousal,1,bias_shrink8,midpoint_as_high,4960,0.6481854838709677,0.6512818533623328,0.6472086164379703,0.6915700342431177,2382,2578,0.519758064516129,0.4276209677419355
arousal,1,bias_shrink8,discard_midpoint,4476,0.6581769436997319,0.6530316918435544,0.653013762346439,0.689873891018038,2382,2094,0.467828418230563,0.4101876675603217
arousal,1,bias_trimmed_mean,midpoint_as_low,4960,0.7084677419354839,0.7065683296775221,0.704050001064604,0.7798695105345349,2866,2094,0.4221774193548387,0.45564516129032256
arousal,1,bias_trimmed_mean,midpoint_as_high,4960,0.6879032258064516,0.6891546307677376,0.6878970856444073,0.768665495482996,2382,2578,0.519758064516129,0.47580645161290325
arousal,1,bias_trimmed_mean,discard_midpoint,4476,0.7205093833780161,0.7189288575490967,0.7191004534092782,0.796545265069043,2382,2094,0.467828418230563,0.46134941912421806
arousal,1,kernel_residual_shrink4,midpoint_as_low,4960,0.6439516129032258,0.6376204634782128,0.6368419123676967,0.6896192957514609,2866,2094,0.4221774193548387,0.43790322580645163
arousal,1,kernel_residual_shrink4,midpoint_as_high,4960,0.6576612903225807,0.6603655291594119,0.6570465234653364,0.7176427127688332,2382,2578,0.519758064516129,0.43790322580645163
arousal,1,kernel_residual_shrink4,discard_midpoint,4476,0.6671134941912422,0.6628714884075648,0.6631421358717229,0.7209879372273907,2382,2094,0.467828418230563,0.42359249329758714
