subject_id,candidate_rmse,locked_rmse,improvement_locked_minus_candidate,delta_rmse_candidate_minus_locked,target,k_calibration,model,locked_reference_model,candidate_lift_vs_locked
1,2.524094772739072,2.348718712795709,-0.17537605994336314,0.17537605994336314,arousal,2,bias_shrink1,bias_shrink4,-0.17537605994336314
9,1.872173606695021,1.7874531216598435,-0.08472048503517748,0.08472048503517748,arousal,2,bias_shrink1,bias_shrink4,-0.08472048503517748
5,1.7223125570632314,1.663999566653528,-0.05831299040970328,0.05831299040970328,arousal,2,bias_shrink1,bias_shrink4,-0.05831299040970328
8,2.1338195661871424,2.199903368316884,0.06608380212974163,-0.06608380212974163,arousal,2,bias_shrink1,bias_shrink4,0.06608380212974163
2,2.084240618766485,2.2413527458923714,0.1571121271258864,-0.1571121271258864,arousal,2,bias_shrink1,bias_shrink4,0.1571121271258864
7,1.2319306235435863,1.536832372608216,0.30490174906462975,-0.30490174906462975,arousal,2,bias_shrink1,bias_shrink4,0.30490174906462975
3,1.3979252524144017,1.7673628457595878,0.3694375933451861,-0.3694375933451861,arousal,2,bias_shrink1,bias_shrink4,0.3694375933451861
6,2.1700862601328166,2.6804131234702715,0.5103268633374549,-0.5103268633374549,arousal,2,bias_shrink1,bias_shrink4,0.5103268633374549
5,1.5849067797035508,1.563383537044006,-0.02152324265954486,0.02152324265954486,valence,8,kernel_residual_shrink4,bias_shrink4,-0.02152324265954486
8,1.2608451832607084,1.2474208084962295,-0.013424374764478886,0.013424374764478886,valence,8,kernel_residual_shrink4,bias_shrink4,-0.013424374764478886
9,1.2995792947894735,1.2897670912454946,-0.009812203543978937,0.009812203543978937,valence,8,kernel_residual_shrink4,bias_shrink4,-0.009812203543978937
2,1.5606979524329687,1.551581465908727,-0.009116486524241685,0.009116486524241685,valence,8,kernel_residual_shrink4,bias_shrink4,-0.009116486524241685
3,1.3063764023807485,1.3039029802325823,-0.002473422148166149,0.002473422148166149,valence,8,kernel_residual_shrink4,bias_shrink4,-0.002473422148166149
1,1.208029830632417,1.2059382784866208,-0.0020915521457962605,0.0020915521457962605,valence,8,kernel_residual_shrink4,bias_shrink4,-0.0020915521457962605
6,1.0061659162618806,1.1151400875970634,0.10897417133518283,-0.10897417133518283,valence,8,kernel_residual_shrink4,bias_shrink4,0.10897417133518283
7,0.8025740118250754,1.0490081429141658,0.2464341310890904,-0.2464341310890904,valence,8,kernel_residual_shrink4,bias_shrink4,0.2464341310890904
