split,fold_id,test_subject,n_high,zero_rmse_high,model_rmse_high,improvement_zero_minus_model,pearson_high,sign_acc_high
random_trial_kfold_subjects_overlap,random_fold_1,1,2,3.511375670119091,3.7022622719464335,-0.19088660182734252,1.0,0.0
random_trial_kfold_subjects_overlap,random_fold_1,2,7,3.238118629076606,3.404904691502364,-0.166786062425758,0.3613856450621632,0.0
random_trial_kfold_subjects_overlap,random_fold_1,3,3,2.874893723646239,2.6589134320602255,0.21598029158601362,-0.5227943125629047,1.0
random_trial_kfold_subjects_overlap,random_fold_1,5,3,3.234665392168544,3.330038513255677,-0.09537312108713314,0.7473775824892744,0.0
random_trial_kfold_subjects_overlap,random_fold_1,6,7,5.06546184837504,5.1884552054492605,-0.1229933570742201,-0.1942601613792673,0.0
random_trial_kfold_subjects_overlap,random_fold_1,7,1,2.5588235294117645,2.445423748125048,0.11339978128671646,,1.0
random_trial_kfold_subjects_overlap,random_fold_1,8,6,3.156118366810274,3.1375173390344355,0.018601027775838386,-0.45034011315252714,0.6666666666666666
random_trial_kfold_subjects_overlap,random_fold_1,9,7,3.311301176092689,3.4189199621386623,-0.10761878604597319,0.026029448109938715,0.2857142857142857
random_trial_kfold_subjects_overlap,random_fold_1,10,4,2.4957781804215493,2.4286185821676787,0.06715959825387063,0.2033327434877475,0.75
random_trial_kfold_subjects_overlap,random_fold_1,11,5,3.1221882241585655,3.275761636694859,-0.15357341253629375,0.5299428843726922,0.0
random_trial_kfold_subjects_overlap,random_fold_1,12,3,2.8402335679235007,2.8961740987931637,-0.055940530869663,-0.7520890850371373,0.3333333333333333
random_trial_kfold_subjects_overlap,random_fold_1,13,5,3.1279390637891837,2.9758262978173695,0.15211276597181422,0.9616723395217063,1.0
random_trial_kfold_subjects_overlap,random_fold_1,14,5,3.05847171182367,2.958443632718172,0.10002807910549816,0.16609560541605256,0.8
random_trial_kfold_subjects_overlap,random_fold_1,15,4,2.535609046453844,2.4689284199193815,0.06668062653446238,-0.2409234169608093,0.75
random_trial_kfold_subjects_overlap,random_fold_1,16,3,4.234393487018684,4.328996236347511,-0.0946027493288275,-0.045682061269308315,0.3333333333333333
random_trial_kfold_subjects_overlap,random_fold_1,17,5,3.3846143463798044,3.3734544315706136,0.011159914809190763,-0.18828714578709216,0.6
random_trial_kfold_subjects_overlap,random_fold_1,18,6,2.92940336628208,3.0107224737569176,-0.08131910747483762,-0.09255927248489604,0.16666666666666666
random_trial_kfold_subjects_overlap,random_fold_1,19,2,2.9337292346723545,2.926131168618725,0.007598066053629449,0.9999999999999999,0.5
random_trial_kfold_subjects_overlap,random_fold_1,20,3,3.7440523892396835,3.823626919951282,-0.07957453071159826,-0.5951877488085312,0.0
random_trial_kfold_subjects_overlap,random_fold_1,21,5,3.9270936133350465,3.9709764435593873,-0.04388283022434081,-0.17962537758475278,0.4
random_trial_kfold_subjects_overlap,random_fold_1,22,8,3.363020790532887,3.35919608630089,0.0038247042319969893,0.19981715740688083,0.625
random_trial_kfold_subjects_overlap,random_fold_1,23,2,4.35431446120721,4.506736499381176,-0.15242203817396582,-1.0,0.0
random_trial_kfold_subjects_overlap,random_fold_1,24,4,3.4583664897518194,3.5629654755199853,-0.10459898576816595,-0.6702692160703633,0.25
random_trial_kfold_subjects_overlap,random_fold_1,25,3,4.3390112688994265,4.3768066240094345,-0.03779535511000809,0.9757862316343621,0.3333333333333333
