subject_id,candidate_rmse,candidate_lift_vs_stimulus_rmse,locked_rmse,locked_lift_vs_stimulus_rmse,delta_rmse_candidate_minus_locked,target,best_candidate_model,k_calibration,locked_reference_model
42,1.924969453469738,0.6872807511687296,1.747650476074794,0.8645997285636735,0.17731897739494396,arousal,kernel_residual_shrink4,16,bias_shrink4
2,1.8503983856424104,0.8822894411766271,1.6973522641563938,1.0353355626626437,0.1530461214860166,arousal,kernel_residual_shrink4,16,bias_shrink4
14,1.0938650659837663,0.7143965560312688,0.9442481138558295,0.8640135081592056,0.1496169521279368,arousal,kernel_residual_shrink4,16,bias_shrink4
55,1.2153293554116766,1.2392199657320564,1.1074593390120635,1.3470899821316695,0.10787001639961313,arousal,kernel_residual_shrink4,16,bias_shrink4
40,2.915243494104542,0.018003088845684356,2.8203070382145077,0.11293954473571866,0.0949364558900343,arousal,kernel_residual_shrink4,16,bias_shrink4
20,1.4024263747701915,0.2232634151910371,1.322085278002177,0.3036045119590516,0.08034109676801449,arousal,kernel_residual_shrink4,16,bias_shrink4
23,1.29384584087447,0.1610918278684763,1.2238602719553207,0.23107739678762562,0.06998556891914931,arousal,kernel_residual_shrink4,16,bias_shrink4
5,1.6506572044227021,0.13095649459530234,1.5952851826541352,0.18632851636386927,0.055372021768566926,arousal,kernel_residual_shrink4,16,bias_shrink4
26,1.8608435219200885,0.2510968213490048,1.8059225517743789,0.3060177914947144,0.054920970145709624,arousal,kernel_residual_shrink4,16,bias_shrink4
1,2.027674754210933,-0.107280831423616,1.9802126256526,-0.05981870286528301,0.04746212855833298,arousal,kernel_residual_shrink4,16,bias_shrink4
64,1.5924478353379308,-0.08739715531825798,1.5626994628149733,-0.0576487827953005,0.029748372522957478,arousal,kernel_residual_shrink4,16,bias_shrink4
29,1.4252034522263453,0.02689307339412572,1.3964134787153772,0.055683046905093736,0.028789973510968014,arousal,kernel_residual_shrink4,16,bias_shrink4
30,1.018774157759997,-0.05853416610620221,0.9955223880214995,-0.035282396367704805,0.023251769738497408,arousal,kernel_residual_shrink4,16,bias_shrink4
32,1.3317022948747794,-0.03626127488803088,1.3201318719996509,-0.02469085201290233,0.01157042287512855,arousal,kernel_residual_shrink4,16,bias_shrink4
38,1.4285517655853495,-0.045339368713660955,1.4193196041264449,-0.03610720725475636,0.009232161458904597,arousal,kernel_residual_shrink4,16,bias_shrink4
34,1.3389643984357096,0.03006815416223385,1.3374172030350087,0.03161534956293477,0.001547195400700918,arousal,kernel_residual_shrink4,16,bias_shrink4
18,2.1880254393297593,0.018188513985823107,2.1911784057148735,0.01503554760070891,-0.0031529663851141976,arousal,kernel_residual_shrink4,16,bias_shrink4
3,1.4587998476397572,0.4227585747256484,1.4639026754481266,0.417655746917279,-0.005102827808369348,arousal,kernel_residual_shrink4,16,bias_shrink4
15,1.6882899919545242,0.013855525515436451,1.695198109694977,0.006947407774983594,-0.006908117740452857,arousal,kernel_residual_shrink4,16,bias_shrink4
53,1.0940494689104014,0.0341271221672399,1.105335138354031,0.022841452723610267,-0.011285669443629631,arousal,kernel_residual_shrink4,16,bias_shrink4
27,1.378093790763804,0.17133588175884795,1.3925381736370535,0.1568914988855985,-0.01444438287324945,arousal,kernel_residual_shrink4,16,bias_shrink4
52,1.95667443724848,0.006753417271860629,1.9723732861892145,-0.00894543166887396,-0.01569884894073459,arousal,kernel_residual_shrink4,16,bias_shrink4
56,1.3729857854230054,0.07691951621392579,1.3925677891853547,0.05733751245157648,-0.01958200376234931,arousal,kernel_residual_shrink4,16,bias_shrink4
8,1.695960230452148,0.22598316496627802,1.7168056929078588,0.20513770251056718,-0.02084546245571084,arousal,kernel_residual_shrink4,16,bias_shrink4
17,1.3295884919701286,0.11799889232544336,1.3547718493487089,0.09281553494686312,-0.02518335737858024,arousal,kernel_residual_shrink4,16,bias_shrink4
25,2.240368060427128,-0.03912477495843181,2.272631208084686,-0.07138792261598992,-0.03226314765755811,arousal,kernel_residual_shrink4,16,bias_shrink4
13,1.4800322404357045,0.9490004861846504,1.5161864543861683,0.9128462722341866,-0.03615421395046381,arousal,kernel_residual_shrink4,16,bias_shrink4
28,1.324603867687493,0.4264029316694886,1.3645474537413371,0.38645934561564443,-0.03994358605384418,arousal,kernel_residual_shrink4,16,bias_shrink4
48,1.2833503305462057,0.00478832024525766,1.3337178647945032,-0.04557921400303977,-0.05036753424829743,arousal,kernel_residual_shrink4,16,bias_shrink4
47,2.3922618780823126,0.08486869144379705,2.4435804706187145,0.03355009890739513,-0.05131859253640192,arousal,kernel_residual_shrink4,16,bias_shrink4
58,1.1328268247911089,0.4589500367705617,1.1941382778333876,0.397638583728283,-0.061311453042278696,arousal,kernel_residual_shrink4,16,bias_shrink4
16,1.333581904409724,0.02927694197595243,1.398266305197168,-0.035407458811491654,-0.06468440078744409,arousal,kernel_residual_shrink4,16,bias_shrink4
36,1.4994928285993023,0.12406542480130289,1.566290260296769,0.057267993103836234,-0.06679743169746666,arousal,kernel_residual_shrink4,16,bias_shrink4
22,2.1278907254937502,0.06394480268126301,2.1977818789190366,-0.005946350744023388,-0.0698911534252864,arousal,kernel_residual_shrink4,16,bias_shrink4
59,1.6223776335444038,0.40782333826901107,1.6955894823830295,0.3346114894303853,-0.07321184883862575,arousal,kernel_residual_shrink4,16,bias_shrink4
33,1.5407563062919178,0.1894724733244355,1.617484130834538,0.11274464878181534,-0.07672782454262017,arousal,kernel_residual_shrink4,16,bias_shrink4
10,1.7135400171228568,0.023062529232020568,1.798906382065505,-0.062303835710627586,-0.08536636494264815,arousal,kernel_residual_shrink4,16,bias_shrink4
31,2.164114045053963,0.16537075091964804,2.2558768463712187,0.07360794960239225,-0.09176280131725578,arousal,kernel_residual_shrink4,16,bias_shrink4
6,1.8369807021893025,1.8912929886547254,1.956711400391605,1.7715622904524229,-0.11973069820230253,arousal,kernel_residual_shrink4,16,bias_shrink4
63,2.1298292740193214,0.07194362132531396,2.2539465121609745,-0.05217361681633914,-0.1241172381416531,arousal,kernel_residual_shrink4,16,bias_shrink4
45,1.3659386191870562,0.1284287862751361,1.49515292564734,-0.000785520185147659,-0.12921430646028376,arousal,kernel_residual_shrink4,16,bias_shrink4
21,1.525303230275441,0.08711912747747674,1.6583979587759439,-0.045975601023026114,-0.13309472850050286,arousal,kernel_residual_shrink4,16,bias_shrink4
54,1.6244924842476682,0.10333917718817487,1.7690649941237102,-0.04123333268786711,-0.14457250987604198,arousal,kernel_residual_shrink4,16,bias_shrink4
24,1.3749870715357368,0.09749132826414186,1.5219067415820329,-0.04942834178215416,-0.14691967004629602,arousal,kernel_residual_shrink4,16,bias_shrink4
19,1.3757408964108981,0.47807728357140045,1.5237403896248158,0.33007779035748275,-0.1479994932139177,arousal,kernel_residual_shrink4,16,bias_shrink4
9,1.8491534198236859,0.32109451511727505,2.0037540770450635,0.16649385789589743,-0.1546006572213776,arousal,kernel_residual_shrink4,16,bias_shrink4
44,2.3144568178408074,0.11580201065156936,2.469247575945177,-0.03898874745280034,-0.1547907581043697,arousal,kernel_residual_shrink4,16,bias_shrink4
49,1.617094313525964,0.7394371980028558,1.7819277773799158,0.5746037341489039,-0.16483346385395192,arousal,kernel_residual_shrink4,16,bias_shrink4
50,1.2618698570669196,0.12035191900283082,1.429856211116804,-0.04763443504705367,-0.1679863540498845,arousal,kernel_residual_shrink4,16,bias_shrink4
57,2.0823222519754605,0.09611594305394089,2.2528572150723716,-0.07441902004297019,-0.17053496309691107,arousal,kernel_residual_shrink4,16,bias_shrink4
35,1.4351909717582625,0.1393758570842465,1.6068213812439405,-0.03225455240143149,-0.17163040948567798,arousal,kernel_residual_shrink4,16,bias_shrink4
60,1.9836899941063095,0.4324184460919127,2.160781785983702,0.25532665421452005,-0.17709179187739266,arousal,kernel_residual_shrink4,16,bias_shrink4
43,1.7042750465495093,0.1168484967439063,1.8879863477450232,-0.06686280445160753,-0.18371130119551382,arousal,kernel_residual_shrink4,16,bias_shrink4
46,1.8184888323796935,0.1182992866467738,2.0111837656410065,-0.07439564661453923,-0.19269493326131304,arousal,kernel_residual_shrink4,16,bias_shrink4
11,1.8208033575181806,0.25070041851523683,2.0187835814676443,0.05272019456577315,-0.19798022394946369,arousal,kernel_residual_shrink4,16,bias_shrink4
41,1.3967371249766032,1.0723881395776989,1.599107520500979,0.870017744053323,-0.20237039552437586,arousal,kernel_residual_shrink4,16,bias_shrink4
39,1.8641754257594902,0.196809220791633,2.0784844181727435,-0.017499771621620308,-0.2143089924132533,arousal,kernel_residual_shrink4,16,bias_shrink4
37,1.2987335242215887,0.22987205460139237,1.5418985604298252,-0.013292981606844112,-0.24316503620823648,arousal,kernel_residual_shrink4,16,bias_shrink4
7,1.025387001478648,0.6075967181474835,1.3024536086077854,0.33053011101834606,-0.27706660712913744,arousal,kernel_residual_shrink4,16,bias_shrink4
61,1.4139675968453573,0.43827752184402335,1.694845904641088,0.1573992140482927,-0.28087830779573064,arousal,kernel_residual_shrink4,16,bias_shrink4
12,0.9889646708707461,0.35898253174149886,1.2854503476423746,0.06249685496987034,-0.2964856767716285,arousal,kernel_residual_shrink4,16,bias_shrink4
62,1.8632881166373068,0.25248402915080215,2.1613209630110206,-0.04554881722291171,-0.29803284637371386,arousal,kernel_residual_shrink4,16,bias_shrink4
65,1.290144787921214,0.725580211917302,1.8150557575721284,0.2006692422663876,-0.5249109696509144,arousal,kernel_residual_shrink4,16,bias_shrink4
18,1.9079514680866139,-0.07789209932717833,1.8459153896591352,-0.01585602089969962,0.062036078427478714,valence,kernel_residual_shrink4,16,bias_shrink4
1,1.209997366098178,-0.00693473933139277,1.1553844462569354,0.04767818050984984,0.05461291984124261,valence,kernel_residual_shrink4,16,bias_shrink4
29,0.9337065690318628,0.0375705759703997,0.8866728129130886,0.08460433208917384,0.04703375611877414,valence,kernel_residual_shrink4,16,bias_shrink4
27,1.3844423596290234,-0.07091388641347462,1.3393465522577586,-0.025818079042209785,0.04509580737126484,valence,kernel_residual_shrink4,16,bias_shrink4
44,1.4845274200753777,0.07907068521239768,1.44019998891283,0.12339811637494535,0.04432743116254767,valence,kernel_residual_shrink4,16,bias_shrink4
34,1.1557151027855534,0.2084163346368071,1.121317298712215,0.24281413871014546,0.03439780407333837,valence,kernel_residual_shrink4,16,bias_shrink4
20,0.9841227526950147,0.026511793777870052,0.9499798299381318,0.06065471653475296,0.03414292275688291,valence,kernel_residual_shrink4,16,bias_shrink4
17,1.234319433154173,-0.05979297988115895,1.203063836337378,-0.02853738306436404,0.031255596816794906,valence,kernel_residual_shrink4,16,bias_shrink4
23,1.0925409628369789,-0.042684362451207436,1.0661192870815164,-0.016262686695744932,0.026421675755462504,valence,kernel_residual_shrink4,16,bias_shrink4
10,1.0642607623042837,-0.057367410372505256,1.0432218228124313,-0.03632847088065283,0.021038939491852426,valence,kernel_residual_shrink4,16,bias_shrink4
63,1.1889045387261121,-0.05230618651193475,1.1708765015995148,-0.034278149385337464,0.018028037126597285,valence,kernel_residual_shrink4,16,bias_shrink4
62,1.2113687920571479,0.07019041088072475,1.196375052995406,0.08518414994246659,0.01499373906174184,valence,kernel_residual_shrink4,16,bias_shrink4
58,1.0105264264551594,-0.00406318210549772,0.9968661613277965,0.009597083021865238,0.013660265127362958,valence,kernel_residual_shrink4,16,bias_shrink4
5,1.555609785781849,-0.0604601855735214,1.5426723727213605,-0.04752277251303294,0.012937413060488456,valence,kernel_residual_shrink4,16,bias_shrink4
47,1.9110001276808375,-0.08101245798798207,1.8980687906330016,-0.06808112094014618,0.012931337047835889,valence,kernel_residual_shrink4,16,bias_shrink4
53,0.9550528246779788,0.1663074135233491,0.9444171283277725,0.17694310987355544,0.010635696350206336,valence,kernel_residual_shrink4,16,bias_shrink4
26,1.5795258206744904,-0.02004616963767125,1.569265465495456,-0.00978581445863691,0.010260355179034342,valence,kernel_residual_shrink4,16,bias_shrink4
32,1.0355444323619014,0.02713987251976535,1.0284853341035938,0.03419897077807299,0.007059098258307639,valence,kernel_residual_shrink4,16,bias_shrink4
45,0.9588711387363509,-0.02951875283527572,0.9545490413113777,-0.025196655410302582,0.004322097424973137,valence,kernel_residual_shrink4,16,bias_shrink4
3,1.2195756209650204,-0.025932220758141167,1.2163435051426064,-0.02270010493572716,0.0032321158224140056,valence,kernel_residual_shrink4,16,bias_shrink4
48,0.9912028785079954,0.04882755684070772,0.9913272492676062,0.048703186081096916,-0.00012437075961080346,valence,kernel_residual_shrink4,16,bias_shrink4
