target,model,n,mae,rmse,pearson,spearman,ccc,y_true_std,y_pred_std,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_std,pred_dev_std,lift_vs_stimulus_mae,lift_vs_stimulus_rmse,lift_vs_stimulus_pearson,lift_vs_stimulus_spearman,lift_vs_stimulus_ccc,lift_vs_stimulus_dev_mae,lift_vs_stimulus_dev_rmse,lift_vs_stimulus_dev_pearson,lift_vs_stimulus_dev_spearman,lift_vs_stimulus_dev_sign_acc,lift_vs_stimulus_pred_dev_std
arousal,physio_eeg_bandpower_ridge,2016,1.5915199710932741,1.961104332506737,0.6287096642720235,0.6131120214259823,0.5870593806188645,2.514611055537069,1.7291985909839536,1.5937611945730503,1.9624435573658796,0.12546633047173086,0.11986667722685866,0.5277777777777778,1.944204982116596,0.6054249476481015,-0.011594855885900923,-0.0168993503901409,-0.0056658303584660175,0.014612055248261924,0.007678080738591886,-0.0138360793656771,-0.018238575249283517,,,0.5277777777777778,0.6054249476481015
arousal,physio_eeg_cov_riemannian_ridge,2016,1.6123898103010117,1.9993700853597687,0.6112333906265088,0.590832884780525,0.5705687885467957,2.514611055537069,1.7277977233463226,1.618098308545864,2.0030284901775666,0.06676967859305719,0.05097704804299773,0.5148809523809523,1.944204982116596,0.6284229856835406,-0.032464695093638474,-0.055165103243172586,-0.023142104003980646,-0.007667081397195408,-0.008812511333476936,-0.038173193338490785,-0.058823508060970475,,,0.5148809523809523,0.6284229856835406
arousal,physio_eeg_directed_connectivity_experimental_ridge,2016,1.5987745636546624,1.9658826070834112,0.6256855709538078,0.6072686243580631,0.5807628809474886,2.514611055537069,1.7013643469371722,1.5991521493575234,1.9663756309576648,0.06517015484018787,0.054654874140813596,0.5188492063492064,1.944204982116596,0.44650013601793875,-0.018849448447289197,-0.021677624966815134,-0.008689923676681643,0.00876865818034267,0.0013815810672159756,-0.019227034150150146,-0.022170648841068674,,,0.5188492063492064,0.44650013601793875
arousal,physio_eeg_entropy_complexity_ridge,2016,1.572280221706451,1.9463678558614221,0.6349201546520523,0.620546870889088,0.5910524262350471,2.514611055537069,1.7147005460143407,1.5739308184380463,1.9485175118232667,0.13174672687461148,0.13320950974684975,0.5615079365079365,1.944204982116596,0.5429364671808452,0.007644893500922123,-0.0021628737448260438,0.0005446600215628372,0.02204690471136761,0.011671126354774408,0.0059942967693269456,-0.00431252970667062,,,0.5615079365079365,0.5429364671808452
arousal,physio_emg_bsl_stats_22_ridge,2016,1.582032183755827,1.9524919414034763,0.6306485786327654,0.6080520474131956,0.5781468618189847,2.514611055537069,1.6472789587488341,1.6333992615421904,3.038803962799144,0.04981335666914293,-0.029655806740108214,0.5104166666666666,1.944204982116596,2.4335781532417835,-0.002107068548453883,-0.008286959286880169,-0.003726915997724123,0.00955208123547524,-0.001234438061287979,-0.053474146334817174,-1.094598980682548,,,0.5104166666666666,2.4335781532417835
arousal,physio_emg_existing_22_ridge,2016,1.5933754388466748,1.9618606315947302,0.6262400641302154,0.6035306890614616,0.5741737568883871,2.514611055537069,1.6478040116877872,1.656811103220241,3.393353589992773,0.02214712736198539,-0.03786180913704963,0.4930555555555556,1.944204982116596,2.824193320347788,-0.013450323639301542,-0.01765564947813414,-0.008135430500274099,0.005030722883741179,-0.005207542991885528,-0.07688598801286783,-1.449148607876177,,,0.4930555555555556,2.824193320347788
arousal,physio_emg_expanded_812_ridge,2016,1.651224988462528,2.0469107383556744,0.5900233005627885,0.5810700539019578,0.5525670001006984,2.514611055537069,1.7437521769115174,33939.746712015585,485887.2715143047,0.014011982496978017,-0.002775128413277513,0.503968253968254,1.944204982116596,484700.6028453848,-0.07129987325515486,-0.1027057562390783,-0.04435219406770097,-0.017429912275762627,-0.02681429977957428,-33938.16678690038,-485885.32730932254,,,0.503968253968254,484700.6028453848
arousal,physio_emg_lagged_interaction_experimental_ridge,2016,1.5877841361432412,1.9540013901575088,0.6297923888710206,0.6095024553512983,0.5759954557172707,2.514611055537069,1.6375706976008144,1.5877841361432412,1.9540013901575088,-0.04407182773693488,0.00036129671538068556,0.5143849206349206,1.944204982116596,0.1276928505332191,-0.007859020935867989,-0.009796408040912752,-0.004583105759468853,0.011002489173577934,-0.0033858441630019165,-0.007859020935867989,-0.009796408040912752,,,0.5143849206349206,0.1276928505332191
arousal,stimulus_only,2016,1.5799251152073732,1.944204982116596,0.6343754946304895,0.5984999661777204,0.5793812998802726,2.514611055537069,1.6319723102903874,1.5799251152073732,1.944204982116596,,,0.0,1.944204982116596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
valence,physio_eeg_bandpower_ridge,2016,1.0428305666263276,1.2913515947270813,0.8585956736257658,0.8468439838835584,0.8507034775642873,2.5179028270055928,2.197656772790319,1.0430977110811464,1.291436442406064,-0.034817376374411985,-0.014001372400013826,0.4965277777777778,1.257773694673858,0.25221975786397666,-0.020765154439947642,-0.03357790005322325,-0.007711549840703769,0.005486929132084262,-0.0073868229961975285,-0.021032298894766432,-0.03366274773220601,,,0.4965277777777778,0.25221975786397666
