augmentation_config,target,model,n,mae,rmse,pearson,spearman,balanced_accuracy,macro_f1,auroc,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_mean,true_dev_std,pred_dev_mean,pred_dev_std,lift_vs_stimulus_mae,lift_vs_stimulus_rmse,lift_vs_stimulus_pearson,lift_vs_stimulus_spearman,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_macro_f1,lift_vs_stimulus_auroc,lift_vs_stimulus_dev_mae,lift_vs_stimulus_dev_rmse,lift_vs_stimulus_dev_pearson,lift_vs_stimulus_dev_spearman,lift_vs_stimulus_dev_sign_acc,lift_vs_stimulus_true_dev_std,lift_vs_stimulus_pred_dev_std
gain_0p10,arousal,eeg_bc_residual_huber_norm_augmented_smoke,192,1.9355501710043992,2.372706448488019,0.439878166929833,0.4491542541125325,0.6188239195313363,0.617717501082095,0.6606609925942302,1.9355501710043992,2.372706448488019,0.02160943011405972,0.01516227278286119,0.53125,0.6978326612903225,2.2785491530949153,0.06404658133726306,0.2459339741894049,0.0006897483504395563,0.010307749168614766,-0.001433638655505165,0.01926763860748626,-0.00917431192660556,-0.009012615274577307,0.012987730739471681,0.0006897483504395563,0.010307749168614766,,,0.53125,0.0,0.2459339741894049
gain_0p10,arousal,stimulus_only,192,1.9362399193548387,2.383014197656634,0.44131180558533817,0.42988661550504625,0.6279982314579419,0.6267301163566723,0.6476732618547585,1.9362399193548387,2.383014197656634,,,0.0,0.6978326612903225,2.2785491530949153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
gaussian_0p05,arousal,eeg_bc_residual_huber_norm_augmented_smoke,192,1.9106763125388087,2.348414121953915,0.450758248218781,0.453936252448267,0.6354592682657234,0.6353171405548521,0.660218857079695,1.9106763125388087,2.348414121953915,0.09295632039586911,0.12368718336448878,0.5729166666666666,0.6978326612903225,2.2785491530949153,0.10468124156349107,0.3394598726524986,0.025563606816030093,0.034600075702718947,0.009446442633442853,0.024049636943220765,0.00746103680778154,0.008587024198179805,0.012545595224936479,0.025563606816030093,0.034600075702718947,,,0.5729166666666666,0.0,0.3394598726524986
gaussian_0p05,arousal,stimulus_only,192,1.9362399193548387,2.383014197656634,0.44131180558533817,0.42988661550504625,0.6279982314579419,0.6267301163566723,0.6476732618547585,1.9362399193548387,2.383014197656634,,,0.0,0.6978326612903225,2.2785491530949153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
gaussian_0p05_gain_0p10,arousal,eeg_bc_residual_huber_norm_augmented_smoke,192,1.9546262200906586,2.4490959008815363,0.4341645802968202,0.432520176672496,0.6173869791090969,0.6155877317703045,0.6576765778711176,1.9546262200906588,2.4490959008815363,-0.022029309804639907,0.01914083281472966,0.5260416666666666,0.6978326612903225,2.2785491530949153,-0.1402937632667913,0.27591571358808453,-0.018386300735819816,-0.06608170322490237,-0.007147225288517967,0.0026335611674497272,-0.010611252348844968,-0.011142384586367848,0.010003316016359065,-0.018386300735820038,-0.06608170322490237,,,0.5260416666666666,0.0,0.27591571358808453
gaussian_0p05_gain_0p10,arousal,stimulus_only,192,1.9362399193548387,2.383014197656634,0.44131180558533817,0.42988661550504625,0.6279982314579419,0.6267301163566723,0.6476732618547585,1.9362399193548387,2.383014197656634,,,0.0,0.6978326612903225,2.2785491530949153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
gaussian_0p05_shift16,arousal,eeg_bc_residual_huber_norm_augmented_smoke,192,2.0102254821357293,2.464557474829564,0.3939405992948136,0.3867329055921736,0.6188239195313363,0.617717501082095,0.6153421023543716,2.0102254821357293,2.464557474829564,-0.28949037862955757,-0.332069457592772,0.3697916666666667,0.6978326612903225,2.2785491530949153,0.028231526232731664,0.2725769894835691,-0.07398556278089052,-0.0815432771729303,-0.04737120629052455,-0.04315370991287265,-0.00917431192660556,-0.009012615274577307,-0.0323311595003869,-0.07398556278089052,-0.0815432771729303,,,0.3697916666666667,0.0,0.2725769894835691
gaussian_0p05_shift16,arousal,stimulus_only,192,1.9362399193548387,2.383014197656634,0.44131180558533817,0.42988661550504625,0.6279982314579419,0.6267301163566723,0.6476732618547585,1.9362399193548387,2.383014197656634,,,0.0,0.6978326612903225,2.2785491530949153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_augmented_smoke,192,1.8412391004927466,2.3060573944258382,0.49648735374803754,0.5110503429478624,0.6234110754946391,0.6222222222222222,0.6982425113297226,1.8412391004927466,2.3060573944258382,0.46705522638285574,0.4710816845745815,0.6927083333333334,0.6978326612903225,2.2785491530949153,-0.048844649277906195,0.22687517711047758,0.0950008188620921,0.07695680323079568,0.05517554816269937,0.08116372744281619,-0.004587155963302725,-0.0045078941344500745,0.050569249474964106,0.0950008188620921,0.07695680323079568,,,0.6927083333333334,0.0,0.22687517711047758
gaussian_0p10,arousal,stimulus_only,192,1.9362399193548387,2.383014197656634,0.44131180558533817,0.42988661550504625,0.6279982314579419,0.6267301163566723,0.6476732618547585,1.9362399193548387,2.383014197656634,,,0.0,0.6978326612903225,2.2785491530949153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
