target,k_calibration,model,label_policy,binary_n,accuracy,balanced_accuracy,macro_f1,auroc,n_low,n_high,true_high_rate,pred_high_rate,lift_vs_stimulus_accuracy,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_macro_f1,lift_vs_stimulus_auroc
arousal,0,stimulus_only,midpoint_as_low,2016,0.8010912698412699,0.7686230248306998,0.7739110736354597,0.816073636699185,1329,687,0.34077380952380953,0.3125,0.0,0.0,0.0,0.0
arousal,0,stimulus_only,midpoint_as_high,2016,0.7599206349206349,0.743163875978863,0.7453650012578512,0.8100016115426243,1112,904,0.44841269841269843,0.3125,0.0,0.0,0.0,0.0
arousal,0,stimulus_only,discard_midpoint,1799,0.8143413007226237,0.7861211031175059,0.7952756388415673,0.8449886379106322,1112,687,0.3818788215675375,0.3129516397998888,0.0,0.0,0.0,0.0
arousal,0,stimulus_plus_fewshot_bias,midpoint_as_low,2016,0.8010912698412699,0.7686230248306998,0.7739110736354597,0.816073636699185,1329,687,0.34077380952380953,0.3125,0.0,0.0,0.0,0.0
arousal,0,stimulus_plus_fewshot_bias,midpoint_as_high,2016,0.7599206349206349,0.743163875978863,0.7453650012578512,0.8100016115426243,1112,904,0.44841269841269843,0.3125,0.0,0.0,0.0,0.0
arousal,0,stimulus_plus_fewshot_bias,discard_midpoint,1799,0.8143413007226237,0.7861211031175059,0.7952756388415673,0.8449886379106322,1112,687,0.3818788215675375,0.3129516397998888,0.0,0.0,0.0,0.0
arousal,0,stimulus_plus_fewshot_bias_shrink4,midpoint_as_low,2016,0.8010912698412699,0.7686230248306998,0.7739110736354597,0.816073636699185,1329,687,0.34077380952380953,0.3125,0.0,0.0,0.0,0.0
arousal,0,stimulus_plus_fewshot_bias_shrink4,midpoint_as_high,2016,0.7599206349206349,0.743163875978863,0.7453650012578512,0.8100016115426243,1112,904,0.44841269841269843,0.3125,0.0,0.0,0.0,0.0
arousal,0,stimulus_plus_fewshot_bias_shrink4,discard_midpoint,1799,0.8143413007226237,0.7861211031175059,0.7952756388415673,0.8449886379106322,1112,687,0.3818788215675375,0.3129516397998888,0.0,0.0,0.0,0.0
arousal,1,stimulus_only,midpoint_as_low,390600,0.801321044546851,0.7688714593666492,0.7741463764258429,0.8163051332301013,257548,133052,0.3406349206349206,0.31249359959037376,0.0,0.0,0.0,0.0
arousal,1,stimulus_only,midpoint_as_high,390600,0.7600972862263184,0.7432892110270061,0.7455270755910051,0.8101531012068707,215524,175076,0.4482232462877624,0.31249359959037376,0.0,0.0,0.0,0.0
arousal,1,stimulus_only,discard_midpoint,348576,0.814551202607179,0.7863323310976086,0.7954872600378131,0.8451623132338326,215524,133052,0.3817015514550629,0.31298482970715136,0.0,0.0,0.0,0.0
arousal,1,stimulus_plus_fewshot_bias,midpoint_as_low,390600,0.7334485407066053,0.7184515291395803,0.7114617557223961,0.7971512686363799,257548,133052,0.3406349206349206,0.3833205325140809,-0.06787250384024579,-0.05041993022706892,-0.06268462070344683,-0.01915386459372148
arousal,1,stimulus_plus_fewshot_bias,midpoint_as_high,390600,0.717936507936508,0.7083171163515889,0.7099197646920593,0.7867735208727233,215524,175076,0.4482232462877624,0.38553507424475164,-0.04216077828981046,-0.034972094675417176,-0.035607310898945754,-0.023379580334147332
arousal,1,stimulus_plus_fewshot_bias,discard_midpoint,348576,0.7528745524648857,0.7372859423571372,0.737726484620389,0.8209398252137422,215524,133052,0.3817015514550629,0.377972092169283,-0.06167665014229329,-0.0490463887404714,-0.05776077541742408,-0.024222488020090416
arousal,1,stimulus_plus_fewshot_bias_shrink4,midpoint_as_low,390600,0.8008090117767537,0.7731244509931362,0.7759196032108984,0.8427875654743425,257548,133052,0.3406349206349206,0.32608806963645676,-0.0005120327700973704,0.004252991626486957,0.0017732267850554262,0.026482432244241183
arousal,1,stimulus_plus_fewshot_bias_shrink4,midpoint_as_high,390600,0.7636456733230926,0.748308187184885,0.7509710722908095,0.8349354018396757,215524,175076,0.4482232462877624,0.32617511520737325,0.003548387096774186,0.0050189761578789405,0.005443996699804443,0.024782300632805065
arousal,1,stimulus_plus_fewshot_bias_shrink4,discard_midpoint,348576,0.8162466721747912,0.7913775031687195,0.7990738787055647,0.8700322703128505,215524,133052,0.3817015514550629,0.3259490039474892,0.00169546956761224,0.005045172071110882,0.003586618667751562,0.024869957079017846
arousal,2,stimulus_only,midpoint_as_low,378000,0.8008386243386243,0.7684966923250891,0.773727384173029,0.8159219569013548,249127,128873,0.3409338624338624,0.31292063492063493,0.0,0.0,0.0,0.0
arousal,2,stimulus_only,midpoint_as_high,378000,0.7598941798941798,0.7432366788882192,0.7454171082717813,0.8099514669929616,208424,169576,0.44861375661375663,0.31292063492063493,0.0,0.0,0.0,0.0
arousal,2,stimulus_only,discard_midpoint,337297,0.8141993554641754,0.786076398222278,0.7951925169721494,0.8449101589306678,208424,128873,0.3820757374064993,0.31328769600678336,0.0,0.0,0.0,0.0
arousal,2,stimulus_plus_fewshot_bias,midpoint_as_low,378000,0.7769391534391534,0.7605083550970062,0.7558988400342614,0.8379298543772401,249127,128873,0.3409338624338624,0.36547619047619045,-0.023899470899470865,-0.007988337228082898,-0.017828544138767555,0.022007897475885274
arousal,2,stimulus_plus_fewshot_bias,midpoint_as_high,378000,0.7557142857142857,0.7446024362019134,0.7470916377101156,0.8267986326674356,208424,169576,0.44861375661375663,0.36674074074074076,-0.0041798941798941724,0.0013657573136941492,0.001674529438334238,0.016847165674473974
arousal,2,stimulus_plus_fewshot_bias,discard_midpoint,337297,0.7983083158166245,0.7812381838578646,0.7840884517554808,0.863614799266043,208424,128873,0.3820757374064993,0.3612928665241612,-0.015891039647550897,-0.004838214364413451,-0.011104065216668624,0.018704640335375222
arousal,2,stimulus_plus_fewshot_bias_shrink4,midpoint_as_low,378000,0.8031375661375662,0.7773835662018136,0.7793621585756725,0.8527638484100084,249127,128873,0.3409338624338624,0.3308015873015873,0.002298941798941856,0.008886873876724488,0.005634774402643483,0.03684189150865358
arousal,2,stimulus_plus_fewshot_bias_shrink4,midpoint_as_high,378000,0.7685687830687831,0.7538853511105762,0.7567581920135091,0.8443133233608034,208424,169576,0.44861375661375663,0.3310343915343915,0.008674603174603224,0.010648672222356992,0.01134108374172782,0.034361856367841837
arousal,2,stimulus_plus_fewshot_bias_shrink4,discard_midpoint,337297,0.8203008031497464,0.7966613453627485,0.8040326045137767,0.8801331135009722,208424,128873,0.3820757374064993,0.3298013323569436,0.006101447685570971,0.010584947140470424,0.00884008754162724,0.03522295457030444
arousal,4,stimulus_only,midpoint_as_low,352800,0.8010090702947846,0.7686979266393845,0.7739533437558563,0.8160918841023307,232460,120340,0.3410997732426304,0.31293650793650796,0.0,0.0,0.0,0.0
arousal,4,stimulus_only,midpoint_as_high,352800,0.759951814058957,0.7433406253223314,0.7455007044646861,0.8100032242103522,194473,158327,0.44877267573696145,0.31293650793650796,0.0,0.0,0.0,0.0
arousal,4,stimulus_only,discard_midpoint,314813,0.8143246943423557,0.7862497483333336,0.795367136072836,0.8449939892699073,194473,120340,0.382258674197063,0.31337015942797786,0.0,0.0,0.0,0.0
arousal,4,stimulus_plus_fewshot_bias,midpoint_as_low,352800,0.8043339002267573,0.7876516289824447,0.7845814722032869,0.8643870975509451,232460,120340,0.3410997732426304,0.3560912698412698,0.003324829931972695,0.018953702343060153,0.010628128447430552,0.04829521344861443
arousal,4,stimulus_plus_fewshot_bias,midpoint_as_high,352800,0.7792800453514739,0.7674003161276821,0.7705949146189421,0.8528252451193359,194473,158327,0.44877267573696145,0.3566524943310658,0.01932823129251693,0.024059690805350753,0.025094210154256058,0.04282202090898368
arousal,4,stimulus_plus_fewshot_bias,discard_midpoint,314813,0.8269544142077996,0.8094581797088347,0.8138936966309733,0.8907878305385482,194473,120340,0.382258674197063,0.3528285045407909,0.012629719865443922,0.023208431375501104,0.018526560558137284,0.045793841268640834
