target,block,k_calibration,model,n,mae,rmse,pearson,ccc,y_true_std,y_pred_std,locked_reference_rmse,locked_reference_model,lift_vs_locked_rmse,subjects,rmse_wins_vs_locked,rmse_losses_vs_locked,rmse_ties_vs_locked,rmse_win_margin_vs_locked,mean_delta_rmse_model_minus_locked,median_delta_rmse_model_minus_locked,worst_regression_delta_rmse,best_gain_delta_rmse
valence,emg_existing_22,4,locked_kernel_residual_shrink4,88200,0.9667764931700938,1.2156173390304539,0.8758885106571612,0.8683217113653836,2.5193298073709802,2.2079864729815672,1.2156173390304539,locked_kernel_residual_shrink4,0.0,,,,,,,,,
valence,emg_existing_22,4,physio_residual_ridge100,88200,1.0399241964346697,1.4875603160115451,0.8162577289753395,0.8145596339319839,2.5193298073709802,2.363335885542213,1.2156173390304539,locked_kernel_residual_shrink4,-0.27194297698109127,63.0,20.0,43.0,0.0,-23.0,0.12910296686723338,0.03149741410157669,5.253812318792384,-0.07916099792440878
valence,emg_existing_22,4,physio_context_ridge100,88200,1.0456492684838994,1.5161958340928663,0.8051855600656732,0.8013476507030466,2.5193298073709802,2.285740177571914,1.2156173390304539,locked_kernel_residual_shrink4,-0.3005784950624124,63.0,19.0,44.0,0.0,-25.0,0.13685272114911756,0.028352414848441088,5.6320688352965345,-0.09166651257899261
valence,emg_existing_22,4,physio_residual_ridge1000,88200,1.0416438277265112,1.5361084188886838,0.8059317708487435,0.8049147748859944,2.5193298073709802,2.397485348040118,1.2156173390304539,locked_kernel_residual_shrink4,-0.3204910798582299,63.0,20.0,43.0,0.0,-23.0,0.13871053518981,0.028953978441730532,5.965786228751915,-0.07773548810034625
valence,emg_existing_22,4,physio_context_ridge1000,88200,1.2110315889890502,1.6234836514171163,0.77261381636558,0.7114019733532277,2.5193298073709802,1.6689374368605938,1.2156173390304539,locked_kernel_residual_shrink4,-0.4078663123866624,63.0,14.0,49.0,0.0,-35.0,0.2873723660804813,0.22948202233381432,4.812840179799296,-0.38972572124499905
valence,emg_existing_22,4,physio_similarity_knn64,88200,1.020317197064964,1.2671951513420303,0.8643651401624551,0.8564559526024121,2.5193298073709802,2.1998576824856784,1.2156173390304539,locked_kernel_residual_shrink4,-0.05157781231157643,63.0,19.0,44.0,0.0,-25.0,0.051914599390132064,0.043073857568052265,0.3506352037420257,-0.09677362838137982
valence,emg_existing_22,8,locked_kernel_residual_shrink4,75600,0.9319150839950988,1.1863973094372047,0.8821709161329854,0.8752939904593416,2.5192235029584267,2.222682549287664,1.1863973094372047,locked_kernel_residual_shrink4,0.0,,,,,,,,,
valence,emg_existing_22,8,physio_residual_ridge100,75600,1.0344621261985845,1.447377574219265,0.8248816733139883,0.8224971210625563,2.5192235029584267,2.3356314471483737,1.1863973094372047,locked_kernel_residual_shrink4,-0.26098026478206027,63.0,18.0,45.0,0.0,-27.0,0.14942832645598372,0.06140535658440083,4.722224574423635,-0.08344107203949425
valence,emg_existing_22,8,physio_context_ridge100,75600,1.039850778128735,1.4720064136266242,0.8154201193736055,0.8103421878824333,2.5192235029584267,2.2534036840443696,1.1863973094372047,locked_kernel_residual_shrink4,-0.28560910418941954,63.0,19.0,44.0,0.0,-25.0,0.1566907197818558,0.04775041937883606,5.064819462878635,-0.07592218349848912
valence,emg_existing_22,8,physio_residual_ridge1000,75600,1.0357784770665661,1.4881661234211803,0.8161175488859375,0.8144473070724009,2.5192235029584267,2.3640091138452157,1.1863973094372047,locked_kernel_residual_shrink4,-0.3017688139839756,63.0,19.0,44.0,0.0,-25.0,0.15793919692002123,0.05625764159316704,5.3670309208679825,-0.08431602168255425
valence,emg_existing_22,8,physio_context_ridge1000,75600,1.2067385657817598,1.5923738901493094,0.7872217098008116,0.7187847597681648,2.5192235029584267,1.6340161530347461,1.1863973094372047,locked_kernel_residual_shrink4,-0.40597658071210474,63.0,12.0,51.0,0.0,-39.0,0.30964041465315856,0.22503194846029917,4.337600647643461,-0.232051616717043
valence,emg_existing_22,8,physio_similarity_knn64,75600,1.0179414544597505,1.26496149054231,0.8648769086461162,0.8570803122052755,2.5192235029584267,2.2020798961771053,1.1863973094372047,locked_kernel_residual_shrink4,-0.07856418110510544,63.0,15.0,48.0,0.0,-33.0,0.08109078549737299,0.05452132889698369,0.5212759762005195,-0.12704437758642584
valence,emg_existing_22,16,locked_kernel_residual_shrink4,50400,0.8979973517583003,1.1553801587855355,0.888155472504576,0.8818244579327078,2.514174774760939,2.230436640606421,1.1553801587855355,locked_kernel_residual_shrink4,0.0,,,,,,,,,
