target,block,k_calibration,model,label_policy,binary_n,accuracy,balanced_accuracy,macro_f1,n_low,n_high
arousal,emg_existing_22,4,physio_residual_ridge100,discard_midpoint,2026,0.5942744323790721,0.5951222569550536,0.5939182790077531,1084,942
arousal,emg_existing_22,4,physio_context_ridge100,midpoint_as_low,2240,0.5589285714285714,0.5627848167522139,0.557046797179664,1298,942
arousal,emg_existing_22,4,physio_context_ridge100,midpoint_as_high,2240,0.5651785714285714,0.5647863226037104,0.5647774894593551,1084,1156
arousal,emg_existing_22,4,physio_context_ridge100,discard_midpoint,2026,0.5686080947680158,0.5698159290510103,0.5683855933855935,1084,942
arousal,emg_existing_22,4,physio_residual_ridge1000,midpoint_as_low,2240,0.6089285714285714,0.6072383120855538,0.6043870967741936,1298,942
arousal,emg_existing_22,4,physio_residual_ridge1000,midpoint_as_high,2240,0.6294642857142857,0.6304887702856268,0.6294143582800935,1084,1156
arousal,emg_existing_22,4,physio_residual_ridge1000,discard_midpoint,2026,0.631786771964462,0.6294822980076935,0.6295906713656214,1084,942
arousal,emg_existing_22,4,physio_context_ridge1000,midpoint_as_low,2240,0.5196428571428572,0.49787849345228163,0.496118196809596,1298,942
arousal,emg_existing_22,4,physio_context_ridge1000,midpoint_as_high,2240,0.49464285714285716,0.4990328017467026,0.48719234736182176,1084,1156
arousal,emg_existing_22,4,physio_context_ridge1000,discard_midpoint,2026,0.5078973346495558,0.4982715193393972,0.4928482565985626,1084,942
arousal,emg_existing_22,4,physio_similarity_knn64,midpoint_as_low,2240,0.5808035714285714,0.5895211970727463,0.580170262419534,1298,942
arousal,emg_existing_22,4,physio_similarity_knn64,midpoint_as_high,2240,0.6334821428571429,0.6323130402584303,0.6323001772878419,1084,1156
arousal,emg_existing_22,4,physio_similarity_knn64,discard_midpoint,2026,0.6184600197433366,0.6201573162228438,0.6183185865510807,1084,942
arousal,emg_existing_22,16,locked_kernel_residual_shrink4,midpoint_as_low,1280,0.76328125,0.7689901899018989,0.7617384541381541,738,542
arousal,emg_existing_22,16,locked_kernel_residual_shrink4,midpoint_as_high,1280,0.75625,0.7575572601423322,0.7560570373048994,599,681
arousal,emg_existing_22,16,locked_kernel_residual_shrink4,discard_midpoint,1141,0.7914110429447853,0.7921181674254139,0.7912762098013897,599,542
arousal,emg_existing_22,16,physio_residual_ridge100,midpoint_as_low,1280,0.58203125,0.5897583975839759,0.5813666593511795,738,542
arousal,emg_existing_22,16,physio_residual_ridge100,midpoint_as_high,1280,0.603125,0.6011879809471978,0.6012402370579693,599,681
arousal,emg_existing_22,16,physio_residual_ridge100,discard_midpoint,1141,0.6038562664329535,0.605586494095325,0.6038486591450974,599,542
arousal,emg_existing_22,16,physio_context_ridge100,midpoint_as_low,1280,0.56484375,0.5721582215822159,0.5641518303899196,738,542
arousal,emg_existing_22,16,physio_context_ridge100,midpoint_as_high,1280,0.5765625,0.5745160191116374,0.574551591506731,599,681
arousal,emg_existing_22,16,physio_context_ridge100,discard_midpoint,1141,0.5793163891323401,0.5812485754239847,0.5792772861356932,599,542
arousal,emg_existing_22,16,physio_residual_ridge1000,midpoint_as_low,1280,0.609375,0.6122461224612246,0.6071653048397234,738,542
arousal,emg_existing_22,16,physio_residual_ridge1000,midpoint_as_high,1280,0.63828125,0.6387505852877655,0.6378725747013079,599,681
arousal,emg_existing_22,16,physio_residual_ridge1000,discard_midpoint,1141,0.6389132340052586,0.6385365523104313,0.6383507096170653,599,542
arousal,emg_existing_22,16,physio_context_ridge1000,midpoint_as_low,1280,0.52734375,0.5092575925759257,0.5084419883470791,738,542
arousal,emg_existing_22,16,physio_context_ridge1000,midpoint_as_high,1280,0.5046875,0.5123958432924184,0.5008660053534877,599,681
arousal,emg_existing_22,16,physio_context_ridge1000,discard_midpoint,1141,0.5179666958808063,0.5119325567212266,0.5074144892589593,599,542
arousal,emg_existing_22,16,physio_similarity_knn64,midpoint_as_low,1280,0.58203125,0.5934334343343433,0.5819187171351663,738,542
arousal,emg_existing_22,16,physio_similarity_knn64,midpoint_as_high,1280,0.6421875,0.6389038019802951,0.6391205533353524,599,681
