target,block,k_calibration,model,subjects,rmse_wins_vs_locked,rmse_losses_vs_locked,rmse_ties_vs_locked,rmse_win_margin_vs_locked,mean_delta_rmse_model_minus_locked,median_delta_rmse_model_minus_locked,worst_regression_delta_rmse,best_gain_delta_rmse
arousal,emg_bsl_stats_22,16,physio_residual_ridge1000,63,11,52,0,-41,0.49739531263163844,0.15112770852295476,14.588711299590114,-0.19273135498840177
arousal,emg_bsl_stats_22,16,physio_similarity_knn64,63,6,57,0,-51,0.3041949790147572,0.20826897560310864,1.8397471615841186,-0.24376819875061684
arousal,emg_existing_22,4,physio_context_ridge100,63,13,50,0,-37,0.3562216064474386,0.086645230329645,12.78607439597993,-0.07058517938105124
arousal,emg_existing_22,4,physio_context_ridge1000,63,12,51,0,-39,0.540248525650903,0.22427721362022957,21.067890325604886,-0.1626706920644423
arousal,emg_existing_22,4,physio_residual_ridge100,63,14,49,0,-35,0.3434795986327548,0.07350050300669952,12.018224268583085,-0.09324814577138385
arousal,emg_existing_22,4,physio_residual_ridge1000,63,14,49,0,-35,0.4646638287978316,0.06994401561297314,20.551632331712927,-0.08892590341375506
arousal,emg_existing_22,4,physio_similarity_knn64,63,10,53,0,-43,0.1732420107950893,0.1284013343565351,0.9833491387775473,-0.08260080438955875
arousal,emg_existing_22,8,physio_context_ridge100,63,10,53,0,-43,0.4126228169329309,0.10767274689600259,12.314104637597122,-0.08772569832805344
arousal,emg_existing_22,8,physio_context_ridge1000,63,8,55,0,-47,0.5933892397505199,0.25815052227198176,20.30375055699621,-0.16988845167618538
arousal,emg_existing_22,8,physio_residual_ridge100,63,11,52,0,-41,0.4000584745107329,0.10769301270855935,11.574277620923784,-0.11018979166923781
arousal,emg_existing_22,8,physio_residual_ridge1000,63,13,50,0,-37,0.5161643811133607,0.10938890231668408,19.803249595148724,-0.10581280999891973
arousal,emg_existing_22,8,physio_similarity_knn64,63,8,55,0,-47,0.2375752964774397,0.16388048780012276,1.377920962691745,-0.07159406749475572
arousal,emg_existing_22,16,physio_context_ridge100,63,7,56,0,-49,0.5068825540544898,0.15487491386804808,13.411801818207508,-0.10083814735113261
