target,model,test_subject,n,mae,rmse,pearson,spearman,ccc,y_true_std,y_pred_std,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_std,pred_dev_std
arousal,physio_eeg_entropy_complexity_ridge,1,32,2.27197433936505,2.599133880069088,0.35796146877011964,0.35885732161024164,0.2985585315056826,2.4348944407304396,1.6494871406984974,2.27197433936505,2.5991338800690884,0.07471543645657723,0.03192369297999545,0.3225806451612903,2.400787450388819,0.3856121949010016
arousal,physio_eeg_entropy_complexity_ridge,2,32,2.074339595447048,2.451410790482459,0.651019450765702,0.6401455324065302,0.4373265743063783,2.3048861143232218,1.5563534008289879,2.0743395954470483,2.451410790482459,0.24435133276040538,0.2741143221571267,0.875,1.7913941168666498,0.2219665954344979
arousal,physio_eeg_entropy_complexity_ridge,3,32,4.371039322119742,4.901245177879492,0.11704111329787537,0.2792684678003727,0.038156054860791794,1.5194057226429023,2.679350363562303,5.823490750110347,6.612415279218014,-0.034527529413733764,0.09335694267707917,0.25,1.5553656568115708,3.5532351454204965
arousal,physio_eeg_entropy_complexity_ridge,5,32,1.5272436011129082,1.8515635096471266,0.6289087624576847,0.6940752709472379,0.5487655387322689,2.0832291640623697,1.5911352939840628,1.5272436011129085,1.8515635096471266,-0.2624062479806159,-0.2564953869643073,0.6129032258064516,1.587405673050633,0.18004625363157595
arousal,physio_emg_existing_22_ridge,1,32,2.1375108153221896,2.5351654311928526,0.37254462920342013,0.3660826368104479,0.3335445684218631,2.4348944407304396,1.77299262496331,2.1375108153221896,2.5351654311928526,-0.009191990336171777,-0.010824700493216849,0.45161290322580644,2.400787450388819,0.28179528147054894
arousal,physio_emg_existing_22_ridge,2,32,2.49337313357517,2.8989279395286185,0.6491000931487177,0.6728155435383886,0.3532136190507391,2.3048861143232218,1.5337701283568432,2.49337313357517,2.8989279395286185,0.2953644249202669,0.1982368321766352,0.5,1.7913941168666498,0.146403791904573
arousal,physio_emg_existing_22_ridge,3,32,2.5652852960895935,2.8989356563370454,0.566858724344131,0.5375893529846257,0.26800018301871475,1.5194057226429023,1.7861695509869617,2.5652852960895935,2.8989356563370454,0.00041119987747832655,0.0290362144546821,0.125,1.5553656568115708,0.05558776843794015
arousal,physio_emg_existing_22_ridge,5,32,1.36046765253879,1.664493348508957,0.6304568514498518,0.6772831272952886,0.6083525190428384,2.0832291640623697,1.6383311547622557,1.36046765253879,1.664493348508957,-0.022163943353801174,0.08427443279643312,0.5483870967741935,1.587405673050633,0.4140729677169899
arousal,physio_emg_lagged_interaction_experimental_ridge,1,32,2.250947692097141,2.660058663793121,0.38217351890785534,0.4122134953963798,0.30747632849429724,2.4348944407304396,1.6880634545787911,2.250947692097141,2.660058663793121,0.24561606839263658,0.24199627034835636,0.3870967741935484,2.400787450388819,0.12005556077499095
arousal,physio_emg_lagged_interaction_experimental_ridge,2,32,2.4448000199013764,2.8499424234383017,0.6174085571871395,0.6334248444022621,0.36045354625646314,2.3048861143232218,1.6084118650590093,2.445456486866389,2.8504054931075107,-0.12568731990725085,-0.040419001926654076,0.5625,1.7913941168666498,0.1787403005001275
