augmentation_config,target,model,test_subject,n,mae,rmse,pearson,spearman,balanced_accuracy,macro_f1,auroc,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_mean,true_dev_std,pred_dev_mean,pred_dev_std,best_epoch,best_val_rmse_scaled,fit_subjects,val_subjects,outer_train_subjects,y_outer_mean,y_outer_std,final_train_last_loss,oracle_test_checkpoint_selection,arch_config,arch_description
gaussian_0p10,arousal,eeg_oracle_arch_A0_current,1,32,1.3725016293772487,1.6844289806842543,0.7441478311018024,0.7325103023122453,0.8416666666666667,0.8358974358974359,0.8916666666666667,1.3725016293772487,1.6844289806842543,0.49266310356549053,0.43387407385962934,0.625,0.09979838709677412,1.8730758315387523,0.39294252421968145,1.2302131422320342,11,0.8816474010440376,54,8,62,7.162729191130042e-18,1.9455604821992014,0.06616124679003993,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,arousal,eeg_oracle_arch_A0_current,2,32,2.3407609050738514,2.7710108475503668,0.7288482610221616,0.781466666274055,0.75,0.6559139784946236,0.8545454545454545,2.3407609050738514,2.7710108475503668,0.1008096224320325,0.08870967741935483,0.46875,2.2273185483870965,1.5829340702617387,-0.05041308387393647,0.26068697331525453,3,1.4366127592389673,54,8,62,-7.162729191130042e-18,1.9288502402018097,0.11275053462914882,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,arousal,eeg_oracle_arch_A0_current,3,32,0.9401932156530864,1.342465533676611,0.6398590434296314,0.6543791933153035,0.9032258064516129,0.5714285714285714,0.967741935483871,0.9401932156530864,1.342465533676611,0.15831446376275757,0.2071114369501466,0.8125,-1.265625,1.353914241378173,-1.3773772547414271,0.16350319233814495,7,0.6906724746101905,54,8,62,2.865091676452017e-17,1.9459122563827091,0.07478435974447958,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,arousal,eeg_oracle_arch_A0_current,5,32,1.389432806110322,1.6049274759677317,0.6652892462898075,0.7015384459036598,0.7420634920634921,0.716256157635468,0.8690476190476191,1.389432806110322,1.6049274759677317,-0.111599536269822,-0.17045454545454544,0.6875,0.893649193548387,1.5102454224184472,0.5874189314772965,0.3106030423954973,3,0.8241346586513099,54,8,62,-7.162729191130042e-18,1.9474092830945495,0.09947829050642829,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,arousal,eeg_oracle_arch_A0_current,6,32,2.855360075972576,3.2877241982047662,0.3482216987601279,0.37554598132475303,0.41666666666666663,0.2873806998939554,0.5166666666666667,2.855360075972576,3.2877241982047662,0.03908533647238252,0.02346041055718475,0.9375,3.2752016129032255,1.790167901902087,0.5201351489946835,0.2075693544645718,3,1.729315209555077,54,8,62,1.7906822977825105e-17,1.9011711549146475,0.09432151234678683,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,arousal,eeg_oracle_arch_A0_current,7,32,1.2626051235539153,1.5428309529245468,0.6459190436203689,0.6580859594878248,0.6875,0.4074074074074074,,1.2626051235539153,1.5428309529245468,0.15948028815516385,0.20053157448349576,0.625,-1.0433467741935485,1.2461858921407156,-0.11298920342832545,0.23453703552209149,2,0.7914989707803517,54,8,62,7.162729191130042e-18,1.949252022010084,0.11248794017780211,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,arousal,eeg_oracle_arch_A0_current,8,32,1.6537292770840226,1.853454033170994,0.7662177268369154,0.7873512489439116,0.7916666666666667,0.7681159420289855,0.90625,1.6537292770840226,1.853454033170994,0.13183447226133568,0.09567448680351906,0.75,-1.0115927419354838,1.630470033705313,-0.1250249223508939,0.022439161809327566,1,0.9529954444266158,54,8,62,7.162729191130042e-18,1.9448718565923315,0.11487770411035707,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,arousal,eeg_oracle_arch_A0_current,9,32,1.5420590345286163,1.8407803704705357,0.5182500024313844,0.49862136699813314,0.7196078431372549,0.718475073313783,0.8,1.5420590345286163,1.8407803704705357,0.26671399616979674,0.32297681374764126,0.6875,1.0524193548387095,1.898183074793325,1.002856220672172,0.7043331299868635,5,0.9485969979388574,54,8,62,-3.581364595565021e-18,1.9405294107485496,0.08835787800771575,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,arousal,eeg_oracle_arch_A0_current,10,32,1.4531747075221415,1.7339826703715588,0.7465287276093646,0.6344037095423543,0.8852813852813852,0.893687707641196,0.8787878787878788,1.4531747075221415,1.7339826703715588,-0.1672827074863972,-0.15488956164401638,0.46875,-0.12247983870967742,1.7129972872947774,-0.03221427001547984,0.09593960616806829,1,0.8901545458970338,54,8,62,-7.162729191130042e-18,1.9479568986533093,0.10374002555204977,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,arousal,eeg_oracle_arch_A0_current,11,32,1.6021568980001422,1.909346849928705,0.44734462413461645,0.4623667280442506,0.5344129554655871,0.5333333333333333,0.611336032388664,1.6021568980001422,1.909346849928705,0.1306530334957861,0.12996059077586702,0.625,0.703125,1.9006477694544373,0.39522188588435814,0.24617487168039998,3,0.9826398604302766,54,8,62,1.7906822977825105e-17,1.9430789912245294,0.09276910270414045,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,arousal,eeg_oracle_arch_A0_current,12,32,1.0855990003454774,1.3337316987892165,0.66170921490861,0.5931664114621245,0.8236714975845411,0.8128654970760234,0.927536231884058,1.0855990003454774,1.3337316987892165,-0.04356147018726984,-0.0749702138608316,0.625,0.5126008064516129,1.2274284576871453,-0.0033899877555947783,0.04072279057303801,1,0.6829432733694791,54,8,62,2.865091676452017e-17,1.9529172322977033,0.10688784358001524,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,arousal,eeg_oracle_arch_A0_current,13,32,1.7377364201718462,2.1216550921433974,0.4169414064148596,0.3507241557250426,0.75,0.42857142857142855,,1.7377364201718462,2.1216550921433974,0.1786980020533498,0.07074780058651026,0.8125,-1.9642137096774195,1.4088788982214433,-0.5834531169952216,1.072352534841082,16,1.1003848785577028,54,8,62,2.1488187573390126e-17,1.9357390828385963,0.06139503692787501,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,arousal,eeg_oracle_arch_A0_current,14,32,1.271565762813486,1.454177843198254,0.854282480625804,0.8100602883458915,0.8666666666666667,0.5897435897435898,0.9,1.271565762813486,1.454177843198254,0.1102933323807689,0.05718475073313783,0.9375,-1.5831653225806452,0.8494495885699882,-0.41185487318590697,0.26654112325620083,3,0.7469641917497579,54,8,62,2.1488187573390126e-17,1.9467838643962188,0.10183336994340343,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,arousal,eeg_oracle_arch_A0_current,15,32,1.3150559887258377,1.6274478300258113,0.6831583500470084,0.6862491466455323,0.7090909090909091,0.7090909090909091,0.7863636363636364,1.3150559887258377,1.6274478300258113,0.024781848703779457,-0.012831087946841593,0.71875,-0.5035282258064515,1.6186477056527646,-0.3577609471952592,0.13459590806708732,2,0.8353271927981598,54,8,62,2.1488187573390126e-17,1.9482759107620746,0.10407818529394365,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,arousal,eeg_oracle_arch_A0_current,16,32,1.0605350448595754,1.3729085069748483,0.8360020088933275,0.8191819886658063,0.8454106280193237,0.8454106280193237,0.9323671497584541,1.0605350448595754,1.3729085069748483,0.2658591078168647,0.20694711845691657,0.65625,-0.2494959677419355,1.371204820434612,-0.45137035748910537,0.6757008961413576,8,0.7088540677326288,54,8,62,3.581364595565021e-18,1.952190333331876,0.08770685600897958,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,arousal,eeg_oracle_arch_A0_current,17,32,1.1094010218818773,1.372764955469521,0.8479134299222283,0.8037363009125779,0.94,0.8798498122653317,0.9828571428571429,1.1094010218818773,1.372764955469521,-0.06197220128625788,-0.06158922214483965,0.71875,-0.5987903225806452,1.3129056407007988,-0.21661111648158915,0.06465518168720914,1,0.7034037826189228,54,8,62,0.0,1.9516030249785987,0.1055894742809957,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,arousal,eeg_oracle_arch_A0_current,18,32,1.5306149923166146,1.883222990541922,0.7989273886430659,0.7995622487133979,0.84375,0.8398398398398399,0.91796875,1.5306149923166146,1.883222990541922,0.5192272590810791,0.468841642228739,0.6875,0.639616935483871,2.1200614760696554,0.13633620381973652,0.9991892538507321,10,0.9708852876721304,54,8,62,3.581364595565021e-18,1.9397134433745502,0.07278304733335972,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
gaussian_0p10,arousal,eeg_oracle_arch_A0_current,19,32,1.3965416594707847,1.7531511647195746,0.6370370495238022,0.6799617568446428,0.7420634920634921,0.716256157635468,0.8293650793650794,1.3965416594707847,1.7531511647195746,-0.13681664256337142,-0.06397213847782451,0.625,1.147681451612903,1.4699453361764527,0.3292696908130327,0.3312856786927702,5,0.9010244363547802,54,8,62,1.0744093786695063e-17,1.9457309819236928,0.10078137085562752,True,A0_current,Current model config: lite + GN + concat stem + learnable channel position + MHA mixer.
