target,method,adaptation,k_calibration,subject,n_eval,zero_rmse,model_rmse,improvement_zero_minus_model
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,6,22,4.3794514632224235,4.515881708134815,-0.13643024491239153
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,7,7,2.661457891666245,2.685593899952458,-0.024136008286212984
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,8,10,2.7801792140109836,3.1039043503096995,-0.3237251362987159
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,9,10,3.5470415337347743,2.6568503926468154,0.8901911410879588
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,10,7,2.8355134918213976,2.789545328119362,0.045968163702035714
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,11,9,3.2928911542907464,3.025219575739384,0.26767157855136237
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,12,3,2.313940020466014,2.3099975842873306,0.003942436178683284
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,13,13,3.3718165315100426,2.4585381263235027,0.9132784051865399
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,14,7,2.819840671424436,2.3133968570270262,0.5064438143974099
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,15,5,3.0078115434576906,3.076593738673039,-0.06878219521534845
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,16,4,2.809613069149392,2.406583254315001,0.40302981483439115
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,17,5,2.636975926993294,2.8303165913860213,-0.19334066439272712
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,18,12,3.2156493316824264,2.8779237453320596,0.33772558635036676
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,19,9,3.1007945080426795,3.19647894398986,-0.09568443594718046
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,20,6,3.0205246562064842,3.0113134939274984,0.009211162278985885
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,21,5,3.029623082988045,3.1394451078992707,-0.10982202491122584
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,22,12,3.0969141993441154,3.194804145215014,-0.09788994587089883
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,23,4,2.6671489765011622,2.50467475507435,0.16247422142681245
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,24,5,2.2763202136079914,2.328400274144077,-0.052080060536085604
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,25,9,3.5687587265633103,3.646450288401033,-0.07769156183772274
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,26,11,2.9441278102436135,2.8808483609922386,0.06327944925137485
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,27,5,2.9825890882075416,2.782250993812693,0.20033809439484873
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,28,9,2.7827242350099874,2.434711152837386,0.3480130821726015
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,29,6,2.585923701009687,2.7149702613512305,-0.1290465603415436
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,30,1,2.467741935483871,2.7475730641020206,-0.2798311286181496
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,31,13,3.312745930483647,3.2122248571662193,0.10052107331742777
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,32,3,2.362816065037091,2.9169660625968064,-0.5541499975597155
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,33,5,2.9890974279743703,2.4813299509629125,0.5077674770114577
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,34,3,2.3030465880094124,2.413169959245483,-0.11012337123607052
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,35,5,3.0611186599954463,2.852716607151051,0.2084020528443955
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,36,5,2.7350863222989212,2.3724774437487848,0.36260887855013646
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,37,4,3.14414789298227,2.876605633323231,0.2675422596590393
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,38,5,2.6995394065069838,2.536446821258701,0.16309258524828296
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,39,10,3.051462009499944,3.0909045230743346,-0.03944251357439077
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,40,17,3.798886123284371,4.014273343564564,-0.21538722028019253
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,41,13,3.6109835160373875,3.9410151886342266,-0.3300316725968391
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,42,14,3.685245633578947,3.8811652390504463,-0.19591960547149911
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,43,8,2.7786910280461976,3.1810416523773983,-0.4023506243312007
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,44,12,3.665941340298544,3.695126652751228,-0.029185312452683743
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,45,5,3.072434591397889,2.383842861599171,0.6885917297987181
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,46,9,3.3049607618920334,3.4622127469058532,-0.15725198501381987
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,47,13,3.523931629971603,3.547693564013604,-0.023761934042001
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,48,3,2.7659605265456344,2.6571063964845054,0.10885413006112898
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,49,12,3.440254272923092,3.0296101498875387,0.4106441230355533
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,50,3,2.50815527270708,2.76698403679848,-0.2588287640914002
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,52,8,3.337034019273049,3.37547262388591,-0.03843860461286086
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,53,1,2.3870967741935485,2.024164279079336,0.36293249511421255
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,54,7,2.668103274889568,2.7191877884462214,-0.051084513556653555
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,55,16,3.0956714266352208,3.029368410659414,0.0663030159758069
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,56,4,2.4152922880323433,2.8881378361434886,-0.4728455481111453
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,57,9,3.447972320495683,3.4470192870289114,0.0009530334667715579
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,58,5,2.9292471855207736,2.85002670734832,0.07922047817245348
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,59,9,3.5060771777803468,4.071363559340826,-0.5652863815604792
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,60,13,3.364229198692733,3.3086403039591863,0.05558889473354656
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,61,7,2.9657501831664757,2.5333682256799315,0.4323819574865442
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,62,8,3.4774105646546394,3.766788586960951,-0.2893780223063116
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,63,12,3.156342133584165,3.1355695424698253,0.02077259111433971
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,64,2,3.751967919296454,3.671561134593123,0.08040678470333118
arousal,fixed_eeg_bandpower_ridge_from_05aj,none_pure_loso,0,65,10,2.7879768249170787,2.1920336119852535,0.5959432129318252
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,1,9,3.054269797486409,2.7179792756539385,0.33629052183247055
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,2,16,3.606356125027074,2.9278775745312178,0.6784785504958561
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,3,6,3.1081918773532426,2.212715204503475,0.8954766728497678
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,5,8,2.909100239585122,2.303087202623507,0.606013036961615
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,6,22,4.3794514632224235,5.076542304931256,-0.6970908417088326
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,7,7,2.661457891666245,3.147536871702597,-0.4860789800363521
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,8,10,2.7801792140109836,3.2966087916270848,-0.5164295776161012
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,9,10,3.5470415337347743,2.5338741172913832,1.013167416443391
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,10,7,2.8355134918213976,2.8851383917897317,-0.04962489996833419
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,11,9,3.2928911542907464,3.001075653470877,0.2918155008198693
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,12,3,2.313940020466014,2.4677543289858024,-0.1538143085197885
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,13,13,3.3718165315100426,2.2329091222094806,1.138907409300562
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,14,7,2.819840671424436,2.6971796455612256,0.1226610258632106
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,15,5,3.0078115434576906,3.444235161166195,-0.43642361770850435
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,16,4,2.809613069149392,1.7933478597928711,1.016265209356521
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,17,5,2.636975926993294,0.8326186227395578,1.8043573042537364
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,18,12,3.2156493316824264,2.6340859286649496,0.5815634030174768
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,19,9,3.1007945080426795,3.408437958210576,-0.3076434501678964
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,20,6,3.0205246562064842,2.579868450902649,0.4406562053038354
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,21,5,3.029623082988045,3.04771460448734,-0.018091521499295382
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,22,12,3.0969141993441154,3.0610675619087324,0.035846637435382966
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,23,4,2.6671489765011622,2.7213574970320518,-0.05420852053088954
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,24,5,2.2763202136079914,2.2226723500790264,0.053647863528965
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,25,9,3.5687587265633103,3.793468517253925,-0.22470979069061459
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,26,11,2.9441278102436135,2.513681068281624,0.4304467419619895
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,27,5,2.9825890882075416,3.112846206586692,-0.13025711837915033
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,28,9,2.7827242350099874,2.4296164805162106,0.35310775449377685
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,29,6,2.585923701009687,2.4871989226405415,0.0987247783691454
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,30,1,2.467741935483871,2.274259581200538,0.19348235428333282
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,31,13,3.312745930483647,3.5043848700619833,-0.19163893957833622
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,32,3,2.362816065037091,3.3952724443996076,-1.0324563793625168
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,33,5,2.9890974279743703,2.1545132153425897,0.8345842126317806
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,34,3,2.3030465880094124,5.539665394114795,-3.236618806105383
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,35,5,3.0611186599954463,3.1594816909717967,-0.09836303097635035
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,36,5,2.7350863222989212,2.260006727203855,0.47507959509506614
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,37,4,3.14414789298227,3.0646389181717626,0.07950897481050756
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,38,5,2.6995394065069838,2.729127128480915,-0.029587721973931114
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,39,10,3.051462009499944,3.322359944726542,-0.2708979352265981
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,40,17,3.798886123284371,3.803925430250542,-0.00503930696617072
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,41,13,3.6109835160373875,4.075227092947962,-0.4642435769105746
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,42,14,3.685245633578947,3.527021502829575,0.15822413074937236
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,43,8,2.7786910280461976,3.4193424179808596,-0.640651389934662
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,44,12,3.665941340298544,3.7504424521059914,-0.08450111180744724
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,45,5,3.072434591397889,2.687826755965611,0.3846078354322784
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,46,9,3.3049607618920334,4.095158420334874,-0.7901976584428407
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,47,13,3.523931629971603,3.5106365296954323,0.013295100276170757
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,48,3,2.7659605265456344,2.629102950751662,0.1368575757939725
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,49,12,3.440254272923092,3.3807415852739005,0.0595126876491916
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,50,3,2.50815527270708,3.2031794318402347,-0.6950241591331547
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,52,8,3.337034019273049,3.2258768106873155,0.11115720858573352
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,53,1,2.3870967741935485,2.543858152243399,-0.15676137804985046
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,54,7,2.668103274889568,2.7323523573849395,-0.06424908249537165
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,55,16,3.0956714266352208,2.750831391676368,0.34484003495885274
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,56,4,2.4152922880323433,2.938837231279793,-0.5235449432474497
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,57,9,3.447972320495683,3.476779617207493,-0.02880729671181026
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,58,5,2.9292471855207736,3.087147581095246,-0.15790039557447244
arousal,raw_summary_ridge_alpha100,none_pure_loso,0,59,9,3.5060771777803468,4.458820909343579,-0.9527437315632326
