target,model,subjects,rmse_wins,rmse_losses,rmse_ties,mean_delta_rmse_model_minus_stimulus,median_delta_rmse_model_minus_stimulus,worst_regression_delta_rmse,best_gain_delta_rmse,dev_rmse_wins,dev_rmse_losses
arousal,physio_eeg_bandpower_ridge,63,28,35,0,0.016094505994347662,0.007837403681314026,0.6513269303656426,-0.6703902882165889,28,35
arousal,physio_eeg_cov_riemannian_ridge,63,24,39,0,0.051483723226773116,0.03244537764707034,0.7707694393563898,-0.47009080785355306,23,40
arousal,physio_eeg_directed_connectivity_experimental_ridge,63,24,39,0,0.024870497878654935,0.022158671380434036,0.37849015212285475,-0.1651186953684507,23,40
arousal,physio_eeg_entropy_complexity_ridge,63,31,32,0,-0.0013799214702181484,0.004714771547679408,0.4782462827939997,-0.6368568522914473,31,32
arousal,physio_emg_bsl_stats_22_ridge,63,32,31,0,0.007076770446826706,-0.0014283881225820583,0.2560485505505905,-0.13227070961561083,31,32
arousal,physio_emg_existing_22_ridge,63,26,37,0,0.01741589150890463,0.004148639586799785,0.25223923983254304,-0.0926867011684025,26,37
arousal,physio_emg_expanded_812_ridge,63,19,44,0,0.09948109629707791,0.04808071590534979,1.7308521411960787,-0.16701539282426348,19,44
arousal,physio_emg_lagged_interaction_experimental_ridge,63,28,35,0,0.010011582301851387,0.0028397036446883295,0.2177050222163326,-0.07585204556790215,28,35
valence,physio_eeg_bandpower_ridge,63,23,40,0,0.03396026916481246,0.017701080557787296,0.48205932516838046,-0.10053406100987061,23,40
valence,physio_eeg_cov_riemannian_ridge,63,19,44,0,0.049661551524476114,0.02181581064713467,1.2363042386062661,-0.30824595825505385,19,44
valence,physio_eeg_directed_connectivity_experimental_ridge,63,23,40,0,0.0234983122021912,0.013432729316003034,0.41854741941171314,-0.09948093664754265,23,40
valence,physio_eeg_entropy_complexity_ridge,63,24,39,0,0.021402542004336028,0.003351468102489541,0.23722798914252663,-0.10257111010247266,24,39
valence,physio_emg_bsl_stats_22_ridge,63,25,38,0,0.004678498982003225,0.0015541118837447687,0.16781036900265578,-0.037329028741236,25,38
valence,physio_emg_existing_22_ridge,63,25,38,0,0.0009555994761363333,0.002650992933836527,0.04658149592423855,-0.09716779047722102,24,39
valence,physio_emg_expanded_812_ridge,63,21,42,0,0.052929206568370385,0.016760544795232146,1.8911884531387924,-0.08611388458893621,21,42
valence,physio_emg_lagged_interaction_experimental_ridge,63,29,34,0,0.0011830920550664138,0.001927640039095957,0.03138472143483351,-0.03873272313137144,29,34
