target,subset,model,n,mae,rmse,pearson,spearman,ccc,balanced_accuracy,macro_f1,auroc,dev_rmse,dev_mae,dev_pearson,dev_spearman,dev_sign_acc,pred_dev_std,lift_vs_stimulus_mae,lift_vs_stimulus_rmse,lift_vs_stimulus_pearson,lift_vs_stimulus_spearman,lift_vs_stimulus_ccc,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_macro_f1,lift_vs_stimulus_auroc,lift_vs_stimulus_dev_mae,lift_vs_stimulus_dev_rmse,lift_vs_stimulus_dev_pearson,lift_vs_stimulus_dev_spearman,lift_vs_stimulus_dev_sign_acc,lift_vs_stimulus_pred_dev_std
arousal,top25_train_entropy,stimulus_only,504,1.7458397337429596,2.076382289254385,0.3926516352461903,0.26743437365520734,0.24723293986461373,0.6474393082806784,0.6510972657645144,0.623212504156967,2.076382289254385,1.7458397337429594,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
arousal,top25_train_entropy,emg_direct_ridge,504,2.3673986669760585,2.723107205732923,0.005618469095267705,-0.027491617647325977,0.0015574496851162567,0.5009810442301297,0.2983716279639228,0.48932490854672434,2.723107205732923,2.3673986669760585,-0.027774824290789493,-0.03756071417196107,0.43452380952380953,0.9307176773454603,-0.6215589332330989,-0.6467249164785378,-0.3870331661509226,-0.29492599130253333,-0.24567549017949747,-0.14645826405054874,-0.35272563780059163,-0.13388759561024272,-0.6215589332330991,-0.6467249164785378,,,0.43452380952380953,0.9307176773454603
arousal,top25_train_entropy,emg_residual_ridge,504,1.8005962222365581,2.1398522469971337,0.32565765597993085,0.3026445309779738,0.22318599441034884,0.6326238776188893,0.635076427996782,0.6425174592617227,2.1398522469971337,1.8005962222365581,-0.07318481430794158,-0.07431886921395416,0.4365079365079365,0.3832428139983585,-0.05475648849359849,-0.06346995774274866,-0.06699397926625944,0.035210157322766444,-0.02404694545426489,-0.014815430661789142,-0.016020837767732443,0.019304955104755606,-0.05475648849359871,-0.06346995774274866,,,0.4365079365079365,0.3832428139983585
arousal,top25_train_score_std,stimulus_only,504,1.910426267281106,2.2739644157974346,0.38132695071800077,0.3026940215591803,0.2681335475163034,0.649796195652174,0.6552731306035677,0.6700067934782609,2.2739644157974346,1.910426267281106,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
arousal,top25_train_score_std,emg_direct_ridge,504,2.1813409400098696,2.4938154284174674,-0.002591603395484698,-0.06044519982838522,-0.0008408350832627828,0.5026494565217391,0.41097818437719913,0.47673233695652173,2.4938154284174674,2.1813409400098696,0.027097418975647544,-0.006730161230715208,0.42857142857142855,1.0866538122393614,-0.27091467272876346,-0.21985101262003282,-0.38391855411348547,-0.3631392213875655,-0.2689743825995662,-0.14714673913043486,-0.2442949462263686,-0.19327445652173914,-0.27091467272876346,-0.21985101262003282,,,0.42857142857142855,1.0866538122393614
arousal,top25_train_score_std,emg_residual_ridge,504,1.9515778202788612,2.3274315538517216,0.33671582911364983,0.34082629486247856,0.24612999215994757,0.6470108695652174,0.6520348837209302,0.6842391304347826,2.3274315538517216,1.9515778202788612,-0.08308206024350896,-0.061921289778652834,0.4781746031746032,0.34191257140886383,-0.04115155299775508,-0.053467138054287044,-0.044611121604350934,0.03813227330329827,-0.02200355535635584,-0.0027853260869565855,-0.003238246882637519,0.014232336956521707,-0.04115155299775508,-0.053467138054287044,,,0.4781746031746032,0.34191257140886383
valence,top25_train_entropy,stimulus_only,504,1.0589157706093189,1.3230693666365962,0.33188232475446056,0.2667050643714082,0.20255411162781292,0.5037703065166417,0.39683438424913137,0.6852511007270703,1.3230693666365962,1.0589157706093189,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
valence,top25_train_entropy,emg_direct_ridge,504,1.485846150443963,1.9658318835890494,-0.00790375956134975,-0.004643305310833905,-0.0023833384289280346,0.5005735589331805,0.39723500046940496,0.49525126942087416,1.9658318835890494,1.485846150443963,0.005514009078879604,0.03297959290423957,0.5436507936507936,0.6377102139501867,-0.4269303798346442,-0.6427625169524531,-0.3397860843158103,-0.2713483696822421,-0.20493745005674097,-0.0031967475834612236,0.00040061622027359745,-0.18999983130619613,-0.4269303798346442,-0.6427625169524531,,,0.5436507936507936,0.6377102139501867
valence,top25_train_entropy,emg_residual_ridge,504,1.054809292070994,1.3255462975524268,0.3287535068578116,0.35327038629556035,0.20606572611108306,0.5064441033080855,0.4024877120354765,0.7287741021272288,1.3255462975524268,1.054809292070994,0.030410527777177603,0.04063079522398828,0.5079365079365079,0.12194457557915259,0.004106478538324909,-0.0024769309158305663,-0.0031288178966489832,0.08656532192415217,0.0035116144832701424,0.002673796791443861,0.0056533277863451414,0.04352300140015852,0.004106478538324909,-0.0024769309158305663,,,0.5079365079365079,0.12194457557915259
valence,top25_train_score_std,stimulus_only,504,1.0547875064004097,1.2971505530737022,0.7377818837811864,0.6314972032763382,0.7031681563849894,0.7380944881889764,0.7193987115246958,0.8359370078740157,1.2971505530737022,1.0547875064004097,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
