target,subset,model,n,mae,rmse,pearson,spearman,ccc,balanced_accuracy,macro_f1,auroc,dev_rmse,dev_mae,dev_pearson,dev_spearman,dev_sign_acc,pred_dev_std,lift_vs_stimulus_mae,lift_vs_stimulus_rmse,lift_vs_stimulus_pearson,lift_vs_stimulus_spearman,lift_vs_stimulus_ccc,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_macro_f1,lift_vs_stimulus_auroc,lift_vs_stimulus_dev_mae,lift_vs_stimulus_dev_rmse,lift_vs_stimulus_dev_pearson,lift_vs_stimulus_dev_spearman,lift_vs_stimulus_dev_sign_acc,lift_vs_stimulus_pred_dev_std
arousal,top25_train_entropy,stimulus_only,504,1.7458397337429596,2.076382289254385,0.3926516352461903,0.26743437365520734,0.24723293986461373,0.6474393082806784,0.6510972657645144,0.623212504156967,2.076382289254385,1.7458397337429594,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
arousal,top25_train_entropy,emg_direct_extratrees,504,2.3728301293930807,2.729036053812718,-0.14454055979296815,-0.13956245791917227,-0.019499696423045748,0.5016129032258064,0.2815511586173172,0.4393415364150316,2.729036053812718,2.3728301293930807,-0.07230603538849865,-0.07144618472345542,0.4305555555555556,0.8446482159087759,-0.626990395650121,-0.652653764558333,-0.5371921950391585,-0.4069968315743796,-0.2667326362876595,-0.145826405054872,-0.3695461071471972,-0.18387096774193545,-0.6269903956501213,-0.652653764558333,,,0.4305555555555556,0.8446482159087759
arousal,top25_train_entropy,emg_residual_extratrees,504,1.7773458795516062,2.1059375573375134,0.3584719869564105,0.30154190410392706,0.22755931705901028,0.6242434319920186,0.6260659694288013,0.6420186232125041,2.1059375573375134,1.7773458795516062,-0.12418112677280982,-0.11157034428887656,0.44047619047619047,0.1776757656685679,-0.031506145808646524,-0.02955526808312836,-0.03417964828977976,0.034107530448719725,-0.019673622805603447,-0.023195876288659822,-0.025031296335713105,0.018806119055537085,-0.031506145808646746,-0.02955526808312836,,,0.44047619047619047,0.1776757656685679
arousal,top25_train_score_std,stimulus_only,504,1.910426267281106,2.2739644157974346,0.38132695071800077,0.3026940215591803,0.2681335475163034,0.649796195652174,0.6552731306035677,0.6700067934782609,2.2739644157974346,1.910426267281106,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
arousal,top25_train_score_std,emg_direct_extratrees,504,2.1664212624891617,2.4861493951154268,-0.0782175837785601,-0.050642978071443724,-0.014049465483993655,0.49959239130434785,0.39268011489835664,0.4738960597826087,2.4861493951154268,2.1664212624891617,0.013418719002090285,-0.007986291734781159,0.43452380952380953,1.0353546100097462,-0.2559949952080556,-0.21218497931799218,-0.45954453449656085,-0.35333699963062404,-0.2821830130002971,-0.1502038043478261,-0.2625930157052111,-0.19611073369565218,-0.2559949952080556,-0.21218497931799218,,,0.43452380952380953,1.0353546100097462
arousal,top25_train_score_std,emg_residual_extratrees,504,1.9297072709556102,2.2938378699312683,0.363809844712359,0.36478511376233436,0.25870518260527225,0.635733695652174,0.6399852587230597,0.6970108695652174,2.2938378699312683,1.9297072709556102,-0.07506790479058341,-0.020922242057889374,0.48214285714285715,0.17595064678726088,-0.019281003674504138,-0.01987345413383368,-0.01751710600564177,0.062091092203154064,-0.009428364911031162,-0.014062499999999978,-0.015287871880508064,0.02700407608695654,-0.019281003674504138,-0.01987345413383368,,,0.48214285714285715,0.17595064678726088
valence,top25_train_entropy,stimulus_only,504,1.0589157706093189,1.3230693666365962,0.33188232475446056,0.2667050643714082,0.20255411162781292,0.5037703065166417,0.39683438424913137,0.6852511007270703,1.3230693666365962,1.0589157706093189,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
valence,top25_train_entropy,emg_direct_extratrees,504,1.4491489104942816,1.907877424609049,-0.01149247789973895,-0.0324734853756411,-0.0010488318565028839,0.48814926027766997,0.32424581005586595,0.5016110258270213,1.907877424609049,1.4491489104942816,0.010044416849248245,0.040142154132047254,0.5436507936507936,0.49715595114827943,-0.3902331398849628,-0.5848080579724528,-0.3433748026541995,-0.29917854974704927,-0.20360294348431582,-0.015621046238971703,-0.07258857419326542,-0.18364007490004897,-0.3902331398849628,-0.5848080579724528,,,0.5436507936507936,0.49715595114827943
valence,top25_train_entropy,emg_residual_extratrees,504,1.05674038617662,1.3270170560622754,0.32490703126165293,0.3472147923096672,0.20054367222280206,0.5064441033080855,0.4024877120354765,0.7296513099073871,1.3270170560622754,1.05674038617662,-0.011472907891748553,-0.026966760082706404,0.5138888888888888,0.08456868272886989,0.0021753844326988236,-0.003947689425679135,-0.0069752934928076216,0.080509727938259,-0.002010439405010861,0.002673796791443861,0.0056533277863451414,0.04440020918031684,0.0021753844326988236,-0.003947689425679135,,,0.5138888888888888,0.08456868272886989
valence,top25_train_score_std,stimulus_only,504,1.0547875064004097,1.2971505530737022,0.7377818837811864,0.6314972032763382,0.7031681563849894,0.7380944881889764,0.7193987115246958,0.8359370078740157,1.2971505530737022,1.0547875064004097,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
valence,top25_train_score_std,emg_direct_extratrees,504,1.574702439277163,2.035542309407918,-0.06892435711825184,-0.08223637560370754,-0.007445971058649934,0.47503937007874014,0.3794817779650306,0.46686614173228347,2.035542309407918,1.574702439277163,-0.015733062027637957,-0.007400854115559357,0.5178571428571429,1.4127705304388163,-0.5199149328767532,-0.7383917563342157,-0.8067062408994382,-0.7137335788800457,-0.7106141274436394,-0.26305511811023624,-0.33991693355966524,-0.36907086614173223,-0.5199149328767532,-0.7383917563342157,,,0.5178571428571429,1.4127705304388163
valence,top25_train_score_std,emg_residual_extratrees,504,1.056820756825425,1.3048206727012712,0.7340878817567358,0.6724076687844456,0.6998937825584816,0.7380944881889764,0.7193987115246958,0.8549133858267717,1.3048206727012712,1.056820756825425,-0.054363115472815554,-0.0420006208612987,0.5198412698412699,0.08733403629931767,-0.0020332504250153427,-0.0076701196275690275,-0.0036940020244505822,0.040910465508107396,-0.0032743738265078592,0.0,0.0,0.018976377952755974,-0.0020332504250153427,-0.0076701196275690275,,,0.5198412698412699,0.08733403629931767
