scope,test_subject,task,eeg_accuracy,stimulus_accuracy,delta_accuracy_eeg_minus_stimulus,eeg_balanced_accuracy,stimulus_balanced_accuracy,delta_balanced_accuracy_eeg_minus_stimulus,eeg_macro_f1,stimulus_macro_f1,delta_macro_f1_eeg_minus_stimulus,eeg_weighted_f1,stimulus_weighted_f1,delta_weighted_f1_eeg_minus_stimulus,eeg_mcc,stimulus_mcc,delta_mcc_eeg_minus_stimulus,eeg_cohen_kappa,stimulus_cohen_kappa,delta_cohen_kappa_eeg_minus_stimulus,eeg_auroc,stimulus_auroc,delta_auroc_eeg_minus_stimulus,eeg_average_precision,stimulus_average_precision,delta_average_precision_eeg_minus_stimulus,eeg_accuracy_lift_vs_majority,stimulus_accuracy_lift_vs_majority,delta_accuracy_lift_vs_majority_eeg_minus_stimulus,eeg_dimension_hamming_accuracy,stimulus_dimension_hamming_accuracy,delta_dimension_hamming_accuracy_eeg_minus_stimulus,eeg_both_dimensions_correct_rate,stimulus_both_dimensions_correct_rate,delta_both_dimensions_correct_rate_eeg_minus_stimulus,eeg_neither_dimension_correct_rate,stimulus_neither_dimension_correct_rate,delta_neither_dimension_correct_rate_eeg_minus_stimulus
subject,1.0,valence_high_low,0.84375,0.84375,0.0,0.875,0.875,0.0,0.8423645320197044,0.8423645320197044,0.0,0.8460591133004927,0.8460591133004927,0.0,0.7276068751089989,0.7276068751089989,0.0,0.6923076923076923,0.6923076923076923,0.0,0.9291666666666667,0.93125,-0.002083333333333326,0.8873050016432369,0.887305001643237,-1.1102230246251565e-16,0.21875,0.21875,0.0,,,,,,,,,
subject,2.0,valence_high_low,0.84375,0.875,-0.03125,0.868421052631579,0.8947368421052632,-0.02631578947368418,0.8435972629521017,0.8745098039215686,-0.03091254096946694,0.8445136852394917,0.8759803921568627,-0.03146670691737108,0.7294955398698875,0.7769911005144381,-0.04749556064455063,0.6946564885496183,0.752895752895753,-0.05823926434613469,0.8987854251012146,0.8987854251012146,0.0,0.8039644995527349,0.7715610056107793,0.03240349394195552,0.25,0.28125,-0.03125,,,,,,,,,
subject,3.0,valence_high_low,0.84375,0.84375,0.0,0.875,0.875,0.0,0.8423645320197044,0.8423645320197044,0.0,0.8460591133004927,0.8460591133004927,0.0,0.7276068751089989,0.7276068751089989,0.0,0.6923076923076923,0.6923076923076923,0.0,0.9708333333333333,0.9708333333333333,0.0,0.9391555204055204,0.9396897084397086,-0.0005341880341881433,0.21875,0.21875,0.0,,,,,,,,,
subject,5.0,valence_high_low,0.90625,0.90625,0.0,0.90625,0.90625,0.0,0.906158357771261,0.906158357771261,0.0,0.906158357771261,0.906158357771261,0.0,0.8140915784106943,0.8140915784106943,0.0,0.8125,0.8125,0.0,0.96875,0.96875,0.0,0.968618136357107,0.9686181363571069,1.1102230246251565e-16,0.40625,0.40625,0.0,,,,,,,,,
subject,6.0,valence_high_low,0.9375,0.9375,0.0,0.9411764705882353,0.9411764705882353,0.0,0.9375,0.9375,0.0,0.9375,0.9375,0.0,0.8823529411764706,0.8823529411764706,0.0,0.8754863813229572,0.8754863813229572,0.0,0.9803921568627451,0.984313725490196,-0.0039215686274509665,0.9790616246498599,0.9838235294117648,-0.004761904761904856,0.40625,0.40625,0.0,,,,,,,,,
subject,7.0,valence_high_low,0.84375,0.84375,0.0,0.875,0.875,0.0,0.8423645320197044,0.8423645320197044,0.0,0.8460591133004927,0.8460591133004927,0.0,0.7276068751089989,0.7276068751089989,0.0,0.6923076923076923,0.6923076923076923,0.0,0.9958333333333333,0.9958333333333333,0.0,0.9935897435897435,0.9935897435897437,-2.220446049250313e-16,0.21875,0.21875,0.0,,,,,,,,,
subject,8.0,valence_high_low,0.96875,0.96875,0.0,0.96875,0.96875,0.0,0.9687194525904204,0.9687194525904204,0.0,0.9687194525904204,0.9687194525904204,0.0,0.9393364366277243,0.9393364366277243,0.0,0.9375,0.9375,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.46875,0.46875,0.0,,,,,,,,,
subject,9.0,valence_high_low,0.84375,0.84375,0.0,0.8583333333333334,0.8583333333333334,0.0,0.8398398398398399,0.8398398398398399,0.0,0.8460960960960962,0.8460960960960962,0.0,0.6952687917708212,0.6952687917708212,0.0,0.6825396825396826,0.6825396825396826,0.0,0.9625,0.9708333333333333,-0.008333333333333304,0.9745742503540491,0.9803101810899799,-0.0057359307359308165,0.21875,0.21875,0.0,,,,,,,,,
subject,10.0,valence_high_low,0.84375,0.84375,0.0,0.875,0.875,0.0,0.8423645320197044,0.8423645320197044,0.0,0.8460591133004927,0.8460591133004927,0.0,0.7276068751089989,0.7276068751089989,0.0,0.6923076923076923,0.6923076923076923,0.0,0.9666666666666667,0.9666666666666667,0.0,0.9462343212343212,0.9473026973026976,-0.0010683760683763976,0.21875,0.21875,0.0,,,,,,,,,
subject,11.0,valence_high_low,0.90625,0.90625,0.0,0.9166666666666667,0.9166666666666667,0.0,0.906158357771261,0.906158357771261,0.0,0.906524926686217,0.906524926686217,0.0,0.828416869579514,0.828416869579514,0.0,0.813953488372093,0.813953488372093,0.0,0.9563492063492064,0.9642857142857143,-0.007936507936507908,0.9447732939329577,0.9566780558377197,-0.011904761904761973,0.34375,0.34375,0.0,,,,,,,,,
subject,12.0,valence_high_low,0.90625,0.90625,0.0,0.9166666666666667,0.9166666666666667,0.0,0.906158357771261,0.906158357771261,0.0,0.906524926686217,0.906524926686217,0.0,0.828416869579514,0.828416869579514,0.0,0.813953488372093,0.813953488372093,0.0,0.9563492063492063,0.9523809523809523,0.003968253968253954,0.91179316715031,0.8960945800231515,0.015698587127158548,0.34375,0.34375,0.0,,,,,,,,,
subject,13.0,valence_high_low,0.8125,0.8125,0.0,0.8571428571428572,0.8571428571428572,0.0,0.8095238095238095,0.8095238095238095,0.0,0.8169642857142857,0.8169642857142857,0.0,0.6798418006783489,0.6798418006783489,0.0,0.632183908045977,0.632183908045977,0.0,0.9696969696969697,0.9653679653679654,0.0043290043290042934,0.9403069153069152,0.9273199023199024,0.01298701298701288,0.15625,0.15625,0.0,,,,,,,,,
subject,14.0,valence_high_low,0.875,0.875,0.0,0.8947368421052632,0.8947368421052632,0.0,0.8745098039215686,0.8745098039215686,0.0,0.8759803921568627,0.8759803921568627,0.0,0.7769911005144381,0.7769911005144381,0.0,0.752895752895753,0.752895752895753,0.0,0.9554655870445344,0.9574898785425101,-0.002024291497975672,0.9230835403912326,0.9230835403912325,1.1102230246251565e-16,0.28125,0.28125,0.0,,,,,,,,,
subject,15.0,valence_high_low,0.78125,0.78125,0.0,0.8409090909090908,0.8409090909090908,0.0,0.7757757757757757,0.7757757757757757,0.0,0.7889139139139139,0.7889139139139139,0.0,0.6333004963811235,0.6333004963811235,0.0,0.5725190839694656,0.5725190839694656,0.0,0.8954545454545455,0.8954545454545455,0.0,0.7417748917748918,0.7453463203463203,-0.0035714285714285587,0.09375,0.09375,0.0,,,,,,,,,
