target,block,k_calibration,model,test_subject,n,mae,rmse,pearson,spearman,ccc,y_true_std,y_pred_std
arousal,eeg_bandpower,0,stimulus_only,1,32,1.5544354838709675,1.8757326005488382,0.6396747039031425,0.6336280762871853,0.591079851242668,2.4348944407304396,1.6326014875239936
arousal,eeg_bandpower,0,stimulus_only,2,32,2.326108870967742,2.7325131631493744,0.7271361956690022,0.7829385631311458,0.422662170104567,2.3048861143232218,1.6307697904686218
arousal,eeg_bandpower,0,stimulus_only,3,32,1.645665322580645,1.8533457350509737,0.6357247908214482,0.6344455352961016,0.4801594393110361,1.5194057226429023,1.64231059042618
arousal,eeg_bandpower,0,stimulus_only,5,32,1.4047379032258063,1.7548362080449438,0.6946450633141558,0.7385488473019087,0.6057032951047436,2.0832291640623697,1.634481336683944
arousal,eeg_bandpower,0,stimulus_only,6,32,3.337701612903226,3.732512119493306,0.3170827001100329,0.38138344258506085,0.09466720235279265,1.39159025488827,1.6507443513068545
arousal,eeg_bandpower,0,stimulus_only,7,32,1.3487903225806452,1.6252851346734931,0.664034725547573,0.6860438597275036,0.42976028247690273,0.909477013178453,1.648220935299899
arousal,eeg_bandpower,0,stimulus_only,8,32,1.7182459677419355,1.9187893074403857,0.7647247061481834,0.7852355977697068,0.6275582319326557,2.4929588343973914,1.6270466548631377
arousal,eeg_bandpower,0,stimulus_only,9,32,1.6965725806451613,2.170411362822948,0.4570923493746098,0.46956461195453625,0.3849140732331335,1.96229099205495,1.643292035292091
arousal,eeg_bandpower,0,stimulus_only,10,32,1.4380040322580645,1.7173703785641625,0.7545455569743079,0.6583096352466759,0.681165922336731,2.567069097239106,1.6265338073463327
arousal,eeg_bandpower,0,stimulus_only,11,32,1.671875,2.026535642212376,0.4276580639736074,0.4359750912602661,0.3926659461331032,1.8874586088176875,1.6447504002176132
arousal,eeg_bandpower,0,stimulus_only,12,32,1.0922379032258065,1.3301654805004859,0.667013077311061,0.6063847547898518,0.5895021197479596,1.1575161985907585,1.6454867017620436
arousal,eeg_bandpower,0,stimulus_only,13,32,2.081149193548387,2.417245384138399,0.5550886728936512,0.4724337435465743,0.2801338084065933,1.243734296383275,1.6467787568605616
arousal,eeg_bandpower,0,stimulus_only,14,32,1.610383064516129,1.7966571854818605,0.8654060605055739,0.8158786083038903,0.5896991565968756,1.6393596310755,1.6350625440259345
arousal,eeg_bandpower,0,stimulus_only,15,32,1.4349798387096775,1.6951581251313257,0.6843964811202882,0.6838954529864433,0.6327118970324376,2.214123697989794,1.6333525202781025
arousal,eeg_bandpower,0,stimulus_only,16,32,1.115423387096774,1.3937183709424947,0.8490714537900498,0.7851188280071603,0.7766475824489384,2.4486922530199666,1.6243325360925709
arousal,eeg_bandpower,0,stimulus_only,17,32,1.1703629032258065,1.443007647866153,0.8494711265706563,0.8058567055675556,0.7589941655334352,2.3747943989954163,1.6253373414156536
arousal,eeg_bandpower,0,stimulus_only,18,32,1.862399193548387,2.2144458644257763,0.7211949002894917,0.6891756144226439,0.5862598768217001,2.9679275176459416,1.623142821183585
arousal,eeg_bandpower,0,stimulus_only,19,32,1.4783266129032258,1.8649160854374132,0.67305688302963,0.7573562085836922,0.5508004770128474,1.9354828209002528,1.6368260362049833
arousal,eeg_bandpower,0,stimulus_only,20,32,1.2222782258064515,1.6061071539303806,0.8174181670963803,0.8295778754427827,0.6887310952788871,2.1423920626253263,1.6296327910122985
arousal,eeg_bandpower,0,stimulus_only,21,32,1.277217741935484,1.632203078252718,0.8430035229501301,0.7285661711621355,0.7379262719707491,2.745557491202834,1.620495926660126
arousal,eeg_bandpower,0,stimulus_only,22,32,1.9672379032258063,2.2019212090640568,0.7363599371429027,0.6965022133087162,0.5992353607517777,3.0355961111452228,1.621613874668233
arousal,eeg_bandpower,0,stimulus_only,23,32,1.2278225806451613,1.4444266565960073,0.8378042177970356,0.8186251100740446,0.7339550447883118,2.108159371940366,1.6294064964572808
