target,model,n,mae,rmse,pearson,spearman,balanced_accuracy,macro_f1,auroc,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,pred_dev_std,lift_vs_stimulus_mae,lift_vs_stimulus_rmse,lift_vs_stimulus_pearson,lift_vs_stimulus_spearman,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_macro_f1,lift_vs_stimulus_auroc,lift_vs_stimulus_dev_mae,lift_vs_stimulus_dev_rmse,lift_vs_stimulus_dev_pearson,lift_vs_stimulus_dev_spearman,lift_vs_stimulus_dev_sign_acc,lift_vs_stimulus_pred_dev_std
arousal,eeg_bc_residual_huber_smoke,192,1.987031622656173,2.479365675677111,0.4285910805126008,0.4289851362882122,0.6279982314579419,0.6267301163566723,0.6533657566043992,1.987031622656173,2.479365675677111,-0.07956832113678962,-0.0827935545008111,0.453125,0.21173227507138806,-0.05079170330133431,-0.09635147802047728,-0.01272072507273736,-0.0009014792168340335,0.0,0.0,0.005692494749640731,-0.05079170330133431,-0.09635147802047728,,,0.453125,0.21173227507138806
arousal,stimulus_only,192,1.9362399193548387,2.383014197656634,0.44131180558533817,0.42988661550504625,0.6279982314579419,0.6267301163566723,0.6476732618547585,1.9362399193548387,2.383014197656634,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
