target,block,k_calibration,model,label_policy,binary_n,accuracy,balanced_accuracy,macro_f1,n_low,n_high
valence,emg_existing_22,4,locked_kernel_residual_shrink4,midpoint_as_low,88200,0.8651587301587301,0.8786938851919345,0.8649130994088914,50747,37453
valence,emg_existing_22,4,locked_kernel_residual_shrink4,midpoint_as_high,88200,0.8884920634920634,0.8970935899761614,0.8865829981728179,35543,52657
valence,emg_existing_22,4,locked_kernel_residual_shrink4,discard_midpoint,72996,0.9553126198695819,0.9549584553198394,0.9552462054515377,35543,37453
valence,emg_existing_22,4,physio_residual_ridge100,midpoint_as_low,88200,0.8660884353741497,0.8794948201922446,0.8658331932879362,50747,37453
valence,emg_existing_22,4,physio_residual_ridge100,midpoint_as_high,88200,0.8889002267573696,0.8977143201553257,0.8870271123206643,35543,52657
valence,emg_existing_22,4,physio_residual_ridge100,discard_midpoint,72996,0.9561208833360733,0.9557898707110524,0.9560585636001859,35543,37453
valence,emg_existing_22,4,physio_context_ridge100,midpoint_as_low,88200,0.8660884353741497,0.8794948201922446,0.8658331932879362,50747,37453
valence,emg_existing_22,4,physio_context_ridge100,midpoint_as_high,88200,0.8889002267573696,0.8977143201553257,0.8870271123206643,35543,52657
valence,emg_existing_22,4,physio_context_ridge100,discard_midpoint,72996,0.9561208833360733,0.9557898707110524,0.9560585636001859,35543,37453
valence,emg_existing_22,4,physio_residual_ridge1000,midpoint_as_low,88200,0.8660884353741497,0.8794948201922446,0.8658331932879362,50747,37453
valence,emg_existing_22,4,physio_residual_ridge1000,midpoint_as_high,88200,0.8889002267573696,0.8977143201553257,0.8870271123206643,35543,52657
valence,emg_existing_22,4,physio_residual_ridge1000,discard_midpoint,72996,0.9561208833360733,0.9557898707110524,0.9560585636001859,35543,37453
valence,emg_existing_22,4,physio_context_ridge1000,midpoint_as_low,88200,0.8660884353741497,0.8794948201922446,0.8658331932879362,50747,37453
valence,emg_existing_22,4,physio_context_ridge1000,midpoint_as_high,88200,0.8889002267573696,0.8977143201553257,0.8870271123206643,35543,52657
valence,emg_existing_22,4,physio_context_ridge1000,discard_midpoint,72996,0.9561208833360733,0.9557898707110524,0.9560585636001859,35543,37453
valence,emg_existing_22,4,physio_similarity_knn64,midpoint_as_low,88200,0.8650793650793651,0.8783171561689863,0.8648109608147696,50747,37453
valence,emg_existing_22,4,physio_similarity_knn64,midpoint_as_high,88200,0.8859410430839002,0.8948291043821861,0.8840465076863542,35543,52657
valence,emg_existing_22,4,physio_similarity_knn64,discard_midpoint,72996,0.9537234916981753,0.9533897604712055,0.9536576233098628,35543,37453
valence,emg_existing_22,8,locked_kernel_residual_shrink4,midpoint_as_low,75600,0.865436507936508,0.8787347854004222,0.8651684272577567,43507,32093
valence,emg_existing_22,8,locked_kernel_residual_shrink4,midpoint_as_high,75600,0.8870502645502646,0.8959776234529893,0.885169582849304,30461,45139
valence,emg_existing_22,8,locked_kernel_residual_shrink4,discard_midpoint,62554,0.9547111295840394,0.9543868816595324,0.9546479377968996,30461,32093
valence,emg_existing_22,8,physio_residual_ridge100,midpoint_as_low,75600,0.8666269841269841,0.8799366817517823,0.8663600099679759,43507,32093
valence,emg_existing_22,8,physio_residual_ridge100,midpoint_as_high,75600,0.888505291005291,0.8975109966018617,0.8866519562272589,30461,45139
valence,emg_existing_22,8,physio_residual_ridge100,discard_midpoint,62554,0.9563097483774019,0.9559941017008761,0.9562497246879742,30461,32093
valence,emg_existing_22,8,physio_context_ridge100,midpoint_as_low,75600,0.8666269841269841,0.8799366817517823,0.8663600099679759,43507,32093
valence,emg_existing_22,8,physio_context_ridge100,midpoint_as_high,75600,0.888505291005291,0.8975109966018617,0.8866519562272589,30461,45139
valence,emg_existing_22,8,physio_context_ridge100,discard_midpoint,62554,0.9563097483774019,0.9559941017008761,0.9562497246879742,30461,32093
valence,emg_existing_22,8,physio_residual_ridge1000,midpoint_as_low,75600,0.8666269841269841,0.8799366817517823,0.8663600099679759,43507,32093
valence,emg_existing_22,8,physio_residual_ridge1000,midpoint_as_high,75600,0.888505291005291,0.8975109966018617,0.8866519562272589,30461,45139
valence,emg_existing_22,8,physio_residual_ridge1000,discard_midpoint,62554,0.9563097483774019,0.9559941017008761,0.9562497246879742,30461,32093
valence,emg_existing_22,8,physio_context_ridge1000,midpoint_as_low,75600,0.8666269841269841,0.8799366817517823,0.8663600099679759,43507,32093
valence,emg_existing_22,8,physio_context_ridge1000,midpoint_as_high,75600,0.888505291005291,0.8975109966018617,0.8866519562272589,30461,45139
valence,emg_existing_22,8,physio_context_ridge1000,discard_midpoint,62554,0.9563097483774019,0.9559941017008761,0.9562497246879742,30461,32093
valence,emg_existing_22,8,physio_similarity_knn64,midpoint_as_low,75600,0.8657539682539682,0.8788838962296202,0.8654726708734419,43507,32093
valence,emg_existing_22,8,physio_similarity_knn64,midpoint_as_high,75600,0.8856216931216931,0.8947226058120991,0.883751482718164,30461,45139
valence,emg_existing_22,8,physio_similarity_knn64,discard_midpoint,62554,0.9540397096908271,0.9537233515478099,0.9539766764267147,30461,32093
valence,emg_existing_22,16,locked_kernel_residual_shrink4,midpoint_as_low,50400,0.8641468253968254,0.8778435340611039,0.8639166056007612,28993,21407
valence,emg_existing_22,16,locked_kernel_residual_shrink4,midpoint_as_high,50400,0.8883134920634921,0.8971120296178656,0.8862999712920869,20213,30187
valence,emg_existing_22,16,locked_kernel_residual_shrink4,discard_midpoint,41620,0.95559827006247,0.9552071115299225,0.9555233663246736,20213,21407
valence,emg_existing_22,16,physio_residual_ridge100,midpoint_as_low,50400,0.8647420634920635,0.8782753420678275,0.864499823587247,28993,21407
valence,emg_existing_22,16,physio_residual_ridge100,midpoint_as_high,50400,0.8889880952380952,0.8980511501231532,0.8870218114423657,20213,30187
valence,emg_existing_22,16,physio_residual_ridge100,discard_midpoint,41620,0.9563671311869294,0.9560179972488124,0.9562986130598343,20213,21407
valence,emg_existing_22,16,physio_context_ridge100,midpoint_as_low,50400,0.8647420634920635,0.8782753420678275,0.864499823587247,28993,21407
valence,emg_existing_22,16,physio_context_ridge100,midpoint_as_high,50400,0.8889880952380952,0.8980511501231532,0.8870218114423657,20213,30187
valence,emg_existing_22,16,physio_context_ridge100,discard_midpoint,41620,0.9563671311869294,0.9560179972488124,0.9562986130598343,20213,21407
valence,emg_existing_22,16,physio_residual_ridge1000,midpoint_as_low,50400,0.8647420634920635,0.8782753420678275,0.864499823587247,28993,21407
valence,emg_existing_22,16,physio_residual_ridge1000,midpoint_as_high,50400,0.8889880952380952,0.8980511501231532,0.8870218114423657,20213,30187
valence,emg_existing_22,16,physio_residual_ridge1000,discard_midpoint,41620,0.9563671311869294,0.9560179972488124,0.9562986130598343,20213,21407
valence,emg_existing_22,16,physio_context_ridge1000,midpoint_as_low,50400,0.8647420634920635,0.8782753420678275,0.864499823587247,28993,21407
valence,emg_existing_22,16,physio_context_ridge1000,midpoint_as_high,50400,0.8889880952380952,0.8980511501231532,0.8870218114423657,20213,30187
valence,emg_existing_22,16,physio_context_ridge1000,discard_midpoint,41620,0.9563671311869294,0.9560179972488124,0.9562986130598343,20213,21407
valence,emg_existing_22,16,physio_similarity_knn64,midpoint_as_low,50400,0.8638888888888889,0.8772526637828992,0.8636337605046226,28993,21407
valence,emg_existing_22,16,physio_similarity_knn64,midpoint_as_high,50400,0.8862301587301588,0.8953810435114744,0.8842451333813988,20213,30187
valence,emg_existing_22,16,physio_similarity_knn64,discard_midpoint,41620,0.9541806823642479,0.9538304373321127,0.9541088182150473,20213,21407
arousal,emg_existing_22,4,locked_kernel_residual_shrink4,midpoint_as_low,88200,0.8067006802721088,0.7827210288036656,0.7839504496302755,58139,30061
