target,model,subjects,rmse_wins,rmse_losses,rmse_ties,mean_delta_rmse_model_minus_stimulus,median_delta_rmse_model_minus_stimulus,worst_regression_delta_rmse,best_gain_delta_rmse,dev_rmse_wins,dev_rmse_losses
arousal,physio_eeg_bandpower_ridge,8,1,7,0,0.7067476742492739,0.35789970274019667,2.311543989296824,-0.3439862191213887,1,7
arousal,physio_eeg_entropy_complexity_ridge,8,1,7,0,0.20676851273044228,0.091893676155677,0.7426344329789301,-0.09618352204543967,0,8
arousal,physio_emg_bsl_stats_22_ridge,8,4,4,0,0.19935383584616959,-0.008557278240293842,1.0189163923472848,-0.28771005316450937,4,4
arousal,physio_emg_existing_22_ridge,8,4,4,0,0.13692292427870872,0.007860166055710494,0.842656194611608,-0.9406684579388895,4,4
arousal,physio_emg_lagged_interaction_experimental_ridge,8,5,3,0,0.19004430216558213,-0.014275134715067028,1.4231722804278273,-0.05947752913553961,5,3
valence,physio_eeg_bandpower_ridge,8,4,4,0,0.2143934625101181,-0.007314915519129439,1.1043151871484227,-0.06529683939334419,4,4
valence,physio_eeg_entropy_complexity_ridge,8,3,5,0,0.146420563269295,0.022735656499043744,0.7163611579406843,-0.07314337486847533,3,5
valence,physio_emg_bsl_stats_22_ridge,8,4,4,0,0.030452081931018282,0.003635478091994826,0.2850177765443789,-0.06345003669450433,4,4
valence,physio_emg_existing_22_ridge,8,1,7,0,0.07124005533537686,0.07575802645842633,0.15296439335355627,-0.006258098258278277,1,7
valence,physio_emg_lagged_interaction_experimental_ridge,8,4,4,0,0.02230101582191002,0.0032685706005560755,0.1716050002670999,-0.03319719667965737,4,4
