target,block,k_calibration,model,n,mae,rmse,pearson,spearman,ccc,y_true_std,y_pred_std,lift_vs_fewshot_rmse,lift_vs_fewshot_mae,lift_vs_fewshot_pearson,fewshot_reference_model
arousal,eeg_bandpower,0,stimulus_only,2016,1.5799251152073732,1.944204982116596,0.6343754946304895,0.5984999661777204,0.5793812998802726,2.514611055537069,1.6319723102903874,0.0,0.0,0.0,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,0,stimulus_plus_fewshot_bias,2016,1.5799251152073732,1.944204982116596,0.6343754946304895,0.5984999661777204,0.5793812998802726,2.514611055537069,1.6319723102903874,0.0,0.0,0.0,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,0,stimulus_plus_fewshot_bias_plus_physio,2016,1.5826121774562594,1.9512584026191977,0.631207786127947,0.607108248924351,0.5785113917030222,2.514611055537069,1.6461995657814106,-0.007053420502601604,-0.0026870622488861517,-0.0031677085025424434,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,0,stimulus_plus_fewshot_bias_shrink4,2016,1.5799251152073732,1.944204982116596,0.6343754946304895,0.5984999661777204,0.5793812998802726,2.514611055537069,1.6319723102903874,0.0,0.0,0.0,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,0,stimulus_plus_fewshot_bias_shrink4_plus_physio,2016,1.5826121774562594,1.9512584026191977,0.631207786127947,0.607108248924351,0.5785113917030222,2.514611055537069,1.6461995657814106,-0.007053420502601604,-0.0026870622488861517,-0.0031677085025424434,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,0,stimulus_plus_physio,2016,1.5826121774562594,1.9512584026191977,0.631207786127947,0.607108248924351,0.5785113917030222,2.514611055537069,1.6461995657814106,-0.007053420502601604,-0.0026870622488861517,-0.0031677085025424434,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,1,stimulus_only,195300,1.5794887930892092,1.9437316962587052,0.6343937452808363,0.5985875444536402,0.5794842550229928,2.514033924057647,1.6321948029218314,-0.05808379505090877,-0.051558429545942586,-0.02701369677649923,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,1,stimulus_plus_fewshot_bias,195300,1.8840762763655583,2.394900714756342,0.5516017305117281,0.549830893712967,0.5515511141338749,2.514033924057647,2.543437643498616,-0.5092528135485455,-0.3561459128222917,-0.10980571154560737,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,1,stimulus_plus_fewshot_bias_plus_physio,195300,1.893987004146048,2.4066885865249725,0.5499091467014191,0.5477663510610645,0.5498097757164028,2.514033924057647,2.558374520406113,-0.5210406853171761,-0.3660566406027814,-0.11149829535591638,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,1,stimulus_plus_fewshot_bias_shrink4,195300,1.5279303635432666,1.8856479012077965,0.6614074420573355,0.6483830017547597,0.610618334649901,2.514033924057647,1.6766612980855538,0.0,0.0,0.0,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,1,stimulus_plus_fewshot_bias_shrink4_plus_physio,195300,1.5325577800596715,1.8943604326075458,0.6576178943810173,0.6418969574203673,0.6092620122278349,2.514033924057647,1.6922672173746938,-0.008712531399749368,-0.004627416516404859,-0.003789547676318228,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,1,stimulus_plus_physio,195300,1.5820652936084256,1.950669008038796,0.6312833878035183,0.6072685165253131,0.578665889775159,2.514033924057647,1.646428748151473,-0.0650211068309996,-0.054134930065159015,-0.030124054253817145,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,2,stimulus_only,189000,1.5798329919781533,1.9439708408104874,0.6343264074048398,0.5983639279944765,0.5793339081948813,2.5141746381266223,1.6316714168161544,-0.09162923333850581,-0.0827070888092396,-0.04183286322628632,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,2,stimulus_plus_fewshot_bias,189000,1.6292101041133298,2.066972919726803,0.6253333676818269,0.6255186456371555,0.6206126038921078,2.5141746381266223,2.2226456309419924,-0.21463131225482135,-0.13208420094441609,-0.05082590294929923,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,2,stimulus_plus_fewshot_bias_plus_physio,189000,1.6422796073665549,2.081622642671653,0.6220633618542954,0.6218393338154569,0.6179637570349573,2.5141746381266223,2.2407963377825677,-0.22928103519967147,-0.14515370419764118,-0.05409590877683068,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,2,stimulus_plus_fewshot_bias_shrink4,189000,1.4971259031689137,1.8523416074719816,0.6761592706311261,0.6655740703538365,0.6282749691778083,2.5141746381266223,1.7056725950179792,0.0,0.0,0.0,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,2,stimulus_plus_fewshot_bias_shrink4_plus_physio,189000,1.50315216729492,1.8627360018196533,0.671757910927545,0.6588669139950201,0.6264726542781002,2.5141746381266223,1.7228366715271146,-0.010394394347671643,-0.006026264126006264,-0.004401359703581131,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,2,stimulus_plus_physio,189000,1.5824744450076802,1.9510404185143166,0.6311554675458643,0.6069927295281088,0.5785097331418665,2.5141746381266223,1.6462427196991962,-0.09869881104233502,-0.0853485418387665,-0.04500380308526186,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,4,stimulus_only,176400,1.579405584814571,1.9434223905508583,0.6349074170538355,0.5991319680417323,0.5798373446782736,2.515055610227568,1.632056349515004,-0.13750630489245186,-0.123127971618755,-0.061098429796403675,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,4,stimulus_plus_fewshot_bias,176400,1.4989111531709458,1.889994450914113,0.6760590080436649,0.6765926689869183,0.6634980101518784,2.515055610227568,2.071146668114963,-0.08407836525570644,-0.042633539975129864,-0.01994683880657422,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,4,stimulus_plus_fewshot_bias_plus_physio,176400,1.5106410291069596,1.9035901096198582,0.6723706466831825,0.6724996170849409,0.6608827842621681,2.515055610227568,2.088022369603735,-0.09767402396145175,-0.05436341591114369,-0.02363520016705667,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,4,stimulus_plus_fewshot_bias_shrink4,176400,1.456277613195816,1.8059160856584064,0.6960058468502391,0.6881752754262515,0.6526457929345002,2.515055610227568,1.7502884884815322,0.0,0.0,0.0,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,4,stimulus_plus_fewshot_bias_shrink4_plus_physio,176400,1.4637884600321807,1.8169181708215354,0.6915539573940572,0.6821183019894943,0.6505780014847069,2.515055610227568,1.7669172413429148,-0.01100208516312895,-0.007510846836364715,-0.004451889456181912,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,4,stimulus_plus_physio,176400,1.5822475016261455,1.95064906356356,0.6316559732384144,0.6076179993949264,0.578898706266994,2.515055610227568,1.6463269792353326,-0.1447329779051536,-0.12596988843032952,-0.06434987361182476,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,8,stimulus_only,151200,1.5789396654719237,1.9424213465486506,0.6355209120252999,0.5997214377692107,0.5805049449008607,2.5154219191783476,1.633034198268763,-0.179260378164666,-0.16000700489275776,-0.07769963385004497,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,8,stimulus_plus_fewshot_bias,151200,1.4275138408858168,1.7916301068945908,0.7067476866494594,0.7054587930349473,0.6874023092997834,2.5154219191783476,1.9852568022321726,-0.028469138510606173,-0.008581180306650893,-0.0064728592258854745,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,8,stimulus_plus_fewshot_bias_plus_physio,151200,1.439576657205685,1.8056428233169528,0.7024997124728735,0.7007399450457219,0.6846468661703126,2.5154219191783476,2.0028396390648044,-0.04248185493296819,-0.020643996626519057,-0.01072083340247143,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,8,stimulus_plus_fewshot_bias_shrink4,151200,1.418932660579166,1.7631609683839846,0.7132205458753449,0.706351456929341,0.6746443965387092,2.5154219191783476,1.7965357794060206,0.0,0.0,0.0,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,8,stimulus_plus_fewshot_bias_shrink4_plus_physio,151200,1.428035132654644,1.775289840161907,0.7085599079150006,0.7006800557157069,0.6723007624326688,2.5154219191783476,1.8138831072789612,-0.012128871777922434,-0.009102472075478207,-0.004660637960344327,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,8,stimulus_plus_physio,151200,1.5816782437964143,1.9495993960416853,0.6322967105759024,0.6082377950503297,0.5796259464284693,2.5154219191783476,1.647558786590936,-0.1864384276577007,-0.1627455832172484,-0.08092383529944247,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,16,stimulus_only,100800,1.5799833589349717,1.9439662371403221,0.6356646318740543,0.600123263015397,0.5806880266455878,2.5178054161626937,1.6349438272637888,-0.21009770966790886,-0.18548958333333299,-0.08944640882961785,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,16,stimulus_plus_fewshot_bias,100800,1.3939820148489501,1.7421823428273597,0.7234467303530254,0.7234083021723987,0.6993941156391505,2.5178054161626937,1.9384428199679649,-0.008313815354946463,0.0005117607526885504,-0.001664310350646736,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,16,stimulus_plus_fewshot_bias_plus_physio,100800,1.4061112959237272,1.755637502297974,0.7191075954782439,0.7185081226456843,0.6967439112083103,2.5178054161626937,1.9556328158956546,-0.021768974825560727,-0.011617520322088515,-0.006003445225428283,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,16,stimulus_plus_fewshot_bias_shrink4,100800,1.3944937756016387,1.7338685274724133,0.7251110407036722,0.721346568371129,0.690147856862083,2.5178054161626937,1.8338478034946881,0.0,0.0,0.0,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,16,stimulus_plus_fewshot_bias_shrink4_plus_physio,100800,1.404562761378885,1.7462999844762062,0.7205325730457302,0.7159390539517403,0.6877215013025857,2.5178054161626937,1.850983051941054,-0.01243145700379289,-0.010068985777246242,-0.004578467657942009,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,16,stimulus_plus_physio,100800,1.582828302979021,1.9511708438755837,0.6324340732767746,0.6087424073123126,0.5798100473696084,2.5178054161626937,1.6495415126547,-0.21730231640317044,-0.18833452737738243,-0.09267696742689757,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_entropy_complexity,0,stimulus_only,2016,1.5799251152073732,1.944204982116596,0.6343754946304895,0.5984999661777204,0.5793812998802726,2.514611055537069,1.6319723102903874,0.0,0.0,0.0,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias,2016,1.5799251152073732,1.944204982116596,0.6343754946304895,0.5984999661777204,0.5793812998802726,2.514611055537069,1.6319723102903874,0.0,0.0,0.0,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_plus_physio,2016,1.5867634195296048,1.9540202613491242,0.6299174930761209,0.609817977511145,0.577399910153327,2.514611055537069,1.6467238169498062,-0.009815279232528118,-0.0068383043222315365,-0.004458001554368596,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_shrink4,2016,1.5799251152073732,1.944204982116596,0.6343754946304895,0.5984999661777204,0.5793812998802726,2.514611055537069,1.6319723102903874,0.0,0.0,0.0,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_entropy_complexity,0,stimulus_plus_fewshot_bias_shrink4_plus_physio,2016,1.5867634195296048,1.9540202613491242,0.6299174930761209,0.609817977511145,0.577399910153327,2.514611055537069,1.6467238169498062,-0.009815279232528118,-0.0068383043222315365,-0.004458001554368596,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_entropy_complexity,0,stimulus_plus_physio,2016,1.5867634195296048,1.9540202613491242,0.6299174930761209,0.609817977511145,0.577399910153327,2.514611055537069,1.6467238169498062,-0.009815279232528118,-0.0068383043222315365,-0.004458001554368596,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_entropy_complexity,1,stimulus_only,195300,1.5804366318154042,1.9446951652930313,0.6342377121590493,0.5982735271434108,0.5793015742167898,2.514860682673958,1.6324538107616542,-0.05698054272074149,-0.05159339642898475,-0.026520205950530507,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_entropy_complexity,1,stimulus_plus_fewshot_bias,195300,1.8632654476983301,2.3804718369910254,0.5531088838666463,0.5548397923625517,0.5530688342243543,2.514860682673958,2.5206356874663363,-0.49275721441873555,-0.3344222123119107,-0.1076490342429336,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_entropy_complexity,1,stimulus_plus_fewshot_bias_plus_physio,195300,1.8735591298618555,2.391921356145772,0.551059045218299,0.5525668856784801,0.5510204482255135,2.514860682673958,2.5333365222248285,-0.5042067335734821,-0.34471589447543605,-0.10969887289128089,stimulus_plus_fewshot_bias_shrink4
