target,block,k_calibration,model,subject_id,n,mae,rmse,pearson,ccc,y_true_std,y_pred_std,locked_subject_rmse,delta_rmse_model_minus_locked
valence,emg_existing_22,4,locked_kernel_residual_shrink4,1,1400,1.0056764428956169,1.2211120335324812,0.8808755783455072,0.8643741017050757,2.4720061257436816,2.1821069503866557,1.2211120335324812,0.0
valence,emg_existing_22,4,physio_residual_ridge100,1,1400,1.0054802609341484,1.2186581512121253,0.8930753237136991,0.8663541679897689,2.4720061257436816,2.180400221597652,1.2211120335324812,-0.002453882320355927
valence,emg_existing_22,4,physio_context_ridge100,1,1400,1.0140393361023494,1.2260549601912296,0.8929087110433778,0.8591021768793329,2.4720061257436816,2.076222128171059,1.2211120335324812,0.004942926658748403
valence,emg_existing_22,4,physio_residual_ridge1000,1,1400,1.0031109413078854,1.2169551949865685,0.892627765716653,0.8669349713301335,2.4720061257436816,2.186360831567313,1.2211120335324812,-0.0041568385459127555
valence,emg_existing_22,4,physio_context_ridge1000,1,1400,1.1849970984458924,1.4346445947058577,0.8915225910348322,0.75688851328452,2.4720061257436816,1.4537950875288217,1.2211120335324812,0.2135325611733765
valence,emg_existing_22,4,physio_similarity_knn64,1,1400,0.9884697932004929,1.2140860315430622,0.8920654744845794,0.8674522385417935,2.4720061257436816,2.1872369294091727,1.2211120335324812,-0.007026001989419051
valence,emg_existing_22,8,locked_kernel_residual_shrink4,1,1200,0.9966740496953328,1.201272219334085,0.8789854365208251,0.867694178934176,2.47287942263445,2.176987739187781,1.201272219334085,0.0
valence,emg_existing_22,8,physio_residual_ridge100,1,1200,1.00128097007672,1.2084736404894216,0.8934945569196457,0.8686921562621437,2.47287942263445,2.186375472978064,1.201272219334085,0.007201421155336618
valence,emg_existing_22,8,physio_context_ridge100,1,1200,1.0087765858570734,1.2154740496662364,0.8933162622315344,0.8616091249372323,2.47287942263445,2.081881663215152,1.201272219334085,0.014201830332151388
valence,emg_existing_22,8,physio_residual_ridge1000,1,1200,0.9992139808336894,1.207003351985293,0.8930517286608166,0.8692225326831563,2.47287942263445,2.1923276134099687,1.201272219334085,0.005731132651207949
valence,emg_existing_22,8,physio_context_ridge1000,1,1200,1.177900695403417,1.424191837159572,0.8918886901203976,0.7601974109887365,2.47287942263445,1.457692468646755,1.201272219334085,0.22291961782548708
valence,emg_existing_22,8,physio_similarity_knn64,1,1200,0.9871999684969585,1.2074805705262157,0.8919007847771726,0.868984124597073,2.47287942263445,2.192293718797453,1.201272219334085,0.006208351192130701
valence,emg_existing_22,16,locked_kernel_residual_shrink4,1,800,0.9829204085469246,1.1664121368289548,0.885856877085482,0.8772617150134387,2.488528367831076,2.2055506376204934,1.1664121368289548,0.0
valence,emg_existing_22,16,physio_residual_ridge100,1,800,0.9629052156209945,1.151347763627835,0.9071225318746516,0.8834874921861883,2.488528367831076,2.2263956913513496,1.1664121368289548,-0.015064373201119752
valence,emg_existing_22,16,physio_context_ridge100,1,800,0.9741097810864449,1.1601053415397404,0.9069678613936369,0.8767006223900148,2.488528367831076,2.119926451816639,1.1664121368289548,-0.006306795289214406
valence,emg_existing_22,16,physio_residual_ridge1000,1,800,0.9600006794929504,1.149052059026065,0.9067415209614217,0.8842108383257025,2.488528367831076,2.23414440443313,1.1664121368289548,-0.01736007780288973
valence,emg_existing_22,16,physio_context_ridge1000,1,800,1.1598260188102723,1.3894791279482215,0.9057223422405118,0.7762121218889021,2.488528367831076,1.4855259564698438,1.1664121368289548,0.22306699111926664
valence,emg_existing_22,16,physio_similarity_knn64,1,800,0.9470507003366947,1.1505632502877503,0.9057023534429475,0.8839126133144665,2.488528367831076,2.2360793216175736,1.1664121368289548,-0.015848886541204532
valence,emg_existing_22,4,locked_kernel_residual_shrink4,2,1400,1.1905940319810595,1.5760447001043456,0.8403580636550239,0.8151636020353459,2.8424421807699805,2.293022616431451,1.5760447001043456,0.0
valence,emg_existing_22,4,physio_residual_ridge100,2,1400,1.226199784874916,1.5816318763099984,0.8452830104034103,0.8072435306431717,2.8424421807699805,2.180131318014342,1.5760447001043456,0.005587176205652744
valence,emg_existing_22,4,physio_context_ridge100,2,1400,1.2615354122434344,1.6003719602406319,0.8451569180239805,0.7957310312212057,2.8424421807699805,2.0765709763004647,1.5760447001043456,0.024327260136286277
valence,emg_existing_22,4,physio_residual_ridge1000,2,1400,1.2254800334147045,1.5744720481045884,0.8473906369963651,0.8092101285169316,2.8424421807699805,2.1825821967725654,1.5760447001043456,-0.001572651999757202
valence,emg_existing_22,4,physio_context_ridge1000,2,1400,1.5597502790178572,1.8312138199531693,0.8468443376145077,0.6757949818618523,2.8424421807699805,1.4519381662335409,1.5760447001043456,0.25516911984882373
valence,emg_existing_22,4,physio_similarity_knn64,2,1400,1.2787997834171567,1.6318432799048042,0.8360172282811832,0.7937715712076949,2.8424421807699805,2.1565872839620144,1.5760447001043456,0.05579857980045855
valence,emg_existing_22,8,locked_kernel_residual_shrink4,2,1200,1.1710186125834783,1.537325069241115,0.848928955244159,0.8236952517453808,2.843679028418409,2.2869256977157635,1.537325069241115,0.0
valence,emg_existing_22,8,physio_residual_ridge100,2,1200,1.2104340327779453,1.5389506226101175,0.8571842288662673,0.8175940567860827,2.843679028418409,2.1775261032725095,1.537325069241115,0.001625553369002608
valence,emg_existing_22,8,physio_context_ridge100,2,1200,1.246415327191353,1.5606235856418802,0.8570655562247905,0.8058636469015629,2.843679028418409,2.074084362763494,1.537325069241115,0.0232985164007653
valence,emg_existing_22,8,physio_residual_ridge1000,2,1200,1.2092397653063138,1.5318072191311465,0.8591956870303967,0.8195053018932825,2.843679028418409,2.1801826693551196,1.537325069241115,-0.005517850109968414
valence,emg_existing_22,8,physio_context_ridge1000,2,1200,1.5472819314400355,1.808962002448429,0.8586942190660151,0.6839986258023172,2.843679028418409,1.4503607459202916,1.537325069241115,0.2716369332073141
valence,emg_existing_22,8,physio_similarity_knn64,2,1200,1.2608959648013114,1.5852474145426918,0.849593796087388,0.8054507402340566,2.843679028418409,2.15318629116418,1.537325069241115,0.04792234530157691
valence,emg_existing_22,16,locked_kernel_residual_shrink4,2,800,1.1300245393812656,1.5476803981307883,0.8405485620545528,0.8229182534064519,2.8304935523685617,2.3393246007011017,1.5476803981307883,0.0
valence,emg_existing_22,16,physio_residual_ridge100,2,800,1.2023863753676414,1.554225390184131,0.8507614736902166,0.8121959781110116,2.8304935523685617,2.1691219261761923,1.5476803981307883,0.006544992053342691
valence,emg_existing_22,16,physio_context_ridge100,2,800,1.2379702123999596,1.573907077667672,0.8506187839370223,0.8006440612085235,2.8304935523685617,2.066052490396736,1.5476803981307883,0.026226679536883735
valence,emg_existing_22,16,physio_residual_ridge1000,2,800,1.202234686911106,1.5476356668112587,0.852781864354139,0.8139900297575757,2.8304935523685617,2.1711518574765787,1.5476803981307883,-4.473131952953402e-05
valence,emg_existing_22,16,physio_context_ridge1000,2,800,1.5447179654240608,1.810491681499523,0.8521451966162508,0.6800386284832989,2.8304935523685617,1.4441866785273854,1.5476803981307883,0.2628112833687348
valence,emg_existing_22,16,physio_similarity_knn64,2,800,1.249518768787384,1.5963177306390066,0.8433562603476544,0.8009698564641659,2.8304935523685617,2.14799245865546,1.5476803981307883,0.048637332508218334
valence,emg_existing_22,4,locked_kernel_residual_shrink4,3,1400,1.068805141023227,1.2230597330832194,0.8907083372715798,0.8769613163720829,2.6703970506580603,2.2412625993672055,1.2230597330832194,0.0
valence,emg_existing_22,4,physio_residual_ridge100,3,1400,1.0520885800463813,1.1858455528561431,0.8999302348208288,0.8828896115211208,2.6703970506580603,2.2057310931368517,1.2230597330832194,-0.03721418022707623
valence,emg_existing_22,4,physio_context_ridge100,3,1400,1.0626734340190886,1.2089878953159645,0.8998377407646938,0.8735196459259957,2.6703970506580603,2.100503791804822,1.2230597330832194,-0.014071837767254847
valence,emg_existing_22,4,physio_residual_ridge1000,3,1400,1.0566211527585982,1.1919052617940686,0.8992148780737185,0.8814202332311256,2.6703970506580603,2.198804304851625,1.2230597330832194,-0.03115447128915072
valence,emg_existing_22,4,physio_context_ridge1000,3,1400,1.2852047772066935,1.5086778234947498,0.8988172484306772,0.7548725600941572,2.6703970506580603,1.4601500550942772,1.2230597330832194,0.2856180904115304
valence,emg_existing_22,4,physio_similarity_knn64,3,1400,1.072383547595569,1.203226886549345,0.8969360353983243,0.8779512559538141,2.6703970506580603,2.1740265197861754,1.2230597330832194,-0.019832846533874404
valence,emg_existing_22,8,locked_kernel_residual_shrink4,3,1200,1.056625630557537,1.2144476385883636,0.8906885896804314,0.8788749121650443,2.6412197308566863,2.2745219626421362,1.2144476385883636,0.0
valence,emg_existing_22,8,physio_residual_ridge100,3,1200,1.0449028453230857,1.182224516000455,0.8990292310401075,0.8814267321529111,2.6412197308566863,2.187716336097764,1.2144476385883636,-0.032223122587908604
valence,emg_existing_22,8,physio_context_ridge100,3,1200,1.0537154159943263,1.2048115110981323,0.8989434327675527,0.8720459203178054,2.6412197308566863,2.083322676386098,1.2144476385883636,-0.009636127490231239
valence,emg_existing_22,8,physio_residual_ridge1000,3,1200,1.0499722757935523,1.1889946023525055,0.8982683202090177,0.8798079958343379,2.6412197308566863,2.180878553628674,1.2144476385883636,-0.02545303623585804
valence,emg_existing_22,8,physio_context_ridge1000,3,1200,1.2783255698283513,1.4996951621668517,0.8978924907169189,0.7533355968898193,2.6412197308566863,1.4482019322892867,1.2144476385883636,0.28524752357848815
valence,emg_existing_22,8,physio_similarity_knn64,3,1200,1.0633649219075838,1.197540211749323,0.8960355432303395,0.8768869811139858,2.6412197308566863,2.158042961535804,1.2144476385883636,-0.016907426839040562
valence,emg_existing_22,16,locked_kernel_residual_shrink4,3,800,1.0926417905092238,1.2464621895464454,0.8828247814716558,0.8753402502787765,2.642478713253903,2.33826030809506,1.2464621895464454,0.0
valence,emg_existing_22,16,physio_residual_ridge100,3,800,1.0698912693560123,1.2052174641060391,0.8935042491070941,0.877144534685057,2.642478713253903,2.1961874100593883,1.2464621895464454,-0.04124472544040625
valence,emg_existing_22,16,physio_context_ridge100,3,800,1.075405164062977,1.2250288326654357,0.8934017606023055,0.8680792749377139,2.642478713253903,2.091465389123098,1.2464621895464454,-0.02143335688100967
valence,emg_existing_22,16,physio_residual_ridge1000,3,800,1.074826452732086,1.2113065166516546,0.8927569472407975,0.8756370922094174,2.642478713253903,2.189609445631488,1.2464621895464454,-0.035155672894790824
valence,emg_existing_22,16,physio_context_ridge1000,3,800,1.2783556434512138,1.504798410237328,0.8923134199990501,0.7517669542733091,2.642478713253903,1.4541907073359903,1.2464621895464454,0.2583362206908826
valence,emg_existing_22,16,physio_similarity_knn64,3,800,1.0872382663190365,1.2199512534182788,0.8905978708416628,0.8726294363916433,2.642478713253903,2.166319943138177,1.2464621895464454,-0.026510936128166573
valence,emg_existing_22,4,locked_kernel_residual_shrink4,5,1400,1.2453853641237531,1.5297768952488493,0.8505630220875623,0.8290773032223463,2.875821000787675,2.320348083798901,1.5297768952488493,0.0
valence,emg_existing_22,4,physio_residual_ridge100,5,1400,1.226680103455271,1.5007250893966382,0.8617201001411819,0.828507107438946,2.875821000787675,2.195302285137809,1.5297768952488493,-0.02905180585221112
valence,emg_existing_22,4,physio_context_ridge100,5,1400,1.243114093882697,1.524009868178073,0.8617783585458333,0.816943614730739,2.875821000787675,2.0911988358691356,1.5297768952488493,-0.005767027070776365
valence,emg_existing_22,4,physio_residual_ridge1000,5,1400,1.22773262824331,1.5013070024057087,0.8619794569353312,0.8283510223924132,2.875821000787675,2.1939334512738076,1.5297768952488493,-0.02846989284314061
valence,emg_existing_22,4,physio_context_ridge1000,5,1400,1.5022879942825862,1.7921148842745145,0.8621513175268951,0.6926302534065362,2.875821000787675,1.4594750971982164,1.5297768952488493,0.2623379890256652
valence,emg_existing_22,4,physio_similarity_knn64,5,1400,1.218867039339883,1.4943074193068404,0.8641640174781895,0.8295199751378577,2.875821000787675,2.185975189396305,1.5297768952488493,-0.03546947594200889
valence,emg_existing_22,8,locked_kernel_residual_shrink4,5,1200,1.2838117911418279,1.5692035425462374,0.840114321632054,0.8223816139480048,2.8879970712127343,2.349518668259671,1.5692035425462374,0.0
valence,emg_existing_22,8,physio_residual_ridge100,5,1200,1.2375378610690435,1.5122954266823427,0.8594642338031399,0.826656137537725,2.8879970712127343,2.1970257662403143,1.5692035425462374,-0.05690811586389466
valence,emg_existing_22,8,physio_context_ridge100,5,1200,1.2548622129360836,1.535189590749143,0.8595310584488893,0.8151064657448793,2.8879970712127343,2.092802906481373,1.5692035425462374,-0.03401395179709432
valence,emg_existing_22,8,physio_residual_ridge1000,5,1200,1.2385335257649421,1.5129098250501074,0.8596472199408548,0.8264792041795401,2.8879970712127343,2.1956316317152793,1.5692035425462374,-0.05629371749612999
valence,emg_existing_22,8,physio_context_ridge1000,5,1200,1.5136905523141224,1.8013511441736079,0.8598627508005815,0.6909072142887981,2.8879970712127343,1.4603997113348821,1.5692035425462374,0.23214760162737047
valence,emg_existing_22,8,physio_similarity_knn64,5,1200,1.2298793823520342,1.5059911236464787,0.8617969566968097,0.8275193329102568,2.8879970712127343,2.1860034829930886,1.5692035425462374,-0.0632124188997587
valence,emg_existing_22,16,locked_kernel_residual_shrink4,5,800,1.2458647325634957,1.5138894622808081,0.8536023655467903,0.8366867228191542,2.8982656451747135,2.373044711305566,1.5138894622808081,0.0
valence,emg_existing_22,16,physio_residual_ridge100,5,800,1.2081749238073827,1.4711228668771987,0.8706487891282406,0.8366457022197573,2.8982656451747135,2.19633067274677,1.5138894622808081,-0.042766595403609386
valence,emg_existing_22,16,physio_context_ridge100,5,800,1.2299275279045105,1.497579537202419,0.8707079847129195,0.824808726303427,2.8982656451747135,2.092087573104139,1.5138894622808081,-0.01630992507838913
valence,emg_existing_22,16,physio_residual_ridge1000,5,800,1.2095728258788585,1.471993401886375,0.870737188807373,0.8364510353532242,2.8982656451747135,2.1955795274169674,1.5138894622808081,-0.041896060394433166
valence,emg_existing_22,16,physio_context_ridge1000,5,800,1.508557086288929,1.7840465540857475,0.8709184836123675,0.6984685188888102,2.8982656451747135,1.4604303482988488,1.5138894622808081,0.2701570918049394
valence,emg_existing_22,16,physio_similarity_knn64,5,800,1.204805034995079,1.467734780441744,0.8723207675830809,0.8369195963028843,2.8982656451747135,2.18641568308317,1.5138894622808081,-0.04615468183906413
valence,emg_existing_22,4,locked_kernel_residual_shrink4,6,1400,0.9055886608362198,1.069221315878529,0.9513384813387857,0.9231579515367868,3.0348775317388115,2.378515944982421,1.069221315878529,0.0
valence,emg_existing_22,4,physio_residual_ridge100,6,1400,1.055015258703913,1.1642869381750882,0.9559797665082727,0.9026858227850729,3.0348775317388115,2.167008877968964,1.069221315878529,0.09506562229655913
valence,emg_existing_22,4,physio_context_ridge100,6,1400,1.1307588631766183,1.2315850648114106,0.9558743464177064,0.8875372221869254,3.0348775317388115,2.0631681488477103,1.069221315878529,0.16236374893288152
valence,emg_existing_22,4,physio_residual_ridge1000,6,1400,1.050829997232982,1.159546535024913,0.9561083888537595,0.9035075334805026,3.0348775317388115,2.169384037990908,1.069221315878529,0.09032521914638392
valence,emg_existing_22,4,physio_context_ridge1000,6,1400,1.5880901869705746,1.7147963122326584,0.9556178095567147,0.7395551021591192,3.0348775317388115,1.439542079463898,1.069221315878529,0.6455749963541293
