target,stimulus_id,n,score_mean,score_std,score_min,score_max,high_rate,high_low_entropy,mean_deviation,std_deviation,mean_abs_deviation,rmse_deviation
valence,1441,63,7.523809523809524,1.1664236870396087,4.0,9.0,0.9523809523809523,0.19144408195771742,-1.9737298215558337e-16,1.1852369723144411,0.9892473118279569,1.1852369723144411
valence,1750,63,7.158730158730159,1.2370773186284898,5.0,9.0,0.9365079365079365,0.23646985917062777,-7.004978607753964e-17,1.2570301786063687,1.0706605222734253,1.2570301786063687
valence,2314,63,7.174603174603175,1.3278420557691666,4.0,9.0,0.873015873015873,0.38061317843558684,-1.1278456123176193e-16,1.3492588631202826,1.0793650793650793,1.3492588631202822
valence,2491,63,4.73015873015873,1.072104431159891,1.0,7.0,0.19047619047619047,0.48691270946460224,5.639228061588096e-17,1.0893964381140826,0.8259088581669227,1.0893964381140826
valence,3053,63,1.6825396825396826,1.005151758665877,1.0,5.0,0.0,0.0,-6.696583323135864e-17,1.0213638838056491,0.8146441372247823,1.0213638838056491
valence,3063,63,1.7619047619047619,1.0647942749998995,1.0,5.0,0.0,0.0,3.876969292341816e-17,1.0819683762095758,0.8847926267281107,1.0819683762095758
valence,3080,63,2.0317460317460316,1.2340185222588451,1.0,5.0,0.0,0.0,2.819614030794048e-17,1.2539220468114074,1.012800819252432,1.2539220468114074
valence,3170,63,1.8095238095238095,1.0056529562829941,1.0,5.0,0.0,0.0,8.106390338532889e-17,1.0218731652553004,0.8617511520737324,1.0218731652553004
valence,4220,63,6.412698412698413,1.255273582207463,3.0,9.0,0.746031746031746,0.5666528718485286,1.2688263138573217e-16,1.2755199303075835,1.0655401945724525,1.2755199303075835
valence,5760,63,7.174603174603175,1.279132674152748,5.0,9.0,0.8571428571428571,0.4101163182884091,-1.4009957215507927e-16,1.299763846316502,1.0527393753200203,1.299763846316502
valence,8080,63,5.841269841269841,1.347618112812135,3.0,9.0,0.5396825396825397,0.6899944580334814,1.4009957215507927e-16,1.3693538888252337,1.0773169482846898,1.3693538888252337
valence,8370,63,6.555555555555555,1.4668590542410058,2.0,9.0,0.8095238095238095,0.48691270946460224,-1.709391006168892e-16,1.4905180712448929,1.1827956989247312,1.4905180712448929
valence,8492,63,6.666666666666667,1.3685817012571346,3.0,9.0,0.8095238095238095,0.48691270946460224,-5.639228061588096e-17,1.3906555996645078,1.129032258064516,1.3906555996645078
valence,9220,63,2.5396825396825395,1.2576798596533527,1.0,5.0,0.0,0.0,4.229421046191072e-17,1.2779650186800198,1.1203277009728625,1.2779650186800198
valence,9331,63,3.8412698412698414,1.2624786555649634,1.0,7.0,0.09523809523809523,0.31449220128141064,-1.559599010782958e-16,1.2828412145256887,0.9841269841269843,1.2828412145256889
valence,9360,63,4.158730158730159,1.3593456549845486,1.0,8.0,0.07936507936507936,0.27721592998101163,-1.264420666934206e-16,1.3812705849036542,1.072196620583717,1.3812705849036542
valence,Angry_face_1,63,4.396825396825397,0.935027077779247,2.0,7.0,0.047619047619047616,0.19144408195771734,1.691768418476429e-16,0.9501081596789123,0.7711213517665134,0.9501081596789124
valence,Beach_1,63,7.634920634920635,1.2761746820470972,4.0,9.0,0.9365079365079365,0.23646985917062777,-1.5507877169367265e-16,1.29675814466076,1.1013824884792627,1.29675814466076
valence,Depressed_pose_4,63,3.7936507936507935,1.3112302494008499,1.0,7.0,0.015873015873015872,0.08151041095033142,-1.9032394707859825e-16,1.332379124391186,1.0860215053763436,1.3323791243911858
valence,Dog_18,63,7.73015873015873,1.3118065721520247,3.0,9.0,0.9523809523809523,0.19144408195771742,-5.639228061588096e-17,1.3329647426706053,1.0578597030209933,1.3329647426706053
valence,Dog_26,63,1.6666666666666667,0.8164965809277259,1.0,4.0,0.0,0.0,-8.106390338532889e-17,0.8296658806201086,0.7096774193548387,0.8296658806201087
valence,Dog_6,63,7.777777777777778,1.1743886547996134,5.0,9.0,0.9841269841269841,0.0815104109503317,7.04903507698512e-17,1.1933304072963817,1.0465949820788532,1.1933304072963817
valence,Dummy_1,63,2.2698412698412698,1.1437386371207505,1.0,5.0,0.0,0.0,-1.9384846461709083e-16,1.1621860344936659,0.9846390168970816,1.1621860344936659
valence,Flowers_6,63,6.73015873015873,1.3593456549845488,5.0,9.0,0.7777777777777778,0.5297061990576545,0.0,1.3812705849036542,1.2053251408090122,1.3812705849036542
valence,Garbage_dump_6,63,2.9206349206349205,1.3249928098228068,1.0,5.0,0.0,0.0,-6.344131569286608e-17,1.3463636615941423,1.1863799283154122,1.3463636615941423
valence,Lake_12,63,7.428571428571429,1.2936264483053452,3.0,9.0,0.9682539682539683,0.14076012201547114,1.1278456123176193e-16,1.3144913910199476,1.1152073732718892,1.3144913910199476
valence,Lake_3,63,6.190476190476191,1.6021527467867354,2.0,9.0,0.6507936507936508,0.6469539532366189,-8.414785623150988e-17,1.627993920122005,1.3179723502304148,1.627993920122005
valence,Miserable_pose_3,63,1.5555555555555556,0.7720880321914481,1.0,4.0,0.0,0.0,4.9343245538895844e-17,0.7845410649687297,0.6630824372759855,0.7845410649687297
valence,Pinecone_1,63,5.634920634920635,1.1169912435402656,3.0,9.0,0.4126984126984127,0.6778256350201861,-1.691768418476429e-16,1.135007231339302,0.8868407578085001,1.135007231339302
valence,Snow_1,63,6.396825396825397,1.2413469711756921,4.0,9.0,0.6984126984126984,0.6122032264460429,1.2688263138573217e-16,1.2613686965172355,1.105990783410138,1.2613686965172355
