method,n_eval,n_high,zero_rmse_high,model_rmse_high,lift_vs_zero_high,fixed_rmse_same_eval_high,lift_vs_fixed_same_eval_high,locked_bridge_rmse_05ak,lift_vs_locked_bridge_rmse,pearson_high,sign_acc_high
neural_noaug_anchor,2016,496,3.261037826538086,3.275527238845825,-0.014489412307739258,3.194120407104492,-0.08140683174133301,2.622267149339945,-0.65326008950588,0.03632879359250567,0.46774193548387094
neural_gaussian_0p10_anchor,2016,496,3.261037826538086,3.3108763694763184,-0.04983854293823242,3.194120407104492,-0.11675596237182617,2.622267149339945,-0.6886092201363732,-0.027195322390561837,0.4939516129032258
