target,block,k_calibration,model,label_policy,binary_n,accuracy,balanced_accuracy,macro_f1,auroc,n_low,n_high,true_high_rate,pred_high_rate,lift_vs_fewshot_accuracy,lift_vs_fewshot_balanced_accuracy,lift_vs_fewshot_macro_f1,lift_vs_fewshot_auroc,fewshot_reference_model
arousal,eeg_bandpower,0,stimulus_only,midpoint_as_low,2016,0.8010912698412699,0.7686230248306998,0.7739110736354597,0.816073636699185,1329,687,0.34077380952380953,0.3125,0.0,0.0,0.0,0.0,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,0,stimulus_only,midpoint_as_high,2016,0.7599206349206349,0.743163875978863,0.7453650012578512,0.8100016115426243,1112,904,0.44841269841269843,0.3125,0.0,0.0,0.0,0.0,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,0,stimulus_only,discard_midpoint,1799,0.8143413007226237,0.7861211031175059,0.7952756388415673,0.8449886379106322,1112,687,0.3818788215675375,0.3129516397998888,0.0,0.0,0.0,0.0,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,0,stimulus_plus_fewshot_bias,midpoint_as_low,2016,0.8010912698412699,0.7686230248306998,0.7739110736354597,0.816073636699185,1329,687,0.34077380952380953,0.3125,0.0,0.0,0.0,0.0,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,0,stimulus_plus_fewshot_bias,midpoint_as_high,2016,0.7599206349206349,0.743163875978863,0.7453650012578512,0.8100016115426243,1112,904,0.44841269841269843,0.3125,0.0,0.0,0.0,0.0,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,0,stimulus_plus_fewshot_bias,discard_midpoint,1799,0.8143413007226237,0.7861211031175059,0.7952756388415673,0.8449886379106322,1112,687,0.3818788215675375,0.3129516397998888,0.0,0.0,0.0,0.0,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,0,stimulus_plus_fewshot_bias_plus_physio,midpoint_as_low,2016,0.8025793650793651,0.7722127482002097,0.7765559278534255,0.8222082028601689,1329,687,0.34077380952380953,0.3179563492063492,0.0014880952380952328,0.0035897233695099118,0.0026448542179657863,0.006134566160983956,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,0,stimulus_plus_fewshot_bias_plus_physio,midpoint_as_high,2016,0.7624007936507936,0.7462397338766156,0.7486830547975687,0.8142866237983065,1112,904,0.44841269841269843,0.3179563492063492,0.0024801587301587213,0.003075857897752554,0.0033180535397174804,0.00428501225568223,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,0,stimulus_plus_fewshot_bias_plus_physio,discard_midpoint,1799,0.8165647581989994,0.7898667965191166,0.7984744796122042,0.8485307823610108,1112,687,0.3818788215675375,0.3185102834908282,0.0022234574763757564,0.0037456934016106835,0.0031988407706369237,0.0035421444503785926,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,0,stimulus_plus_fewshot_bias_shrink4,midpoint_as_low,2016,0.8010912698412699,0.7686230248306998,0.7739110736354597,0.816073636699185,1329,687,0.34077380952380953,0.3125,0.0,0.0,0.0,0.0,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,0,stimulus_plus_fewshot_bias_shrink4,midpoint_as_high,2016,0.7599206349206349,0.743163875978863,0.7453650012578512,0.8100016115426243,1112,904,0.44841269841269843,0.3125,0.0,0.0,0.0,0.0,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,0,stimulus_plus_fewshot_bias_shrink4,discard_midpoint,1799,0.8143413007226237,0.7861211031175059,0.7952756388415673,0.8449886379106322,1112,687,0.3818788215675375,0.3129516397998888,0.0,0.0,0.0,0.0,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,0,stimulus_plus_fewshot_bias_shrink4_plus_physio,midpoint_as_low,2016,0.8025793650793651,0.7722127482002097,0.7765559278534255,0.8222082028601689,1329,687,0.34077380952380953,0.3179563492063492,0.0014880952380952328,0.0035897233695099118,0.0026448542179657863,0.006134566160983956,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,0,stimulus_plus_fewshot_bias_shrink4_plus_physio,midpoint_as_high,2016,0.7624007936507936,0.7462397338766156,0.7486830547975687,0.8142866237983065,1112,904,0.44841269841269843,0.3179563492063492,0.0024801587301587213,0.003075857897752554,0.0033180535397174804,0.00428501225568223,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,0,stimulus_plus_fewshot_bias_shrink4_plus_physio,discard_midpoint,1799,0.8165647581989994,0.7898667965191166,0.7984744796122042,0.8485307823610108,1112,687,0.3818788215675375,0.3185102834908282,0.0022234574763757564,0.0037456934016106835,0.0031988407706369237,0.0035421444503785926,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,0,stimulus_plus_physio,midpoint_as_low,2016,0.8025793650793651,0.7722127482002097,0.7765559278534255,0.8222082028601689,1329,687,0.34077380952380953,0.3179563492063492,0.0014880952380952328,0.0035897233695099118,0.0026448542179657863,0.006134566160983956,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,0,stimulus_plus_physio,midpoint_as_high,2016,0.7624007936507936,0.7462397338766156,0.7486830547975687,0.8142866237983065,1112,904,0.44841269841269843,0.3179563492063492,0.0024801587301587213,0.003075857897752554,0.0033180535397174804,0.00428501225568223,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,0,stimulus_plus_physio,discard_midpoint,1799,0.8165647581989994,0.7898667965191166,0.7984744796122042,0.8485307823610108,1112,687,0.3818788215675375,0.3185102834908282,0.0022234574763757564,0.0037456934016106835,0.0031988407706369237,0.0035421444503785926,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,1,stimulus_only,midpoint_as_low,195300,0.8010752688172043,0.7686099038378847,0.7738779404147716,0.8161548853924117,128768,66532,0.3406656426011265,0.3125243215565796,0.00044034818228366746,-0.004409756365910789,-0.001893148702994063,-0.02645051468024806,stimulus_plus_fewshot_bias_shrink4
arousal,eeg_bandpower,1,stimulus_only,midpoint_as_high,195300,0.7598515104966718,0.7430596056396908,0.7452776263484528,0.8099651404612865,107751,87549,0.44827956989247314,0.3125243215565796,-0.003620071684587889,-0.005113852004216213,-0.005547598185977165,-0.024648523699399072,stimulus_plus_fewshot_bias_shrink4
