subject_id_x,n_trials,centroid_distance_to_other_subjects,within_subject_dispersion,distance_over_within,subject_id_y,zero_residual_rmse,deep_model_residual_rmse,improvement_zero_minus_deep_rmse
1,32,12.34794807434082,12.808931350708008,0.9640107934264394,1,2.9690966444122724,3.0339704075984875,-0.064873763186215
10,32,6.33237886428833,8.837581634521484,0.7165284719467488,10,2.8715051876789266,3.360968878269354,-0.4894636905904272
11,32,7.421530246734619,6.94366455078125,1.0688203890695733,11,3.308238851599863,4.739223547221788,-1.430984695621925
12,32,9.113212585449219,6.157614707946777,1.4799907135612207,12,2.3738761873611622,2.330967045699557,0.0429091416616054
13,32,8.804203987121582,7.085303783416748,1.2426007770800094,13,3.454936774157093,4.327989612948968,-0.8730528387918746
14,32,5.953246116638184,7.599445819854736,0.7833789802256896,14,2.813465638713587,2.8262287868316145,-0.0127631481180277
15,32,8.028299331665039,6.892431735992432,1.1647992521624961,15,2.9857917198975805,2.992818768451043,-0.0070270485534624
16,32,6.977578163146973,7.867602348327637,0.8868747877973459,16,3.0715815432839597,3.0629202107194127,0.0086613325645465
17,32,10.513640403747559,7.648404121398926,1.374618840331958,17,2.74545385747095,2.3619138022811077,0.3835400551898429
18,32,9.293906211853027,9.682389259338379,0.9598773570159173,18,3.303311295046227,2.616430819742226,0.686880475304001
19,32,11.241572380065918,7.42000675201416,1.5150353302595572,19,3.1270961416198557,2.8439497265433475,0.2831464150765077
2,32,8.465580940246582,11.233198165893555,0.7536216147196563,2,3.665606492464102,3.885643419219194,-0.2200369267550921
20,32,8.926222801208496,9.671215057373047,0.9229680808724658,20,2.9792281872691424,3.142198291578365,-0.1629701043092231
21,32,9.438007354736328,11.799777030944824,0.7998462453981314,21,3.1880236549025955,2.716703545235379,0.4713201096672166
22,32,9.684677124023438,9.5946683883667,1.0093811200151401,22,3.0347072044481846,3.079907161451709,-0.0451999570035241
23,32,7.393318176269531,9.614884376525879,0.7689450945785518,23,2.700562592206589,0.7923494743078753,1.9082131178987136
24,32,8.333465576171875,7.690516471862793,1.0836028512079043,24,2.363089214759809,1.991454486638987,0.3716347281208221
25,32,8.842806816101074,9.054301261901855,0.9766415497250246,25,3.5765786062736096,3.5126423706520606,0.0639362356215489
26,32,16.558305740356445,14.318244934082031,1.15644800159427,26,2.9780392768445028,2.3896275498642616,0.5884117269802411
27,32,6.79884672164917,9.485048294067383,0.7167962155660976,27,2.864579963429976,2.233676551150965,0.6309034122790109
28,32,6.496901512145996,7.615960121154785,0.853064014095821,28,3.245736840806152,4.642602096015456,-1.3968652552093044
29,32,7.556067943572998,6.912117958068848,1.0931624705206942,29,2.565778461808637,2.7255918244110364,-0.1598133626023989
3,32,63.977149963378906,23.344879150390625,2.740521788578562,3,3.2018083834744973,2.294170857673651,0.9076375258008462
30,32,8.206677436828613,8.377837181091309,0.9795699366599053,30,2.4814815521240234,1.8795752757013933,0.6019062764226302
31,32,6.4546308517456055,8.421252250671387,0.766469244669759,31,3.33612575314624,2.943065926262807,0.3930598268834324
32,32,20.99549674987793,14.018712043762207,1.4976765828655512,32,2.531827505476735,1.0072297990666743,1.5245977064100606
33,32,7.270173072814941,6.285426139831543,1.1566714668306946,33,3.07943803920378,1.6389001640650944,1.4405378751386857
34,32,21.684110641479492,15.745705604553223,1.3771444218548736,34,2.2969683034293227,2.419675017421196,-0.1227067139918731
35,32,7.570318222045898,7.593435287475586,0.9969556512231275,35,3.276391216528876,2.8996034745191714,0.3767877420097045
36,32,7.24406099319458,7.799015998840332,0.9288429456064367,36,2.751505320012186,2.450474900605976,0.3010304194062101
37,32,9.418471336364746,7.588720321655273,1.2411145670355082,37,2.998387750300876,2.5043133046495107,0.4940744456513655
38,32,9.0723295211792,10.746805191040039,0.8441885155546595,38,2.730385853143907,2.515194420279182,0.2151914328647253
39,32,6.6725873947143555,8.264888763427734,0.8073414640788225,39,3.1870283753912205,3.0103411146144707,0.1766872607767498
40,32,6.903723239898682,11.905397415161133,0.579881796394887,40,3.777970004603904,4.38448782009939,-0.606517815495486
41,32,7.246947765350342,8.609085083007812,0.8417790851729424,41,3.7336902887010175,3.7483705958957207,-0.0146803071947032
42,32,8.094080924987793,8.591821670532227,0.9420680776869987,42,3.655781190786306,3.922948805513776,-0.2671676147274695
43,32,7.654807090759277,7.557867527008057,1.012826311575958,43,2.79960557925105,2.7243811425548383,0.0752244366962116
44,32,7.401721954345703,6.522858619689941,1.1347359165508846,44,3.77852867935648,3.561083903298546,0.217444776057933
45,32,10.483854293823242,7.69913387298584,1.3616926873564605,45,3.2883279288247227,2.9593746549267435,0.3289532738979792
46,32,10.32529067993164,7.416182041168213,1.3922649987034539,46,3.268266410189373,3.270297352055957,-0.0020309418665847
47,32,9.18485164642334,7.171340465545654,1.2807719408319127,47,3.457828693484092,4.277608696840866,-0.8197800033567737
48,32,5.692841529846191,9.318849563598633,0.6108953139541619,48,2.696559567122996,2.9878215607794787,-0.2912619936564828
49,32,8.537445068359375,7.6492767333984375,1.1161114136560124,49,3.3144490250310463,2.356175050170649,0.9582739748603974
5,32,9.815345764160156,6.924413681030273,1.4174984650396776,5,2.891604734522104,2.354376422306492,0.5372283122156118
50,32,6.0512495040893555,8.474615097045898,0.7140441701238697,50,2.623950620047588,2.8471760407401296,-0.2232254206925414
52,32,8.579212188720703,9.677247047424316,0.886534377667266,52,3.303830371685505,3.2795943275043444,0.0242360441811606
53,32,6.973391532897949,6.903168678283691,1.0101725537773933,53,2.222222328186035,4.423337524561054,-2.201115196375019
54,32,8.359683990478516,11.66562271118164,0.7166084655271473,54,2.602000106785338,2.698961969545324,-0.0969618627599855
55,32,7.009705543518066,8.574442863464355,0.8175114879342629,55,3.0619357262932434,4.180585613819344,-1.1186498875261002
56,32,7.4261603355407715,8.416619300842285,0.8823210448401302,56,2.434410545171987,2.9865217965194484,-0.5521112513474615
57,32,12.00499153137207,8.485990524291992,1.4146835890290694,57,3.5913672716155776,3.501539608969934,0.0898276626456433
58,32,7.765685081481934,7.841911315917969,0.9902796357462872,58,2.944211529859321,1.6864610488901657,1.257750480969156
59,32,8.798693656921387,8.465462684631348,1.039363586457596,59,3.558169449227316,3.324428432804584,0.2337410164227318
6,32,7.23998498916626,7.424666881561279,0.9751259018968694,6,4.393700218668023,4.045284222622736,0.3484159960452873
60,32,6.511412620544434,9.175949096679688,0.709617343332973,60,3.3343325628835885,3.057116617106828,0.2772159457767604
61,32,10.626513481140137,7.818037509918213,1.3592303014227038,61,3.0340270793203823,3.11180289356602,-0.077775814245637
62,32,6.793093204498291,10.99616527557373,0.6177692890437079,62,3.481118261372982,3.488513954461256,-0.0073956930882737
63,32,6.564998149871826,7.554319381713867,0.8690389985050392,63,3.272985355465211,3.567921921141234,-0.2949365656760232
64,32,8.869336128234863,10.310482025146484,0.8602251676112935,64,3.712766625059692,4.067987666388353,-0.3552210413286607
65,32,7.034854412078857,13.778021812438965,0.5105852282602503,65,2.868099470939516,2.291294528677401,0.5768049422621151
7,32,8.006046295166016,9.594322204589844,0.8344566843227331,7,2.6731073215881063,5.031482651364293,-2.3583753297761865
8,32,8.585040092468262,8.500048637390137,1.0099989375006941,8,2.8754965477669905,2.8417366676293936,0.0337598801375969
9,32,34.866981506347656,17.375410079956055,2.0066853873319253,9,3.576855624342645,3.480027918556706,0.0968277057859388
