target,model,test_subject,n,mae,rmse,pearson,spearman,ccc,y_true_std,y_pred_std,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_std,pred_dev_std
arousal,physio_eeg_bandpower_ridge,1,32,3.4285274827780006,3.9940708585545863,0.31027345170939247,0.3481158176700226,0.13951018128358234,2.4348944407304396,1.7117366395325828,3.792608621739009,4.349750448926735,0.20247706420571007,0.22821510242766824,0.375,2.204688302278597,1.9230960242556
arousal,physio_eeg_bandpower_ridge,2,32,2.2490157987256456,2.632327881376036,0.6615006926576246,0.6765492590963152,0.3651227839311377,2.3048861143232218,1.3068308839148859,2.249015798725646,2.632327881376036,0.032255383682135284,0.03800961237026398,0.5,1.7182803161585594,0.34848326670415
arousal,physio_eeg_bandpower_ridge,3,32,3.036348871244977,3.4280894904395582,0.5161040288048756,0.49671501517283406,0.1925217038699209,1.5194057226429023,1.7865375030003088,3.0831260161293597,3.491451913042044,0.020100492695564128,0.10791971314650149,0.25,1.1388041973930374,1.2706133992080935
arousal,physio_eeg_bandpower_ridge,5,32,1.3537506740051004,1.7198833133121079,0.618511270032887,0.65731913428686,0.5293147185366827,2.0832291640623697,1.2908228910565298,1.3537506740051004,1.7198833133121079,0.005325499726904507,-0.011007159281077247,0.625,1.6086302640851353,0.3118770139374524
arousal,physio_eeg_bandpower_ridge,6,32,2.971482468277348,3.2631566380214685,0.10186548115765277,0.19329013020564798,0.03583825661512369,1.39159025488827,1.3960610381809229,2.9714824682773484,3.2631566380214685,0.08937213265554413,0.1961829477125266,0.78125,1.8622012155905543,0.3891793686494688
arousal,physio_eeg_bandpower_ridge,7,32,2.1594180234432923,2.5801272192089626,0.5268437326344586,0.5470363976966529,0.2248328584730708,0.909477013178453,2.0148518903619816,2.168384896509127,2.5840981342505485,-0.24767356634987506,-0.37729702240522195,0.5,1.0441467075745512,1.1511790305719634
arousal,physio_eeg_bandpower_ridge,8,32,4.255696661990801,4.8066923428266195,0.455384383553489,0.5594191272693818,0.14927651636419295,2.4929588343973914,1.785551928314926,5.128713675452,5.791927652482608,0.19887747506502249,0.24447506183001108,0.28125,1.7959527912980977,2.495806680108244
arousal,physio_eeg_bandpower_ridge,9,32,1.5244794058994169,1.9905694159048946,0.507320727386393,0.4777601069668328,0.423505793308108,1.96229099205495,1.461985448665043,1.5244794058994169,1.9905694159048948,0.02672518822506944,0.017241383950692,0.40625,1.7026202795475363,0.47011702765524044
arousal,physio_eeg_entropy_complexity_ridge,1,32,2.058533040265475,2.3319957662690243,0.4583438224719539,0.45852961847462476,0.3668654383584362,2.4348944407304396,1.4117726928904897,2.058533040265475,2.3319957662690243,0.15496107196855355,0.26674015991143857,0.5,2.204688302278597,0.505198920180016
arousal,physio_eeg_entropy_complexity_ridge,2,32,2.5567414488705302,2.9283734682923086,0.7140137753395842,0.7594377444822876,0.3308840379627872,2.3048861143232218,1.288372053265991,2.55674144887053,2.928373468292309,0.2897508742134713,0.38872632554516345,0.25,1.7182803161585594,0.33297139038084345
arousal,physio_eeg_entropy_complexity_ridge,3,32,1.8334676856808776,2.2208452755700736,0.3495434786680191,0.3680153450254866,0.29935446907912744,1.5194057226429023,1.9838966213078804,2.0546481417077054,2.477946929469826,-0.11626328616219679,-0.06020011209532736,0.75,1.1388041973930374,1.9679261156016592
arousal,physio_eeg_entropy_complexity_ridge,5,32,1.4292508124300567,1.7287035253381864,0.6321479683116927,0.6306382838176516,0.525017507615576,2.0832291640623697,1.2541556247350412,1.4292508124300567,1.7287035253381862,0.04409541024070603,0.021097055288731386,0.625,1.6086302640851353,0.23486126304366312
arousal,physio_eeg_entropy_complexity_ridge,6,32,3.326840422722908,3.6532481765419496,0.11472630584245481,0.2144074574229973,0.033086814302221476,1.39159025488827,1.4302812309555517,3.326840422722908,3.6532481765419496,0.026041389435139454,0.024041128297793247,0.46875,1.8622012155905543,0.2936302349415519
arousal,physio_eeg_entropy_complexity_ridge,7,32,2.1770937497875753,2.4038367781296945,0.6708294074063496,0.7147837991347259,0.22491105152798466,0.909477013178453,1.3741539394129463,2.1770937497875753,2.4038367781296945,0.22220541961908358,0.19434286743170634,0.15625,1.0441467075745512,0.2797926713074603
arousal,physio_eeg_entropy_complexity_ridge,8,32,2.281412801702944,2.603732407854922,0.6982875283138543,0.7536809974186466,0.428318111097059,2.4929588343973914,1.4588992929059212,2.281412801702944,2.603732407854922,0.10050533063975138,0.017423203956377382,0.4375,1.7959527912980977,0.44706603544931406
arousal,physio_eeg_entropy_complexity_ridge,9,32,2.1723480682908756,2.544348469497421,0.4637886030506225,0.4163874177286406,0.3786896575986384,1.96229099205495,2.167776807890387,2.4977522081156236,2.920681803239292,0.15364537393175473,0.08822452851364737,0.4375,1.7026202795475363,1.9452081684010438
