target,k_calibration,model,label_policy,binary_n,accuracy,balanced_accuracy,macro_f1,auroc,n_low,n_high,true_high_rate,pred_high_rate
arousal,0,stimulus_only,midpoint_as_low,2016,0.8010912698412699,0.7686230248306998,0.7739110736354597,0.816073636699185,1329,687,0.34077380952380953,0.3125
arousal,0,stimulus_only,midpoint_as_high,2016,0.7599206349206349,0.743163875978863,0.7453650012578512,0.8100016115426243,1112,904,0.44841269841269843,0.3125
arousal,0,stimulus_only,discard_midpoint,1799,0.8143413007226237,0.7861211031175059,0.7952756388415673,0.8449886379106322,1112,687,0.3818788215675375,0.3129516397998888
arousal,1,affine_residual_ridge1,midpoint_as_low,195300,0.7326779313876088,0.7178880639679774,0.7108302285217485,0.7955143681122415,128715,66585,0.34093701996927805,0.3841935483870968
arousal,1,affine_residual_ridge1,midpoint_as_high,195300,0.716231438812084,0.7067400350486319,0.7082959562086113,0.7842850910805236,107712,87588,0.4484792626728111,0.3865847414234511
arousal,1,affine_residual_ridge1,discard_midpoint,174297,0.7515103530181242,0.7362158506720866,0.7365184855434631,0.8189094104766976,107712,66585,0.3820203445842441,0.37944428188666474
arousal,1,affine_residual_ridge4,midpoint_as_low,195300,0.7326779313876088,0.7178880639679774,0.7108302285217485,0.7955143681122415,128715,66585,0.34093701996927805,0.3841935483870968
arousal,1,affine_residual_ridge4,midpoint_as_high,195300,0.716231438812084,0.7067400350486319,0.7082959562086113,0.7842850910805236,107712,87588,0.4484792626728111,0.3865847414234511
arousal,1,affine_residual_ridge4,discard_midpoint,174297,0.7515103530181242,0.7362158506720866,0.7365184855434631,0.8189094104766976,107712,66585,0.3820203445842441,0.37944428188666474
arousal,1,bias_empirical_bayes,midpoint_as_low,195300,0.7991500256016385,0.7736890346542129,0.7752391768668365,0.8424610601897125,128715,66585,0.34093701996927805,0.33289810547875065
arousal,1,bias_empirical_bayes,midpoint_as_high,195300,0.7647363031233999,0.7501741125166952,0.7529272497388395,0.8332983531284832,107712,87588,0.4484792626728111,0.33289810547875065
arousal,1,bias_empirical_bayes,discard_midpoint,174297,0.8159176577910119,0.7925762123022494,0.7995269632665404,0.8692938550732892,107712,66585,0.3820203445842441,0.33204243331784256
arousal,1,bias_huber,midpoint_as_low,195300,0.7326779313876088,0.7178880639679774,0.7108302285217485,0.7955143681122415,128715,66585,0.34093701996927805,0.3841935483870968
arousal,1,bias_huber,midpoint_as_high,195300,0.716231438812084,0.7067400350486319,0.7082959562086113,0.7842850910805236,107712,87588,0.4484792626728111,0.3865847414234511
arousal,1,bias_huber,discard_midpoint,174297,0.7515103530181242,0.7362158506720866,0.7365184855434631,0.8189094104766976,107712,66585,0.3820203445842441,0.37944428188666474
arousal,1,bias_mean,midpoint_as_low,195300,0.7326779313876088,0.7178880639679774,0.7108302285217485,0.7955143681122415,128715,66585,0.34093701996927805,0.3841935483870968
arousal,1,bias_mean,midpoint_as_high,195300,0.716231438812084,0.7067400350486319,0.7082959562086113,0.7842850910805236,107712,87588,0.4484792626728111,0.3865847414234511
arousal,1,bias_mean,discard_midpoint,174297,0.7515103530181242,0.7362158506720866,0.7365184855434631,0.8189094104766976,107712,66585,0.3820203445842441,0.37944428188666474
arousal,1,bias_median,midpoint_as_low,195300,0.7326779313876088,0.7178880639679774,0.7108302285217485,0.7955143681122415,128715,66585,0.34093701996927805,0.3841935483870968
arousal,1,bias_median,midpoint_as_high,195300,0.716231438812084,0.7067400350486319,0.7082959562086113,0.7842850910805236,107712,87588,0.4484792626728111,0.3865847414234511
arousal,1,bias_median,discard_midpoint,174297,0.7515103530181242,0.7362158506720866,0.7365184855434631,0.8189094104766976,107712,66585,0.3820203445842441,0.37944428188666474
arousal,1,bias_shrink1,midpoint_as_low,195300,0.788110599078341,0.768775480881222,0.7663235538773621,0.839527622596275,128715,66585,0.34093701996927805,0.3537173579109063
arousal,1,bias_shrink1,midpoint_as_high,195300,0.7639221710189452,0.7516618943081599,0.7544469667520445,0.8275537335898678,107712,87588,0.4484792626728111,0.35508448540706605
arousal,1,bias_shrink1,discard_midpoint,174297,0.8092394017108728,0.7899110814993019,0.7944422790673767,0.8653650824616439,107712,66585,0.3820203445842441,0.34967899619614795
arousal,1,bias_shrink2,midpoint_as_low,195300,0.7982386072708654,0.7748244069559735,0.7752064902540267,0.8440223683755054,128715,66585,0.34093701996927805,0.33897081413210445
arousal,1,bias_shrink2,midpoint_as_high,195300,0.7667793138760881,0.7529242973422726,0.7557995133769321,0.8336726495245044,107712,87588,0.4484792626728111,0.33947772657450076
arousal,1,bias_shrink2,discard_midpoint,174297,0.8163766444631864,0.794392636954534,0.8006815865308734,0.8705092702603693,107712,66585,0.3820203445842441,0.3373666787150668
arousal,1,bias_shrink4,midpoint_as_low,195300,0.8003584229390681,0.7728188374424909,0.7755564375425099,0.8414388082807336,128715,66585,0.34093701996927805,0.3266410650281618
arousal,1,bias_shrink4,midpoint_as_high,195300,0.7632974910394266,0.7480751386871056,0.7506975104839124,0.8333792479724694,107712,87588,0.4484792626728111,0.32670762928827446
arousal,1,bias_shrink4,discard_midpoint,174297,0.8157914364561639,0.7910605632273866,0.7986893736849042,0.8686085565390241,107712,66585,0.3820203445842441,0.32651164391813975
arousal,1,bias_shrink8,midpoint_as_low,195300,0.8003277009728622,0.770138663424051,0.7742462904723948,0.8357807746373703,128715,66585,0.34093701996927805,0.3191653865847414
arousal,1,bias_shrink8,midpoint_as_high,195300,0.7607117255504352,0.744687852052353,0.747069495553276,0.8289244505223993,107712,87588,0.4484792626728111,0.3192780337941628
arousal,1,bias_shrink8,discard_midpoint,174297,0.814339891105412,0.7877844845229525,0.7961886765420791,0.8632558613830686,107712,66585,0.3820203445842441,0.31955225850129376
arousal,1,bias_trimmed_mean,midpoint_as_low,195300,0.7326779313876088,0.7178880639679774,0.7108302285217485,0.7955143681122415,128715,66585,0.34093701996927805,0.3841935483870968
arousal,1,bias_trimmed_mean,midpoint_as_high,195300,0.716231438812084,0.7067400350486319,0.7082959562086113,0.7842850910805236,107712,87588,0.4484792626728111,0.3865847414234511
arousal,1,bias_trimmed_mean,discard_midpoint,174297,0.7515103530181242,0.7362158506720866,0.7365184855434631,0.8189094104766976,107712,66585,0.3820203445842441,0.37944428188666474
arousal,1,kernel_residual_shrink4,midpoint_as_low,195300,0.8003379416282642,0.7728032992379306,0.7755368478814471,0.8404885169159163,128715,66585,0.34093701996927805,0.3266615463389657
arousal,1,kernel_residual_shrink4,midpoint_as_high,195300,0.7632821300563236,0.7480548134447642,0.7506758902431687,0.8328138227084396,107712,87588,0.4484792626728111,0.3266615463389657
arousal,1,kernel_residual_shrink4,discard_midpoint,174297,0.8157684871225552,0.7910419951941128,0.7986672370901511,0.8677276275932447,107712,66585,0.3820203445842441,0.32653459325174844
arousal,1,stimulus_only,midpoint_as_low,195300,0.8010394265232975,0.7686886844845489,0.7739402393601902,0.8161514420833859,128715,66585,0.34093701996927805,0.312831541218638
arousal,1,stimulus_only,midpoint_as_high,195300,0.7599283154121864,0.7432246502005377,0.7454245047779446,0.8100185922683011,107712,87588,0.4484792626728111,0.312831541218638
arousal,1,stimulus_only,discard_midpoint,174297,0.8142825177713903,0.7861639768827107,0.7952796423606225,0.8450383790386092,107712,66585,0.3820203445842441,0.3133100397597205
arousal,2,affine_residual_ridge1,midpoint_as_low,189000,0.7480740740740741,0.7291403776563306,0.7246344273698346,0.8019691517824499,124612,64388,0.3406772486772487,0.36756613756613754
arousal,2,affine_residual_ridge1,midpoint_as_high,189000,0.7268253968253968,0.7154169869179021,0.7172310374888934,0.794489834461712,104300,84700,0.44814814814814813,0.3676507936507937
arousal,2,affine_residual_ridge1,discard_midpoint,168688,0.7660295930949446,0.7476026231432154,0.7497894752093782,0.8254956948886875,104300,64388,0.381698757469411,0.3635350469505833
arousal,2,affine_residual_ridge4,midpoint_as_low,189000,0.7654232804232804,0.7485909429297065,0.7436626695368305,0.828582495764187,124612,64388,0.3406772486772487,0.36796296296296294
arousal,2,affine_residual_ridge4,midpoint_as_high,189000,0.7448835978835979,0.7337142144006086,0.7359644489627657,0.8193895215305047,104300,84700,0.44814814814814813,0.3680582010582011
arousal,2,affine_residual_ridge4,discard_midpoint,168688,0.7858709570331025,0.7686309886890782,0.7710132252115833,0.8536107026963987,104300,64388,0.381698757469411,0.3635765436782699
arousal,2,bias_empirical_bayes,midpoint_as_low,189000,0.8023439153439154,0.778533888691025,0.7793526472291945,0.8544640165110149,124612,64388,0.3406772486772487,0.3365238095238095
arousal,2,bias_empirical_bayes,midpoint_as_high,189000,0.7711587301587302,0.756969208338946,0.7600323503241451,0.8458894898921352,104300,84700,0.44814814814814813,0.3365238095238095
arousal,2,bias_empirical_bayes,discard_midpoint,168688,0.821279521957697,0.7988040046765859,0.8056009862579401,0.8817841877064686,104300,64388,0.381698757469411,0.3343094944512947
arousal,2,bias_huber,midpoint_as_low,189000,0.7761904761904762,0.7600814173389143,0.7552112647240093,0.8376867776331538,124612,64388,0.3406772486772487,0.36657142857142855
arousal,2,bias_huber,midpoint_as_high,189000,0.7557195767195767,0.7446247315832428,0.747139520207079,0.8276969153438735,104300,84700,0.44814814814814813,0.36764550264550266
arousal,2,bias_huber,discard_midpoint,168688,0.7978397989187138,0.7809426004416775,0.7836394564219136,0.863673776611722,104300,64388,0.381698757469411,0.3621123020013279
arousal,2,bias_mean,midpoint_as_low,189000,0.7761904761904762,0.7600814173389143,0.7552112647240093,0.8376867776331538,124612,64388,0.3406772486772487,0.36657142857142855
arousal,2,bias_mean,midpoint_as_high,189000,0.7557195767195767,0.7446247315832428,0.747139520207079,0.8276969153438735,104300,84700,0.44814814814814813,0.36764550264550266
arousal,2,bias_mean,discard_midpoint,168688,0.7978397989187138,0.7809426004416775,0.7836394564219136,0.863673776611722,104300,64388,0.381698757469411,0.3621123020013279
arousal,2,bias_median,midpoint_as_low,189000,0.7761904761904762,0.7600814173389143,0.7552112647240093,0.8376867776331538,124612,64388,0.3406772486772487,0.36657142857142855
arousal,2,bias_median,midpoint_as_high,189000,0.7557195767195767,0.7446247315832428,0.747139520207079,0.8276969153438735,104300,84700,0.44814814814814813,0.36764550264550266
arousal,2,bias_median,discard_midpoint,168688,0.7978397989187138,0.7809426004416775,0.7836394564219136,0.863673776611722,104300,64388,0.381698757469411,0.3621123020013279
arousal,2,bias_shrink1,midpoint_as_low,189000,0.7978201058201059,0.7784658988096554,0.7765095002579282,0.8539959326537047,124612,64388,0.3406772486772487,0.3505291005291005
arousal,2,bias_shrink1,midpoint_as_high,189000,0.7727037037037037,0.7600929058738699,0.7631906920070274,0.8438895888257127,104300,84700,0.44814814814814813,0.3514232804232804
arousal,2,bias_shrink1,discard_midpoint,168688,0.8195603718106801,0.8000763003724246,0.8051842523210713,0.8807477189463375,104300,64388,0.381698757469411,0.34665180688608555
arousal,2,bias_shrink2,midpoint_as_low,189000,0.8021851851851852,0.780091091509928,0.7799449222723216,0.8561771308122396,124612,64388,0.3406772486772487,0.3414126984126984
arousal,2,bias_shrink2,midpoint_as_high,189000,0.7733862433862434,0.7597794822627038,0.7629315235759424,0.8468268213569747,104300,84700,0.44814814814814813,0.34185185185185185
arousal,2,bias_shrink2,discard_midpoint,168688,0.8223702930854595,0.8010143621742849,0.8072848577907186,0.8832605305526997,104300,64388,0.381698757469411,0.33851844825950866
arousal,2,bias_shrink4,midpoint_as_low,189000,0.8033227513227513,0.777572345572024,0.7795181808846186,0.853071358046535,124612,64388,0.3406772486772487,0.3307407407407407
arousal,2,bias_shrink4,midpoint_as_high,189000,0.7691058201058201,0.7543126946269106,0.7572639697811032,0.8452395514709294,104300,84700,0.44814814814814813,0.330978835978836
arousal,2,bias_shrink4,discard_midpoint,168688,0.8206452148344874,0.7969419737877468,0.8043322198937393,0.8805779071819567,104300,64388,0.381698757469411,0.3295610831831547
arousal,2,bias_shrink8,midpoint_as_low,189000,0.8014920634920635,0.7724348217583039,0.7760043516096713,0.8455869710143745,124612,64388,0.3406772486772487,0.322
arousal,2,bias_shrink8,midpoint_as_high,189000,0.7633015873015873,0.7475107564796399,0.7501065403448648,0.8390062719247109,104300,84700,0.44814814814814813,0.32206349206349205
arousal,2,bias_shrink8,discard_midpoint,168688,0.816400692402542,0.7905409805522858,0.7987252712844137,0.8733731918627787,104300,64388,0.381698757469411,0.3219612539125486
arousal,2,bias_trimmed_mean,midpoint_as_low,189000,0.7761904761904762,0.7600814173389143,0.7552112647240093,0.8376867776331538,124612,64388,0.3406772486772487,0.36657142857142855
arousal,2,bias_trimmed_mean,midpoint_as_high,189000,0.7557195767195767,0.7446247315832428,0.747139520207079,0.8276969153438735,104300,84700,0.44814814814814813,0.36764550264550266
arousal,2,bias_trimmed_mean,discard_midpoint,168688,0.7978397989187138,0.7809426004416775,0.7836394564219136,0.863673776611722,104300,64388,0.381698757469411,0.3621123020013279
arousal,2,kernel_residual_shrink4,midpoint_as_low,189000,0.8025026455026455,0.7763837170120067,0.7784717306578902,0.8503334410892319,124612,64388,0.3406772486772487,0.32996296296296296
arousal,2,kernel_residual_shrink4,midpoint_as_high,189000,0.7673174603174603,0.7523983978193862,0.7552681670795174,0.8430898001632291,104300,84700,0.44814814814814813,0.32996296296296296
arousal,2,kernel_residual_shrink4,discard_midpoint,168688,0.8192165417812767,0.7953379472994825,0.8027286334023285,0.8775458695965394,104300,64388,0.381698757469411,0.3291994688418856
arousal,2,stimulus_only,midpoint_as_low,189000,0.8011746031746032,0.768726332537314,0.7739956611107205,0.8157582074063353,124612,64388,0.3406772486772487,0.31253968253968256
arousal,2,stimulus_only,midpoint_as_high,189000,0.7602433862433863,0.7434209170938885,0.7456783026842289,0.8097660919878518,104300,84700,0.44814814814814813,0.31253968253968256
arousal,2,stimulus_only,discard_midpoint,168688,0.8145096272408233,0.7862660181375245,0.7954289499920653,0.8446395058755433,104300,64388,0.381698757469411,0.31289718296500046
arousal,4,affine_residual_ridge1,midpoint_as_low,176400,0.7889455782312925,0.7677959642267511,0.7663576732143836,0.8404083918206817,116289,60111,0.340765306122449,0.3483049886621315
arousal,4,affine_residual_ridge1,midpoint_as_high,176400,0.7591269841269841,0.7460731958206721,0.748735100616669,0.8296607335729692,97324,79076,0.4482766439909297,0.3483560090702948
arousal,4,affine_residual_ridge1,discard_midpoint,157435,0.8070441769619208,0.7868442966089433,0.7916957843897203,0.8633133381090803,97324,60111,0.3818147171848699,0.3467399244132499
arousal,4,affine_residual_ridge4,midpoint_as_low,176400,0.7991666666666667,0.779546422947488,0.7778345198866254,0.8583665934583493,116289,60111,0.340765306122449,0.3493650793650794
arousal,4,affine_residual_ridge4,midpoint_as_high,176400,0.7700340136054422,0.7572250604589457,0.7602357305923604,0.8465640533077518,97324,79076,0.4482766439909297,0.34956916099773244
arousal,4,affine_residual_ridge4,discard_midpoint,157435,0.8188966875218344,0.799595396171652,0.8045811617581422,0.8822657983200987,97324,60111,0.3818147171848699,0.34752755105281546
