epoch,train_loss,val_rmse_scaled,augmentation_config,stage,test_subject,target,y_fit_mean,y_fit_std,early_stop,y_outer_mean,y_outer_std
1,0.44228282129323043,1.018019669991516,none,inner,1,arousal,0.0,1.941835675873948,,,
2,0.42798550040633593,1.010730003554102,none,inner,1,arousal,0.0,1.941835675873948,,,
3,0.4217932985888587,1.0374170050733196,none,inner,1,arousal,0.0,1.941835675873948,,,
4,0.417439059526832,1.0706999296883755,none,inner,1,arousal,0.0,1.941835675873948,,,
5,0.39244949845252214,1.0703911720403314,none,inner,1,arousal,0.0,1.941835675873948,,,
6,0.37056742277410293,1.0641125683687018,none,inner,1,arousal,0.0,1.941835675873948,,,
7,0.3419688653062891,1.0835838523294883,none,inner,1,arousal,0.0,1.941835675873948,,,
8,0.3303833915679543,1.1810850239159585,none,inner,1,arousal,0.0,1.941835675873948,,,
9,0.29398566650019753,1.1822651677148917,none,inner,1,arousal,0.0,1.941835675873948,,,
10,0.25287265716879453,1.233275184294776,none,inner,1,arousal,0.0,1.941835675873948,True,,
1,0.43851694753093107,,none,final,1,arousal,,,,7.162729191130042e-18,1.9455604821992014
2,0.4262023505664641,,none,final,1,arousal,,,,7.162729191130042e-18,1.9455604821992014
1,0.4534944331756345,0.936298913094179,none,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
2,0.4313948943659111,1.044953735370985,none,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
3,0.4280323115763841,1.002076699562198,none,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
4,0.41959068565456953,0.9774084784247286,none,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
5,0.4051338092044548,0.9728909186404836,none,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
6,0.3856717003164468,0.9976314753370426,none,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
7,0.3680086985782341,0.9739938756586425,none,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
8,0.3422095336847835,1.115804698344994,none,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
9,0.31601811034811866,1.0922428473039227,none,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,True,,
1,0.4358590548076937,,none,final,2,arousal,,,,-7.162729191130042e-18,1.9288502402018097
1,0.4416896430430589,1.096710113889335,none,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
2,0.433385956618521,1.1205325701960804,none,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
3,0.42113576774243955,1.1465522042025247,none,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
4,0.41072064693327304,1.1702371114514414,none,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
5,0.38447832343754945,1.182698526570292,none,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
6,0.37326087057590485,1.259166561544581,none,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
7,0.33947323483449443,1.3793280504271475,none,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
8,0.3089327097490982,1.409235279698556,none,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,,,
9,0.28405278038095544,1.2678820230323473,none,inner,3,arousal,-1.644774851296528e-17,1.9206108390342953,True,,
1,0.4413159484824827,,none,final,3,arousal,,,,2.865091676452017e-17,1.9459122563827091
1,0.43514638035385694,1.1534513359731065,none,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
2,0.4287149105910902,1.1760473419220019,none,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
3,0.407884761415146,1.1725253054580127,none,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
4,0.3985322675219289,1.200258748059366,none,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
5,0.37719804490054093,1.1603387491054882,none,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
6,0.3532304338834904,1.2047987832134748,none,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
7,0.32792839049189176,1.2411824949245975,none,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
8,0.3000373547827756,1.2657075640345339,none,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,,,
9,0.28468933508351996,1.2772151082246914,none,inner,5,arousal,1.644774851296528e-17,1.9108781081428043,True,,
1,0.4389130468330076,,none,final,5,arousal,,,,-7.162729191130042e-18,1.9474092830945495
1,0.4457778353933935,0.9404885557726939,none,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
2,0.42735059476561016,0.9373242147736611,none,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
3,0.4159299245587102,0.9399737224924332,none,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
4,0.40877983608731516,0.9527331726603954,none,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
5,0.3760439996366148,0.9535017182805123,none,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
6,0.35881781660848194,1.006694496256793,none,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
7,0.33902415329659424,1.0118516367491805,none,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
8,0.311193254534845,0.9979180298419421,none,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
9,0.27963391222335676,1.0272862245226877,none,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,,,
10,0.25054084109487357,1.0267453008388054,none,inner,6,arousal,-8.22387425648264e-18,1.9152134222666124,True,,
1,0.4373523650630828,,none,final,6,arousal,,,,1.7906822977825105e-17,1.9011711549146475
2,0.42369295320203226,,none,final,6,arousal,,,,1.7906822977825105e-17,1.9011711549146475
1,0.4421719147099389,0.9215735116240954,none,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
2,0.4255936046441396,0.9177450054408505,none,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
3,0.4040233705330778,0.9472322963688149,none,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
4,0.39714122039300426,0.9447836919192153,none,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
5,0.3687521340670409,0.9704957350234116,none,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
6,0.34922374315835814,1.0117562612506403,none,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
7,0.3195921770400471,1.0298954890480327,none,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
8,0.28712008865895094,1.1260190085918431,none,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
9,0.25479338511272714,1.0934427218279579,none,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,,,
10,0.2319991894894176,1.0814599681427197,none,inner,7,arousal,-4.11193712824132e-18,1.975500193519591,True,,
1,0.4475906940717851,,none,final,7,arousal,,,,7.162729191130042e-18,1.949252022010084
2,0.42661428595742873,,none,final,7,arousal,,,,7.162729191130042e-18,1.949252022010084
1,0.44628621693010684,1.015907241936264,gaussian_0p05,inner,1,arousal,0.0,1.941835675873948,,,
2,0.4299497769938575,1.0167811341352828,gaussian_0p05,inner,1,arousal,0.0,1.941835675873948,,,
3,0.4184698592181559,1.0677257407466412,gaussian_0p05,inner,1,arousal,0.0,1.941835675873948,,,
4,0.4135488059233736,1.0154860474535279,gaussian_0p05,inner,1,arousal,0.0,1.941835675873948,,,
5,0.40334629074290945,1.0616390860375513,gaussian_0p05,inner,1,arousal,0.0,1.941835675873948,,,
6,0.3949655106774083,1.0349573827497287,gaussian_0p05,inner,1,arousal,0.0,1.941835675873948,,,
7,0.3716435600762014,1.0475182912351364,gaussian_0p05,inner,1,arousal,0.0,1.941835675873948,,,
8,0.33536459257205326,1.0728818978498098,gaussian_0p05,inner,1,arousal,0.0,1.941835675873948,,,
9,0.3333362829354074,1.126963244644592,gaussian_0p05,inner,1,arousal,0.0,1.941835675873948,,,
10,0.2896744556449078,1.2196512013895482,gaussian_0p05,inner,1,arousal,0.0,1.941835675873948,,,
11,0.26460681414162673,1.1782541831510656,gaussian_0p05,inner,1,arousal,0.0,1.941835675873948,,,
12,0.2331136898310096,1.184974813287573,gaussian_0p05,inner,1,arousal,0.0,1.941835675873948,True,,
1,0.4395349410272414,,gaussian_0p05,final,1,arousal,,,,7.162729191130042e-18,1.9455604821992014
2,0.42765184708179965,,gaussian_0p05,final,1,arousal,,,,7.162729191130042e-18,1.9455604821992014
3,0.41435149984975017,,gaussian_0p05,final,1,arousal,,,,7.162729191130042e-18,1.9455604821992014
4,0.39642038773144445,,gaussian_0p05,final,1,arousal,,,,7.162729191130042e-18,1.9455604821992014
1,0.44114891191323596,0.913242369406736,gaussian_0p05,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
2,0.4259664162441536,0.9764184487300078,gaussian_0p05,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
3,0.4203474516118014,0.9106186812887573,gaussian_0p05,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
4,0.4056359711620543,1.0139608603101211,gaussian_0p05,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
5,0.3839801307077761,0.9677361090850577,gaussian_0p05,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
6,0.3603692325177016,1.0011387507065204,gaussian_0p05,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
7,0.3291197844125606,1.0854817057676174,gaussian_0p05,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
8,0.300561292303933,1.061986066171252,gaussian_0p05,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
9,0.2685593819176709,1.1133237987970983,gaussian_0p05,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
10,0.24688444838479714,1.1043870386313532,gaussian_0p05,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,,,
11,0.22794230171927699,1.1469699521587062,gaussian_0p05,inner,2,arousal,-8.22387425648264e-18,1.9455360082914326,True,,
1,0.44365042351907297,,gaussian_0p05,final,2,arousal,,,,-7.162729191130042e-18,1.9288502402018097
