augmentation_config,target,model,test_subject,n,mae,rmse,pearson,balanced_accuracy,auroc,dev_mae,dev_rmse,dev_pearson,dev_sign_acc,true_dev_mean,pred_dev_mean,true_dev_std,pred_dev_std,std_ratio_pred_over_true,lift_vs_stimulus_mae,lift_vs_stimulus_rmse,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_auroc,lift_vs_stimulus_dev_mae,lift_vs_stimulus_dev_rmse,lift_vs_stimulus_dev_sign_acc,lift_vs_stimulus_pred_dev_std
gaussian_0p05,arousal,eeg_bc_residual_huber_norm_gaussian_broader_smoke,1,32,1.6490282308791615,2.0478305673667525,0.6174753209619369,0.675,0.7958333333333333,1.6490282308791615,2.0478305673667525,-0.035461000038178855,0.53125,0.09979838709677412,-0.5770728662313875,1.8730758315387523,0.4146755596709877,0.22138749146643238,-0.09459274700819376,-0.17209796681791478,-0.04166666666666663,0.03749999999999998,-0.09459274700819376,-0.17209796681791478,0.53125,0.4146755596709877
gaussian_0p05,arousal,stimulus_only,1,32,1.5544354838709677,1.8757326005488377,0.6396747039031424,0.7166666666666667,0.7583333333333333,1.5544354838709677,1.8757326005488377,,0.0,0.09979838709677412,0.0,1.8730758315387523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gaussian_0p05,arousal,eeg_bc_residual_huber_norm_gaussian_broader_smoke,2,32,2.4133118005280014,2.833297128936012,0.7264577586189014,0.7272727272727273,0.8590909090909091,2.4133118005280014,2.833297128936012,0.07708294101070438,0.4375,2.2273185483870965,-0.12178196933463456,1.5829340702617387,0.258058781056972,0.16302560283773465,-0.08720292956025943,-0.10078396578663762,0.0,-0.009090909090909038,-0.08720292956025943,-0.10078396578663762,0.4375,0.258058781056972
gaussian_0p05,arousal,stimulus_only,2,32,2.326108870967742,2.7325131631493744,0.7271361956690021,0.7272727272727273,0.8681818181818182,2.326108870967742,2.7325131631493744,,0.0,2.2273185483870965,0.0,1.5829340702617387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gaussian_0p05,arousal,eeg_bc_residual_huber_norm_gaussian_broader_smoke,3,32,1.6695129998002889,1.8831634971517206,0.6276775179982553,0.8548387096774194,0.967741935483871,1.6695129998002889,1.8831634971517206,-0.04340009723346486,0.34375,-1.265625,0.03317043010979661,1.353914241378173,0.11387878506815516,0.08411078160471362,-0.02384767721964387,-0.029817762100746936,0.0,0.0,-0.02384767721964387,-0.029817762100746936,0.34375,0.11387878506815516
gaussian_0p05,arousal,stimulus_only,3,32,1.645665322580645,1.8533457350509737,0.6357247908214484,0.8548387096774194,0.967741935483871,1.645665322580645,1.8533457350509737,,0.0,-1.265625,0.0,1.353914241378173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gaussian_0p05,arousal,eeg_bc_residual_huber_norm_gaussian_broader_smoke,5,32,1.3571897155381483,1.6739705417076172,0.6903809814443593,0.7420634920634921,0.8571428571428571,1.3571897155381483,1.6739705417076172,-0.024943043104619977,0.6875,0.893649193548387,0.19160561058417275,1.5102454224184472,0.13521708319666398,0.08953318526206368,0.04754818768765823,0.08086566633732661,-0.0357142857142857,-0.00793650793650802,0.04754818768765823,0.08086566633732639,0.6875,0.13521708319666398
gaussian_0p05,arousal,stimulus_only,5,32,1.4047379032258065,1.7548362080449438,0.6946450633141555,0.7777777777777778,0.8650793650793651,1.4047379032258065,1.7548362080449436,,0.0,0.893649193548387,0.0,1.5102454224184472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gaussian_0p05,arousal,eeg_bc_residual_huber_norm_gaussian_broader_smoke,6,32,3.482315458635648,3.8891728682369733,0.3228637859867907,0.6666666666666666,0.5,3.4823154586356475,3.889172868236973,-0.08659233115717162,0.09375,3.2752016129032255,-0.1710292207825903,1.790167901902087,0.10668561781963694,0.05959531377264773,-0.14461384573242198,-0.15666074874366753,0.0,0.0,-0.14461384573242153,-0.1566607487436671,0.09375,0.10668561781963694
gaussian_0p05,arousal,stimulus_only,6,32,3.337701612903226,3.7325121194933057,0.31708270011003303,0.6666666666666666,0.5,3.337701612903226,3.7325121194933057,,0.0,3.2752016129032255,0.0,1.790167901902087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
