target,quantile,candidate_source,feature_block,model,n,subjects,abs_residual_threshold,baseline_residual_rmse,model_residual_rmse,pooled_lift_vs_zero_residual_rmse,residual_pearson,residual_sign_acc,mean_subject_improvement_baseline_minus_model,median_subject_improvement_baseline_minus_model,ci95_low_mean_subject_improvement,ci95_high_mean_subject_improvement,signflip_p_one_sided_mean_gt_zero,permutation_p_alignment,wins,losses,ties,win_margin,sign_test_p_one_sided_wins_gt_losses,passes_confirmatory_gate,decision,reason
arousal,0.75,05aj_decision_table,eeg_bandpower,physio_eeg_bandpower_ridge,508,63,2.2096774193548385,3.24013921212341,3.1684144111057955,0.07172480101761458,0.2129723962280969,0.5570866141732284,0.09958803303877056,0.02077259111433971,0.010963456655665825,0.19937198220687022,0.018849057547122645,4.999750012499375e-05,35,28,0,7,0.22498126814511124,True,GO_CONFIRMED_HIGH_DISAGREEMENT_PHYSIOLOGY,"candidate passes pooled, paired subject-level, sign-flip, permutation, and correlation gates"
valence,0.75,05aj_decision_table,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,505,63,1.435483870967742,2.1186046331336152,2.1165960727686213,0.002008560364993972,0.04726565605454746,0.4871287128712871,0.004321047042389174,-0.0004322608071065659,-0.002193793301385202,0.011079190090606749,0.10649467526623668,0.05729713514324284,29,34,0,-5,0.7750187318548888,False,WEAK_OR_NO_GO_HIGH_DISAGREEMENT_PHYSIOLOGY,pooled residual RMSE lift <= 0.02; bootstrap CI lower bound is not > 0; sign-flip p is not < 0.05; permutation p is not < 0.05; win margin < 3; residual Pearson <= 0.1
