augmentation_config,target,subset,model,n,mae,rmse,pearson,spearman,balanced_accuracy,macro_f1,auroc,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_mean,true_dev_std,pred_dev_mean,pred_dev_std,lift_vs_stimulus_mae,lift_vs_stimulus_rmse,lift_vs_stimulus_pearson,lift_vs_stimulus_spearman,lift_vs_stimulus_balanced_accuracy,lift_vs_stimulus_macro_f1,lift_vs_stimulus_auroc,lift_vs_stimulus_dev_mae,lift_vs_stimulus_dev_rmse,lift_vs_stimulus_dev_pearson,lift_vs_stimulus_dev_spearman,lift_vs_stimulus_dev_sign_acc,lift_vs_stimulus_true_dev_std,lift_vs_stimulus_pred_dev_std
gain_0p10,arousal,top25_train_entropy,eeg_bc_residual_huber_norm_augmented_smoke,48,1.8181522746299226,2.019356128528864,0.2898223667348891,0.27088986836465584,0.5740740740740741,0.5613275613275613,0.5537918871252204,1.8181522746299226,2.019356128528864,-0.21015953563038137,-0.2313874835128508,0.4375,0.2086693548387096,1.9477974295798677,0.04838722349164936,0.24315462203003765,-0.03287001656540656,-0.06041311600227628,-0.06899994995716269,-0.00047950807410446217,-0.04761904761904756,-0.056471033520213765,0.013227513227513144,-0.03287001656540656,-0.06041311600227628,,,0.4375,0.0,0.24315462203003765
gain_0p10,arousal,top25_train_entropy,stimulus_only,48,1.785282258064516,1.9589430125265879,0.3588223166920518,0.2713693764387603,0.6216931216931216,0.6177985948477751,0.5405643738977073,1.785282258064516,1.9589430125265879,,,0.0,0.2086693548387096,1.9477974295798677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
gain_0p10,arousal,top25_train_score_std,eeg_bc_residual_huber_norm_augmented_smoke,48,2.056454951461864,2.476974774133627,0.2534446132745151,0.23523884041909746,0.5793650793650793,0.5728337236533958,0.6455026455026455,2.056454951461864,2.476974774133627,-0.021402078443020257,-0.014498263748504912,0.5208333333333334,0.6875,2.375543334257332,0.04958045132184719,0.2455389556345275,0.010749349613404569,-0.00394780644111048,-0.010352670983602541,0.06585463853278667,-0.03703703703703709,-0.03466988385021175,0.03703703703703698,0.010749349613404569,-0.00394780644111048,,,0.5208333333333334,0.0,0.2455389556345275
gain_0p10,arousal,top25_train_score_std,stimulus_only,48,2.0672043010752685,2.4730269676925167,0.26379728425811766,0.1693842018863108,0.6164021164021164,0.6075036075036075,0.6084656084656085,2.0672043010752685,2.4730269676925167,,,0.0,0.6875,2.375543334257332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
gaussian_0p05,arousal,top25_train_entropy,eeg_bc_residual_huber_norm_augmented_smoke,48,1.770724353477456,1.9584560088932514,0.3571237372428762,0.34337299649067204,0.6349206349206349,0.625,0.5696649029982364,1.770724353477456,1.9584560088932514,0.0743386164092856,0.0936193432471614,0.5416666666666666,0.2086693548387096,1.9477974295798677,0.07011319706680488,0.35313126962171343,0.014557904587060078,0.0004870036333364247,-0.0016985794491755635,0.07200362005191174,0.013227513227513255,0.007201405152224893,0.02910052910052907,0.014557904587060078,0.0004870036333364247,,,0.5416666666666666,0.0,0.35313126962171343
gaussian_0p05,arousal,top25_train_entropy,stimulus_only,48,1.785282258064516,1.9589430125265879,0.3588223166920518,0.2713693764387603,0.6216931216931216,0.6177985948477751,0.5405643738977073,1.785282258064516,1.9589430125265879,,,0.0,0.2086693548387096,1.9477974295798677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
gaussian_0p05,arousal,top25_train_score_std,eeg_bc_residual_huber_norm_augmented_smoke,48,1.9527618723667768,2.402624416724345,0.31817949414453495,0.2826042028405405,0.6455026455026455,0.6444444444444444,0.6754850088183422,1.9527618723667768,2.4026244167243456,0.21531392532989838,0.24880541009606552,0.6666666666666666,0.6875,2.375543334257332,0.09608628695807071,0.30839324934133944,0.11444242870849175,0.0704025509681716,0.05438220988641729,0.11322000095422971,0.02910052910052907,0.03694083694083683,0.06701940035273368,0.11444242870849175,0.07040255096817116,,,0.6666666666666666,0.0,0.30839324934133944
gaussian_0p05,arousal,top25_train_score_std,stimulus_only,48,2.0672043010752685,2.4730269676925167,0.26379728425811766,0.1693842018863108,0.6164021164021164,0.6075036075036075,0.6084656084656085,2.0672043010752685,2.4730269676925167,,,0.0,0.6875,2.375543334257332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
gaussian_0p05_gain_0p10,arousal,top25_train_entropy,eeg_bc_residual_huber_norm_augmented_smoke,48,1.7802387622780644,1.9741727898709618,0.36227277528558344,0.3200925384820882,0.5793650793650793,0.5728337236533958,0.6119929453262787,1.7802387622780644,1.9741727898709618,0.07271087816915718,0.14949770995326878,0.5833333333333334,0.2086693548387096,1.9477974295798677,-0.12482036285064758,0.252467963013447,0.0050434957864515795,-0.015229777344373918,0.003450458593531658,0.04872316204332788,-0.042328042328042326,-0.04496487119437931,0.0714285714285714,0.0050434957864515795,-0.015229777344373918,,,0.5833333333333334,0.0,0.252467963013447
gaussian_0p05_gain_0p10,arousal,top25_train_entropy,stimulus_only,48,1.785282258064516,1.9589430125265879,0.3588223166920518,0.2713693764387603,0.6216931216931216,0.6177985948477751,0.5405643738977073,1.785282258064516,1.9589430125265879,,,0.0,0.2086693548387096,1.9477974295798677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
gaussian_0p05_gain_0p10,arousal,top25_train_score_std,eeg_bc_residual_huber_norm_augmented_smoke,48,2.06910601189524,2.5436660311827035,0.2499728314160931,0.23348659579772615,0.5740740740740741,0.5613275613275613,0.6684303350970018,2.06910601189524,2.5436660311827035,-0.04024615354195882,0.0360556072247463,0.5,0.6875,2.375543334257332,-0.14190893732819584,0.2894287884213718,-0.0019017108199714805,-0.07063906349018678,-0.013824452842024548,0.06410239391141537,-0.042328042328042326,-0.046176046176046204,0.059964726631393295,-0.0019017108199714805,-0.07063906349018678,,,0.5,0.0,0.2894287884213718
gaussian_0p05_gain_0p10,arousal,top25_train_score_std,stimulus_only,48,2.0672043010752685,2.4730269676925167,0.26379728425811766,0.1693842018863108,0.6164021164021164,0.6075036075036075,0.6084656084656085,2.0672043010752685,2.4730269676925167,,,0.0,0.6875,2.375543334257332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
