augmentation_config,target,model,test_subject,n,mae,rmse,pearson,spearman,balanced_accuracy,macro_f1,auroc,dev_mae,dev_rmse,dev_pearson,dev_spearman,dev_sign_acc,true_dev_mean,true_dev_std,pred_dev_mean,pred_dev_std,best_epoch,best_val_rmse_scaled,fit_subjects,val_subjects,outer_train_subjects,y_outer_mean,y_outer_std,final_train_last_loss
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_gaussian10_full_loso,1,32,1.526553386022293,1.8611566954997714,0.6488234291748651,0.6504636325108717,0.7166666666666667,0.722943722943723,0.775,1.526553386022293,1.8611566954997714,0.1756097614684857,0.18403446140898513,0.59375,0.09979838709677412,1.8730758315387523,-0.060536240938482075,0.1340478979557656,2,1.0109069755074342,54,8,62,7.162729191130042e-18,1.9455604821992014,0.4319490612514557
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_gaussian10_full_loso,2,32,2.739687910515928,3.133211946166556,0.7457664571737674,0.7950947280604875,0.7272727272727273,0.625,0.8681818181818182,2.739687910515928,3.133211946166556,0.3177019793138972,0.28372434017595305,0.09375,2.2273185483870965,1.5829340702617387,-0.5035760309446614,0.1766171624477376,1,0.9105531833850162,54,8,62,-7.162729191130042e-18,1.9288502402018097,0.4371390054302831
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_gaussian10_full_loso,3,32,1.4121148826032686,1.612569274731476,0.634371713771883,0.6370734162115292,0.8548387096774194,0.5060034305317325,0.967741935483871,1.4121148826032686,1.612569274731476,-0.021981146001508408,-0.10923753665689148,0.8125,-1.265625,1.353914241378173,-0.3925616185643519,0.04732324640691917,1,1.104489487555419,54,8,62,2.865091676452017e-17,1.9459122563827091,0.4454097132528982
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_gaussian10_full_loso,5,32,1.5174295222801983,1.8938427579561918,0.6917304972272152,0.7313911457293475,0.7777777777777778,0.746031746031746,0.8690476190476191,1.5174295222801983,1.8938427579561918,0.0067811623052163065,-0.031524926686217,0.3125,0.893649193548387,1.5102454224184472,-0.23702427045548002,0.17601683966709192,2,1.1579779226466453,54,8,62,-7.162729191130042e-18,1.9474092830945495,0.4292097860766995
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_gaussian10_full_loso,6,32,3.381458464452637,3.778845112591574,0.33689981252441553,0.399707247600459,0.6666666666666666,0.3333333333333333,0.5,3.381458464452637,3.778845112591574,0.08187951378103046,0.02602639296187683,0.34375,3.2752016129032255,1.790167901902087,-0.055931794234942836,0.14872856043862673,1,0.9442974124158262,54,8,62,1.7906822977825105e-17,1.9011711549146475,0.44033124874676427
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_gaussian10_full_loso,7,32,1.5730026788659053,1.8531043693078315,0.6838481775508464,0.7188895047643291,0.625,0.38461538461538464,,1.5730026788659053,1.8531043693078315,0.14706910540994214,0.1726697835132112,0.3125,-1.0433467741935485,1.2461858921407156,0.3362236307235537,0.2900083452996128,3,0.9120362361122978,54,8,62,7.162729191130042e-18,1.949252022010084,0.42093070812763705
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_gaussian10_full_loso,8,32,1.5729662122081574,1.7915225264836387,0.7734477058667635,0.7829760185197248,0.7916666666666667,0.7681159420289855,0.90625,1.5729662122081574,1.7915225264836387,0.18291503789377545,0.16715542521994134,0.78125,-1.0115927419354838,1.630470033705313,-0.22536102663436264,0.15023167328151074,1,1.0876098853414562,54,8,62,7.162729191130042e-18,1.9448718565923315,0.43996732369545966
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_gaussian10_full_loso,9,32,1.7691064696146166,2.179154763332932,0.4234019513894035,0.4468407394204413,0.6980392156862745,0.6825396825396826,0.7803921568627451,1.7691064696146166,2.179154763332932,-0.06000878469794853,-0.044175602788411775,0.5625,1.0524193548387095,1.898183074793325,0.36585029630041277,0.7150762848217298,4,0.9921137954007369,54,8,62,-3.581364595565021e-18,1.9405294107485496,0.4104068610937365
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_gaussian10_full_loso,10,32,1.415141427528356,1.7058864729063028,0.7560927454585537,0.635512806936659,0.8852813852813852,0.893687707641196,0.8831168831168831,1.415141427528356,1.7058864729063028,0.09451709546550195,0.13435982092906984,0.53125,-0.12247983870967742,1.7129972872947774,-0.16442421024662868,0.14992130568118137,1,1.149576310957132,54,8,62,-7.162729191130042e-18,1.9479568986533093,0.44059758248829073
gaussian_0p10,arousal,eeg_bc_residual_huber_norm_gaussian10_full_loso,11,32,1.7096971147224078,2.120586136259715,0.4345537489310138,0.42681437496194313,0.5607287449392713,0.5588547189819725,0.5910931174089069,1.7096971147224078,2.120586136259715,0.060344217964087614,0.00824855653725531,0.4375,0.703125,1.9006477694544373,-0.2375754391229424,0.22721336605724238,3,0.9261780037148059,54,8,62,1.7906822977825105e-17,1.9430789912245294,0.4188599201940721
