scope,run_group,test_subject,n,subjects,mae,rmse,accuracy,balanced_accuracy,macro_f1,mcc,pred_dev_std,true_dev_std,dev_pearson,auroc,tn,fp,fn,tp
subject,stimulus_only_oracle_file,1,32,1,0.9949596774193548,1.2045860597907678,0.84375,0.875,0.8423645320197044,0.7276068751089989,0.0,1.1175376128242858,,0.93125,15,5,0,12
subject,stimulus_only_oracle_file,2,32,1,1.2086693548387097,1.5487178326209212,0.875,0.8947368421052632,0.8745098039215686,0.7769911005144381,0.0,1.499820800408392,,0.8987854251012146,15,4,0,13
subject,stimulus_only_oracle_file,3,32,1,1.0554435483870968,1.1964804330363776,0.84375,0.875,0.8423645320197044,0.7276068751089989,0.0,1.1803897435466537,,0.9708333333333333,15,5,0,12
subject,stimulus_only_oracle_file,5,32,1,1.2268145161290323,1.4945269559497258,0.90625,0.90625,0.906158357771261,0.8140915784106943,0.0,1.4829722032698982,,0.96875,14,2,1,15
subject,stimulus_only_oracle_file,6,32,1,1.045866935483871,1.1570929690036984,0.9375,0.9411764705882353,0.9375,0.8823529411764706,0.0,1.1527374217875292,,0.984313725490196,15,2,0,15
subject,stimulus_only_oracle_file,7,32,1,0.6224798387096775,0.7714954244234683,0.84375,0.875,0.8423645320197044,0.7276068751089989,0.0,0.7539040491205143,,0.9958333333333333,15,5,0,12
subject,stimulus_only_oracle_file,8,32,1,0.830141129032258,1.0246974566824736,0.96875,0.96875,0.9687194525904204,0.9393364366277243,0.0,0.9651393883815917,,1.0,15,1,0,16
subject,stimulus_only_oracle_file,9,32,1,0.9334677419354838,1.1748826518327367,0.84375,0.8583333333333334,0.8398398398398399,0.6952687917708212,0.0,1.061751339195067,,0.9708333333333333,11,1,4,16
subject,stimulus_only_oracle_file,10,32,1,0.7928427419354838,1.0004185843498665,0.84375,0.875,0.8423645320197044,0.7276068751089989,0.0,0.9997417263296526,,0.9666666666666667,15,5,0,12
subject,stimulus_only_oracle_file,11,32,1,1.206149193548387,1.4491157957492957,0.90625,0.9166666666666667,0.906158357771261,0.828416869579514,0.0,1.4456403474452697,,0.9642857142857143,15,3,0,14
subject,stimulus_only_oracle_file,12,32,1,0.9526209677419355,1.1831362535147223,0.90625,0.9166666666666667,0.906158357771261,0.828416869579514,0.0,1.156639274123462,,0.9523809523809523,15,3,0,14
subject,stimulus_only_oracle_file,13,32,1,0.8724798387096775,1.0503664627335452,0.8125,0.8571428571428572,0.8095238095238095,0.6798418006783489,0.0,0.933579727266912,,0.9653679653679654,15,6,0,11
subject,stimulus_only_oracle_file,14,32,1,0.752016129032258,0.8964680958217212,0.875,0.8947368421052632,0.8745098039215686,0.7769911005144381,0.0,0.8364190183117242,,0.9574898785425101,15,4,0,13
subject,stimulus_only_oracle_file,15,32,1,0.856350806451613,1.1124100414937979,0.78125,0.8409090909090908,0.7757757757757757,0.6333004963811235,0.0,1.1002827935536357,,0.8954545454545455,15,7,0,10
subject,stimulus_only_oracle_file,16,32,1,0.7721774193548387,1.0159129954676442,0.8125,0.8299595141700404,0.8117647058823529,0.6494848686351458,0.0,0.9396886306748992,,0.8947368421052633,14,5,1,12
subject,stimulus_only_oracle_file,17,32,1,1.0090725806451613,1.1960522994491878,0.90625,0.9166666666666667,0.906158357771261,0.828416869579514,0.0,1.1698479042515253,,0.9503968253968255,15,3,0,14
subject,stimulus_only_oracle_file,18,32,1,1.4475806451612905,1.8032716105902833,0.8125,0.8299595141700404,0.8117647058823529,0.6494848686351458,0.0,1.7488893829746277,,0.9352226720647774,14,5,1,12
subject,stimulus_only_oracle_file,19,32,1,1.028225806451613,1.3182709089508333,0.84375,0.8531746031746033,0.8435972629521017,0.7021819180245404,0.0,1.3051566660738005,,0.9484126984126984,14,4,1,13
subject,stimulus_only_oracle_file,20,32,1,0.7580645161290323,1.0229465993184748,0.8125,0.8571428571428572,0.8095238095238095,0.6798418006783489,0.0,0.9188484563256268,,0.9307359307359307,15,6,0,11
subject,stimulus_only_oracle_file,21,32,1,0.8966733870967741,1.0523150671354522,0.875,0.8947368421052632,0.8745098039215686,0.7769911005144381,0.0,1.0394869532102124,,0.9919028340080972,15,4,0,13
subject,stimulus_only_oracle_file,22,32,1,1.0065524193548387,1.1928363994523645,0.8125,0.8571428571428572,0.8095238095238095,0.6798418006783489,0.0,1.1568399012334067,,0.9199134199134198,15,6,0,11
subject,stimulus_only_oracle_file,23,32,1,0.8432459677419354,1.045968830053902,0.90625,0.9166666666666667,0.906158357771261,0.828416869579514,0.0,1.0231610268410265,,0.9841269841269841,15,3,0,14
subject,stimulus_only_oracle_file,24,32,1,0.9450604838709676,1.1811866652165217,0.78125,0.8409090909090908,0.7757757757757757,0.6333004963811235,0.0,1.0480127617606025,,0.8772727272727272,15,7,0,10
subject,stimulus_only_oracle_file,25,32,1,1.2711693548387097,1.5424217245211227,0.90625,0.9166666666666667,0.906158357771261,0.828416869579514,0.0,1.5408977561477415,,0.9761904761904762,15,3,0,14
subject,stimulus_only_oracle_file,26,32,1,1.295866935483871,1.5439152284274675,0.84375,0.875,0.8423645320197044,0.7276068751089989,0.0,1.502704617996618,,0.9291666666666667,15,5,0,12
subject,stimulus_only_oracle_file,27,32,1,1.0403225806451613,1.3065636152706914,0.84375,0.8452380952380952,0.8423645320197044,0.6864025490801687,0.0,1.2826189990847694,,0.9603174603174603,12,2,3,15
subject,stimulus_only_oracle_file,28,32,1,1.0181451612903225,1.2752203396559423,0.84375,0.875,0.8423645320197044,0.7276068751089989,0.0,1.2733766266500448,,0.9750000000000001,15,5,0,12
subject,stimulus_only_oracle_file,29,32,1,0.7414314516129032,0.9792037966849636,0.96875,0.96875,0.9687194525904204,0.9393364366277243,0.0,0.8583382261787255,,1.0,15,1,0,16
subject,stimulus_only_oracle_file,30,32,1,0.8356854838709676,0.9805105223786827,0.9375,0.9372549019607843,0.9372549019607843,0.8745098039215686,0.0,0.980497567382806,,0.9921568627450981,14,1,1,16
subject,stimulus_only_oracle_file,31,32,1,1.438508064516129,1.6415104177594801,0.96875,0.96875,0.9687194525904204,0.9393364366277243,0.0,1.5157854873086032,,1.0,15,1,0,16
subject,stimulus_only_oracle_file,32,32,1,0.888608870967742,1.067296131717133,0.84375,0.875,0.8423645320197044,0.7276068751089989,0.0,0.982104106391065,,0.9291666666666667,15,5,0,12
subject,stimulus_only_oracle_file,33,32,1,0.686491935483871,0.8017706893454289,0.8125,0.8299595141700404,0.8117647058823529,0.6494848686351458,0.0,0.7908206698619183,,0.9757085020242916,14,5,1,12
subject,stimulus_only_oracle_file,34,32,1,1.164818548387097,1.3695290126321555,0.78125,0.8409090909090908,0.7757757757757757,0.6333004963811235,0.0,1.0638972447601784,,0.9727272727272728,15,7,0,10
subject,stimulus_only_oracle_file,35,32,1,0.7444556451612903,0.8910241143900415,0.875,0.8947368421052632,0.8745098039215686,0.7769911005144381,0.0,0.8615394651342101,,0.979757085020243,15,4,0,13
subject,stimulus_only_oracle_file,36,32,1,0.871975806451613,1.0204401633369262,0.875,0.8947368421052632,0.8745098039215686,0.7769911005144381,0.0,0.9870053317530504,,0.9878542510121457,15,4,0,13
subject,stimulus_only_oracle_file,37,32,1,1.122983870967742,1.2260783336006187,0.75,0.8260869565217391,0.7408906882591093,0.5875955600576714,0.0,1.2103811796934416,,0.963768115942029,15,8,0,9
subject,stimulus_only_oracle_file,38,32,1,1.385584677419355,1.6108025634891396,0.75,0.7878787878787878,0.746031746031746,0.5479936938801236,0.0,1.5946821551965669,,0.8917748917748918,14,7,1,10
subject,stimulus_only_oracle_file,39,32,1,0.9924395161290323,1.1755363588632064,0.9375,0.9411764705882353,0.9375,0.8823529411764706,0.0,1.1533481731760573,,0.9686274509803922,15,2,0,15
