method,subject_id,n_high,zero_rmse_high,model_rmse_high,improvement_zero_minus_model,pearson_high,sign_acc_high
neural_noaug_anchor,1,9,3.054269790649414,2.077242851257324,0.9770269393920898,0.7800428339411081,0.7777777777777778
neural_noaug_anchor,2,15,3.6806721687316895,3.98422908782959,-0.3035569190979004,0.23920644074149097,0.2
neural_noaug_anchor,3,6,3.108191967010498,3.0611166954040527,0.04707527160644531,-0.8933958784440453,1.0
neural_noaug_anchor,5,8,2.909100294113159,3.056978225708008,-0.14787793159484863,0.6312865659089517,0.0
neural_noaug_anchor,6,22,4.379451274871826,4.422637462615967,-0.043186187744140625,0.21217617700888827,0.09090909090909091
neural_noaug_anchor,7,7,2.6614577770233154,2.825206756591797,-0.16374897956848145,-0.4775493089544141,0.7142857142857143
neural_noaug_anchor,8,10,2.780179262161255,2.778834104537964,0.0013451576232910156,0.1753380828205269,0.6
neural_noaug_anchor,9,10,3.547041416168213,2.7303881645202637,0.8166532516479492,-0.09626921698813069,0.9
neural_noaug_anchor,10,7,2.8355135917663574,2.9906368255615234,-0.15512323379516602,-0.5303611215643009,0.2857142857142857
neural_noaug_anchor,11,9,3.292891025543213,3.5216612815856934,-0.22877025604248047,-0.25399026744604447,0.4444444444444444
neural_noaug_anchor,12,3,2.3139400482177734,2.7175793647766113,-0.4036393165588379,-0.680661141286826,0.3333333333333333
neural_noaug_anchor,13,13,3.371816396713257,3.3839938640594482,-0.012177467346191406,-0.3682848726904066,0.3076923076923077
neural_noaug_anchor,14,7,2.819840669631958,2.7661120891571045,0.053728580474853516,-0.38498757825683894,1.0
neural_noaug_anchor,15,5,3.0078115463256836,3.3093087673187256,-0.301497220993042,-0.5791503881463803,0.2
neural_noaug_anchor,16,4,2.8096132278442383,2.2082152366638184,0.6013979911804199,0.7790655263608651,0.75
neural_noaug_anchor,17,5,2.6369760036468506,2.6010324954986572,0.03594350814819336,0.9534612704899329,0.4
neural_noaug_anchor,18,11,3.2918927669525146,3.340264081954956,-0.048371315002441406,-0.04950517013020421,0.2727272727272727
neural_noaug_anchor,19,9,3.100794553756714,3.3341078758239746,-0.23331332206726074,0.24388966863532055,0.3333333333333333
neural_noaug_anchor,20,6,3.020524740219116,3.1742658615112305,-0.15374112129211426,-0.6851900442560056,0.0
neural_noaug_anchor,21,4,3.2019684314727783,3.1444313526153564,0.057537078857421875,0.6839208978047964,1.0
neural_noaug_anchor,22,12,3.096914052963257,3.1290946006774902,-0.0321805477142334,-0.4568213948704086,0.25
neural_noaug_anchor,23,4,2.667149066925049,2.9116032123565674,-0.24445414543151855,0.6078788116432609,0.0
neural_noaug_anchor,24,4,2.2926783561706543,2.203157663345337,0.08952069282531738,0.35542730378823006,0.5
neural_noaug_anchor,25,9,3.568758726119995,3.598499059677124,-0.029740333557128906,-0.5496559989260753,0.5555555555555556
neural_noaug_anchor,26,11,2.9441277980804443,2.94740891456604,-0.003281116485595703,-0.41891245679649347,0.6363636363636364
neural_noaug_anchor,27,5,2.98258900642395,2.513829231262207,0.46875977516174316,0.8018500363550142,1.0
neural_noaug_anchor,28,9,2.782724142074585,2.6833014488220215,0.09942269325256348,0.01999467384446622,1.0
neural_noaug_anchor,29,6,2.585923671722412,2.5840866565704346,0.001837015151977539,-0.0689161919648448,0.5
neural_noaug_anchor,30,1,2.4677419662475586,2.3849074840545654,0.08283448219299316,,1.0
neural_noaug_anchor,31,12,3.388498306274414,3.4637949466705322,-0.07529664039611816,-0.03475781846304617,0.25
neural_noaug_anchor,32,3,2.362816095352173,2.400928497314453,-0.03811240196228027,0.9978355822596477,0.3333333333333333
neural_noaug_anchor,33,5,2.9890973567962646,2.722756862640381,0.2663404941558838,0.46159489515611074,1.0
neural_noaug_anchor,34,3,2.303046464920044,2.250467538833618,0.05257892608642578,0.9282385506300991,0.3333333333333333
neural_noaug_anchor,35,5,3.0611186027526855,3.0436906814575195,0.017427921295166016,-0.0595927831686246,0.6
neural_noaug_anchor,36,4,2.851351022720337,2.941744327545166,-0.0903933048248291,-0.4638018904746679,0.25
neural_noaug_anchor,37,4,3.1441476345062256,3.2030014991760254,-0.058853864669799805,-0.3100541057527674,0.0
neural_noaug_anchor,38,5,2.6995394229888916,2.6637120246887207,0.0358273983001709,0.598413402155844,0.6
neural_noaug_anchor,39,9,3.131054639816284,3.0075223445892334,0.12353229522705078,-0.02255127325577564,0.5555555555555556
neural_noaug_anchor,40,16,3.8766403198242188,3.840625047683716,0.03601527214050293,-0.10232784331483025,0.6875
neural_noaug_anchor,41,13,3.610983371734619,3.5898756980895996,0.02110767364501953,-0.17825183500297984,0.6153846153846154
neural_noaug_anchor,42,14,3.6852455139160156,3.9875006675720215,-0.30225515365600586,0.11328816241726526,0.21428571428571427
neural_noaug_anchor,43,8,2.778691053390503,2.780679702758789,-0.001988649368286133,-0.21460663565620072,0.625
neural_noaug_anchor,44,12,3.6659412384033203,3.656114339828491,0.009826898574829102,0.4560379327245432,0.5
neural_noaug_anchor,45,5,3.072434663772583,2.981149196624756,0.09128546714782715,0.11865751676851148,0.8
neural_noaug_anchor,46,9,3.3049607276916504,3.302381753921509,0.0025789737701416016,0.0481212859429628,0.5555555555555556
neural_noaug_anchor,47,13,3.5239317417144775,3.519230604171753,0.004701137542724609,-0.34007701585964356,0.6153846153846154
neural_noaug_anchor,48,3,2.765960454940796,2.8272194862365723,-0.06125903129577637,-0.6535360483203196,0.3333333333333333
neural_noaug_anchor,49,12,3.4402544498443604,3.513549327850342,-0.07329487800598145,-0.5836246414109654,0.0
neural_noaug_anchor,50,3,2.508155345916748,2.5455820560455322,-0.03742671012878418,0.9211370492626628,0.3333333333333333
neural_noaug_anchor,52,8,3.337033987045288,3.337794065475464,-0.0007600784301757812,0.04079423356844884,0.75
neural_noaug_anchor,53,1,2.387096881866455,2.6470656394958496,-0.25996875762939453,,0.0
neural_noaug_anchor,54,7,2.6681032180786133,2.7087888717651367,-0.04068565368652344,0.07629921270069463,0.14285714285714285
neural_noaug_anchor,55,16,3.0956716537475586,3.155980348587036,-0.06030869483947754,-0.24336719413749158,0.5625
neural_noaug_anchor,56,3,2.4800453186035156,2.569700002670288,-0.08965468406677246,0.8910602403488014,0.0
