target,decision,feature_block,model,quantile,gamma_physio_blend,failure_subjects,locked_failure_rmse,candidate_failure_rmse,lift_vs_locked_failure_rmse,mean_subject_improvement_locked_minus_candidate,ci95_low_mean_subject_improvement,signflip_p_one_sided_mean_gt_zero,wins,losses,win_margin,passes_failure_rescue_gate,reason
arousal,NO_GO_FAILURE_SUBJECT_PHYSIOLOGY_RESCUE,eeg_bandpower,physio_eeg_bandpower_ridge,0.75,0.05,16,2.4305203050167536,2.4554745005507805,-0.02495419553402689,-0.02196698355738698,-0.03604377602863228,0.9988000599970002,4,12,-8,False,failure-subject pooled RMSE lift < 0.02; bootstrap CI lower bound is not > 0; sign-flip p is not < 0.05; win margin < 3
valence,NO_GO_FAILURE_SUBJECT_PHYSIOLOGY_RESCUE,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,0.75,0.05,20,2.115952494773989,2.1162328659849154,-0.00028037121092649997,-0.002273443314497958,-0.006288826548392895,0.8588570571471427,10,10,0,False,failure-subject pooled RMSE lift < 0.02; bootstrap CI lower bound is not > 0; sign-flip p is not < 0.05; win margin < 3
