target,test_subject,n,mean_deviation,std_deviation,mean_abs_deviation,rmse_deviation,positive_deviation_rate
valence,1,32,-0.4495967741935484,1.1175376128242858,0.994959677419355,1.204586059790768,0.40625
valence,2,32,-0.3860887096774194,1.499820800408392,1.2086693548387097,1.5487178326209212,0.28125
valence,3,32,-0.19556451612903233,1.1803897435466537,1.0554435483870968,1.1964804330363776,0.4375
valence,5,32,0.1854838709677419,1.4829722032698982,1.2268145161290325,1.4945269559497258,0.53125
valence,6,32,-0.10030241935483879,1.1527374217875292,1.045866935483871,1.1570929690036986,0.40625
valence,7,32,-0.16381048387096778,0.7539040491205143,0.6224798387096775,0.7714954244234683,0.4375
valence,8,32,0.3442540322580645,0.9651393883815917,0.830141129032258,1.0246974566824736,0.6875
valence,9,32,0.503024193548387,1.061751339195067,0.9334677419354838,1.1748826518327367,0.65625
valence,10,32,-0.036794354838709756,0.9997417263296526,0.7928427419354838,1.0004185843498665,0.5
valence,11,32,-0.10030241935483872,1.4456403474452697,1.206149193548387,1.4491157957492957,0.40625
valence,12,32,0.24899193548387094,1.156639274123462,0.9526209677419355,1.1831362535147223,0.59375
valence,13,32,-0.481350806451613,0.933579727266912,0.8724798387096774,1.0503664627335452,0.3125
valence,14,32,-0.3225806451612903,0.8364190183117242,0.752016129032258,0.8964680958217212,0.34375
valence,15,32,-0.16381048387096778,1.1002827935536357,0.856350806451613,1.1124100414937979,0.53125
valence,16,32,-0.3860887096774194,0.9396886306748992,0.7721774193548387,1.0159129954676442,0.34375
valence,17,32,0.24899193548387097,1.1698479042515253,1.0090725806451613,1.1960522994491878,0.53125
valence,18,32,0.439516129032258,1.7488893829746277,1.4475806451612905,1.8032716105902833,0.625
valence,19,32,0.18548387096774185,1.3051566660738005,1.028225806451613,1.3182709089508333,0.53125
valence,20,32,-0.4495967741935484,0.9188484563256268,0.7580645161290323,1.0229465993184748,0.40625
valence,21,32,-0.16381048387096775,1.0394869532102124,0.8966733870967741,1.0523150671354522,0.40625
valence,22,32,-0.2908266129032258,1.1568399012334067,1.0065524193548387,1.1928363994523645,0.34375
valence,23,32,0.21723790322580647,1.0231610268410265,0.8432459677419354,1.045968830053902,0.5625
valence,24,32,-0.544858870967742,1.0480127617606025,0.9450604838709677,1.181186665216522,0.25
valence,25,32,-0.06854838709677422,1.5408977561477415,1.2711693548387097,1.5424217245211227,0.5
valence,26,32,-0.35433467741935487,1.502704617996618,1.295866935483871,1.5439152284274675,0.375
valence,27,32,0.24899193548387094,1.2826189990847694,1.0403225806451613,1.3065636152706914,0.6875
valence,28,32,-0.06854838709677429,1.2733766266500448,1.0181451612903225,1.2752203396559423,0.375
valence,29,32,0.47127016129032256,0.8583382261787255,0.7414314516129032,0.9792037966849636,0.71875
valence,30,32,-0.005040322580645205,0.980497567382806,0.8356854838709677,0.9805105223786827,0.46875
valence,31,32,0.630040322580645,1.5157854873086032,1.438508064516129,1.6415104177594801,0.59375
valence,32,32,-0.4178427419354839,0.982104106391065,0.888608870967742,1.067296131717133,0.3125
valence,33,32,-0.13205645161290328,0.7908206698619183,0.686491935483871,0.8017706893454289,0.4375
valence,34,32,-0.8623991935483872,1.0638972447601784,1.164818548387097,1.3695290126321555,0.125
valence,35,32,-0.22731854838709678,0.8615394651342101,0.7444556451612903,0.8910241143900415,0.40625
valence,36,32,-0.2590725806451613,0.9870053317530504,0.871975806451613,1.0204401633369262,0.3125
valence,37,32,-0.1955645161290323,1.2103811796934416,1.122983870967742,1.2260783336006187,0.4375
valence,38,32,-0.22731854838709678,1.5946821551965669,1.385584677419355,1.6108025634891396,0.46875
valence,39,32,-0.22731854838709678,1.1533481731760573,0.9924395161290323,1.1755363588632064,0.40625
valence,40,32,0.21723790322580638,1.4100396784327782,1.2253024193548387,1.426675927235319,0.5
valence,41,32,0.248991935483871,1.5120641797562273,1.2570564516129032,1.5324278343980433,0.5625
valence,42,32,0.21723790322580638,1.05081901849707,0.8825604838709676,1.0730391028443886,0.5625
valence,43,32,0.2807459677419355,1.0277185606429846,0.9420362903225806,1.0653749285080085,0.59375
valence,44,32,0.7253024193548387,1.3715575366482073,1.3150201612903225,1.551526240789527,0.71875
valence,45,32,-0.10030241935483868,0.9359767748222355,0.7525201612903227,0.9413358052974866,0.46875
valence,46,32,-0.3860887096774194,1.28779955889462,1.1199596774193548,1.3444300634951423,0.28125
valence,47,32,-0.03679435483870966,1.813517800521661,1.5519153225806452,1.8138910213562776,0.46875
valence,48,32,0.40776209677419345,0.9610845807699395,0.8351814516129032,1.0440083806940523,0.6875
valence,49,32,0.05846774193548386,1.3316696325086343,1.1310483870967742,1.3329525449140025,0.53125
valence,50,32,-0.03679435483870977,1.2860895432780775,1.1547379032258065,1.2866157693255633,0.46875
valence,52,32,-0.5766129032258064,1.3983624472285212,1.2358870967741935,1.5125805677666997,0.34375
valence,53,32,-0.671875,0.8934942463418373,0.920866935483871,1.117921278029436,0.21875
valence,54,32,0.28074596774193555,1.415160932864053,1.0932459677419357,1.4427400196528868,0.625
valence,55,32,0.4712701612903225,1.2154548484692485,1.0015120967741935,1.303620364059265,0.65625
valence,56,32,-0.1638104838709678,1.0862285750031415,0.8644153225806451,1.0985109884654758,0.46875
valence,57,32,0.7570564516129032,1.0644010927273946,1.1633064516129035,1.306171564966866,0.78125
valence,58,32,0.3125,0.9650647612965453,0.8346774193548387,1.01439944967274,0.625
valence,59,32,0.21723790322580644,1.370997297920261,1.1154233870967742,1.3881015443772842,0.6875
valence,60,32,0.15372983870967732,1.2403764851994616,1.0912298387096775,1.2498666682272448,0.5
valence,61,32,1.1063508064516128,1.4155227972469693,1.486391129032258,1.796584786883719,0.75
valence,62,32,0.5982862903225806,1.1466678482673742,1.1244959677419355,1.2933652382208536,0.71875
valence,63,32,-0.036794354838709686,1.1368553448155883,0.9259072580645161,1.1374506141295835,0.40625
valence,64,32,-0.5766129032258065,1.076333478297336,0.9959677419354839,1.2210553618366922,0.3125
valence,65,32,0.0902217741935483,0.955941659589858,0.8140120967741935,0.960189785968401,0.46875
arousal,1,32,0.09979838709677412,1.8730758315387523,1.5544354838709677,1.8757326005488377,0.4375
arousal,2,32,2.2273185483870965,1.5829340702617387,2.326108870967742,2.7325131631493744,0.90625
arousal,3,32,-1.265625,1.353914241378173,1.645665322580645,1.8533457350509737,0.1875
arousal,5,32,0.893649193548387,1.5102454224184472,1.4047379032258065,1.7548362080449436,0.6875
arousal,6,32,3.2752016129032255,1.790167901902087,3.337701612903226,3.7325121194933057,0.9375
