target,decision,best_block_by_direct_dev,best_model_by_direct_dev,best_dev_rmse,best_lift_vs_stimulus_dev_rmse,best_dev_pearson,best_dev_sign_acc,rmse_win_margin,high_residual_q75_best_block,high_residual_q75_lift_vs_zero,passes_direct_deviation_gate,reason
arousal,WEAK_SIGNAL_BUT_NOT_ACTIONABLE_WITH_CURRENT_FEATURES,eeg_entropy_complexity,physio_eeg_entropy_complexity_ridge,1.9485175118232667,-0.0043125297066706,0.1317467268746114,0.5615079365079365,-1.0,,,False,direct residual/dev RMSE lift is below practical threshold; subject-level win margin is not stable
valence,NO_GO_CURRENT_FIXED_FEATURES_FOR_DIRECT_DEVIATION,emg_lagged_interaction_experimental,physio_emg_lagged_interaction_experimental_ridge,1.2591521569008588,-0.0013784622270007,0.0022037975299574,0.4816468253968254,-5.0,,,False,direct residual/dev RMSE lift is below practical threshold; direct residual correlation is weak; subject-level win margin is not stable
