target,feature_block,test_subject,selected_alpha,inner_val_dev_rmse,train_n,test_n
arousal,emg_existing_22,26,1000.0,1.859318890306468,1984,32
arousal,emg_existing_22,27,1000.0,1.939623370079755,1984,32
arousal,emg_existing_22,28,1000.0,2.246284515076356,1984,32
arousal,emg_existing_22,29,1000.0,1.925214421276167,1984,32
arousal,emg_existing_22,30,10.0,2.3181244789643993,1984,32
arousal,emg_existing_22,31,0.1,3.890574708309772,1984,32
arousal,emg_existing_22,32,1000.0,2.1114477137817165,1984,32
arousal,emg_existing_22,33,1000.0,1.976921250343668,1984,32
arousal,emg_existing_22,34,0.1,2.2744192032119073,1984,32
arousal,emg_existing_22,35,1000.0,2.0496298971260147,1984,32
arousal,emg_existing_22,36,10.0,3.6524379670908984,1984,32
arousal,emg_existing_22,37,1000.0,2.006888976579454,1984,32
arousal,emg_existing_22,38,10.0,3.60496685466544,1984,32
arousal,emg_existing_22,39,0.1,1.7385184746518219,1984,32
arousal,emg_existing_22,40,100.0,1.5853833706860943,1984,32
arousal,emg_existing_22,41,1000.0,1.9452556800204748,1984,32
arousal,emg_existing_22,42,1000.0,2.021851230884426,1984,32
arousal,emg_existing_22,43,10.0,6.1684381635606025,1984,32
arousal,emg_existing_22,44,1000.0,2.0531662462360734,1984,32
arousal,emg_existing_22,45,1000.0,1.74379759782359,1984,32
arousal,emg_existing_22,46,100.0,2.9585020235187263,1984,32
arousal,emg_existing_22,47,100.0,2.5822286386501636,1984,32
arousal,emg_existing_22,48,100.0,1.7198152420148112,1984,32
arousal,emg_existing_22,49,1000.0,1.6354316778555893,1984,32
arousal,emg_existing_22,50,1000.0,1.8935528191394486,1984,32
arousal,emg_existing_22,52,1000.0,2.0227205253091807,1984,32
arousal,emg_existing_22,53,1.0,2.1595275862853027,1984,32
arousal,emg_existing_22,54,1000.0,2.0311763043103923,1984,32
arousal,emg_existing_22,55,1000.0,1.71376869390387,1984,32
arousal,emg_existing_22,56,1000.0,1.9415823317225303,1984,32
arousal,emg_existing_22,57,1000.0,1.8461511686924785,1984,32
arousal,emg_existing_22,58,1000.0,1.8084633056666095,1984,32
arousal,emg_existing_22,59,0.1,2.239775242896763,1984,32
arousal,emg_existing_22,60,1000.0,1.92746818495727,1984,32
arousal,emg_existing_22,61,1000.0,1.6673273943408926,1984,32
arousal,emg_existing_22,62,1000.0,1.9792808900400147,1984,32
arousal,emg_existing_22,63,1000.0,2.093406974532886,1984,32
arousal,emg_existing_22,64,10.0,5.738681112673381,1984,32
arousal,emg_existing_22,65,1000.0,1.5742900249711875,1984,32
valence,emg_bsl_stats_22,1,1000.0,1.2711747668377602,1984,32
valence,emg_bsl_stats_22,2,1000.0,1.1713460987796946,1984,32
valence,emg_bsl_stats_22,3,1000.0,1.1905262998849826,1984,32
valence,emg_bsl_stats_22,5,100.0,1.105490121978242,1984,32
valence,emg_bsl_stats_22,6,1000.0,1.2404149228335235,1984,32
valence,emg_bsl_stats_22,7,1000.0,1.412055901095362,1984,32
valence,emg_bsl_stats_22,8,1000.0,1.2406533274394798,1984,32
valence,emg_bsl_stats_22,9,0.1,1.306999803078005,1984,32
valence,emg_bsl_stats_22,10,1000.0,1.2806022648343236,1984,32
valence,emg_bsl_stats_22,11,0.1,1.239824652935735,1984,32
valence,emg_bsl_stats_22,12,0.1,1.2610552000152742,1984,32
valence,emg_bsl_stats_22,13,1000.0,1.2748926642575695,1984,32
valence,emg_bsl_stats_22,14,1000.0,1.2358044154146897,1984,32
valence,emg_bsl_stats_22,15,100.0,1.1383228667476648,1984,32
valence,emg_bsl_stats_22,16,1000.0,1.3541858399121516,1984,32
valence,emg_bsl_stats_22,17,1.0,1.2821218668021017,1984,32
valence,emg_bsl_stats_22,18,1000.0,1.3095748377001244,1984,32
valence,emg_bsl_stats_22,19,1000.0,1.0556349184509763,1984,32
valence,emg_bsl_stats_22,20,1000.0,1.2603415649205587,1984,32
valence,emg_bsl_stats_22,21,1000.0,1.8559279653312182,1984,32
valence,emg_bsl_stats_22,22,1000.0,1.4504263553441266,1984,32
valence,emg_bsl_stats_22,23,1000.0,1.184295317671423,1984,32
valence,emg_bsl_stats_22,24,1000.0,1.2967510062425658,1984,32
valence,emg_bsl_stats_22,25,0.1,1.3986071701989486,1984,32
valence,emg_bsl_stats_22,26,1000.0,1.1345646748004488,1984,32
valence,emg_bsl_stats_22,27,1000.0,4.41270034084319,1984,32
valence,emg_bsl_stats_22,28,1000.0,1.4597135862490658,1984,32
valence,emg_bsl_stats_22,29,0.1,1.1954313450402723,1984,32
valence,emg_bsl_stats_22,30,1000.0,1.2433569198177596,1984,32
valence,emg_bsl_stats_22,31,1000.0,1.317348448754861,1984,32
valence,emg_bsl_stats_22,32,0.1,1.358817523858343,1984,32
valence,emg_bsl_stats_22,33,1000.0,1.3678198506335968,1984,32
valence,emg_bsl_stats_22,34,0.1,1.420035168181003,1984,32
valence,emg_bsl_stats_22,35,0.1,1.3675043273291536,1984,32
valence,emg_bsl_stats_22,36,1000.0,1.7885472317035385,1984,32
valence,emg_bsl_stats_22,37,1.0,1.068144298771987,1984,32
valence,emg_bsl_stats_22,38,1000.0,1.2884165072181053,1984,32
valence,emg_bsl_stats_22,39,1000.0,1.2907266293492612,1984,32
valence,emg_bsl_stats_22,40,0.1,1.2257038726272411,1984,32
valence,emg_bsl_stats_22,41,1000.0,1.2602857862212757,1984,32
valence,emg_bsl_stats_22,42,1000.0,3.8227017205460863,1984,32
valence,emg_bsl_stats_22,43,1000.0,1.3350679261185459,1984,32
valence,emg_bsl_stats_22,44,1000.0,1.1871605858443253,1984,32
valence,emg_bsl_stats_22,45,1000.0,1.161262891828768,1984,32
valence,emg_bsl_stats_22,46,1000.0,1.2994185675207983,1984,32
valence,emg_bsl_stats_22,47,1000.0,1.2202797711338993,1984,32
valence,emg_bsl_stats_22,48,1000.0,1.1360096550343317,1984,32
valence,emg_bsl_stats_22,49,1.0,1.0694012927874488,1984,32
valence,emg_bsl_stats_22,50,0.1,1.1292288475214878,1984,32
valence,emg_bsl_stats_22,52,100.0,1.2753464238667445,1984,32
valence,emg_bsl_stats_22,53,1000.0,1.3505369621933738,1984,32
valence,emg_bsl_stats_22,54,0.1,1.4118951167250184,1984,32
valence,emg_bsl_stats_22,55,0.1,1.1667003278061459,1984,32
valence,emg_bsl_stats_22,56,1000.0,1.2146060400157737,1984,32
valence,emg_bsl_stats_22,57,1000.0,1.254448614490394,1984,32
valence,emg_bsl_stats_22,58,0.1,1.2375192475988603,1984,32
valence,emg_bsl_stats_22,59,1000.0,1.368879082596537,1984,32
valence,emg_bsl_stats_22,60,0.1,1.3722184987885493,1984,32
valence,emg_bsl_stats_22,61,1000.0,4.051489769510265,1984,32
valence,emg_bsl_stats_22,62,0.1,1.2637129244731597,1984,32
valence,emg_bsl_stats_22,63,0.1,1.4169804122580776,1984,32
valence,emg_bsl_stats_22,64,1000.0,1.25875473164288,1984,32
valence,emg_bsl_stats_22,65,1000.0,1.1449848325432137,1984,32
arousal,emg_bsl_stats_22,1,1000.0,2.1593829538182856,1984,32
arousal,emg_bsl_stats_22,2,1000.0,1.8821684461895305,1984,32
arousal,emg_bsl_stats_22,3,1000.0,2.086628492023367,1984,32
arousal,emg_bsl_stats_22,5,1000.0,1.4782632709079289,1984,32
arousal,emg_bsl_stats_22,6,1000.0,1.9876477986953942,1984,32
arousal,emg_bsl_stats_22,7,1000.0,2.041493831531114,1984,32
arousal,emg_bsl_stats_22,8,1000.0,1.9695518482137992,1984,32
arousal,emg_bsl_stats_22,9,1000.0,1.88979382621159,1984,32
arousal,emg_bsl_stats_22,10,1.0,2.031150955247045,1984,32
arousal,emg_bsl_stats_22,11,1000.0,2.2282806497506273,1984,32
arousal,emg_bsl_stats_22,12,1000.0,1.6658815293218456,1984,32
arousal,emg_bsl_stats_22,13,1000.0,2.0510468194337617,1984,32
arousal,emg_bsl_stats_22,14,1000.0,1.778633380466471,1984,32
arousal,emg_bsl_stats_22,15,1000.0,1.5759386487874514,1984,32
arousal,emg_bsl_stats_22,16,1000.0,1.9287039347262618,1984,32
arousal,emg_bsl_stats_22,17,1000.0,2.129333207839174,1984,32
arousal,emg_bsl_stats_22,18,1000.0,1.7681585778643856,1984,32
arousal,emg_bsl_stats_22,19,1000.0,1.670690838529204,1984,32
arousal,emg_bsl_stats_22,20,1000.0,1.9381463645865176,1984,32
arousal,emg_bsl_stats_22,21,1000.0,13.976644864118256,1984,32
arousal,emg_bsl_stats_22,22,1000.0,1.9810114994320924,1984,32
arousal,emg_bsl_stats_22,23,1000.0,1.9986116043871807,1984,32
arousal,emg_bsl_stats_22,24,1000.0,1.8463063729297517,1984,32
arousal,emg_bsl_stats_22,25,1000.0,1.7750462645032659,1984,32
arousal,emg_bsl_stats_22,26,1000.0,1.8904109947480723,1984,32
arousal,emg_bsl_stats_22,27,1000.0,6.046265991781338,1984,32
arousal,emg_bsl_stats_22,28,1000.0,2.2481602548912454,1984,32
arousal,emg_bsl_stats_22,29,1000.0,1.9326642933422242,1984,32
arousal,emg_bsl_stats_22,30,1000.0,2.3319095620196655,1984,32
arousal,emg_bsl_stats_22,31,1000.0,2.438540720370007,1984,32
arousal,emg_bsl_stats_22,32,1000.0,2.1055035740502324,1984,32
arousal,emg_bsl_stats_22,33,1000.0,1.9859850985281213,1984,32
arousal,emg_bsl_stats_22,34,1000.0,2.32606481890939,1984,32
arousal,emg_bsl_stats_22,35,1000.0,2.0571314834447936,1984,32
arousal,emg_bsl_stats_22,36,1000.0,6.928028739002839,1984,32
arousal,emg_bsl_stats_22,37,1000.0,2.012795548401693,1984,32
arousal,emg_bsl_stats_22,38,1000.0,2.265610876341334,1984,32
arousal,emg_bsl_stats_22,39,1000.0,1.7387017609345954,1984,32
arousal,emg_bsl_stats_22,40,1000.0,1.5862329474651187,1984,32
arousal,emg_bsl_stats_22,41,1000.0,1.928840679720585,1984,32
arousal,emg_bsl_stats_22,42,1000.0,5.127065672653902,1984,32
arousal,emg_bsl_stats_22,43,1000.0,2.3084920955561707,1984,32
arousal,emg_bsl_stats_22,44,1000.0,2.067437534898839,1984,32
arousal,emg_bsl_stats_22,45,1000.0,1.7463312395647461,1984,32
arousal,emg_bsl_stats_22,46,1000.0,2.0611000736030936,1984,32
arousal,emg_bsl_stats_22,47,1000.0,1.9373102543726224,1984,32
arousal,emg_bsl_stats_22,48,1.0,1.7479032683127305,1984,32
arousal,emg_bsl_stats_22,49,1000.0,1.6209575835138164,1984,32
arousal,emg_bsl_stats_22,50,1000.0,1.865801949483632,1984,32
arousal,emg_bsl_stats_22,52,1000.0,2.0059258201755434,1984,32
arousal,emg_bsl_stats_22,53,1000.0,2.166580286742296,1984,32
arousal,emg_bsl_stats_22,54,1000.0,2.0071655517874576,1984,32
arousal,emg_bsl_stats_22,55,1000.0,1.736566835330731,1984,32
arousal,emg_bsl_stats_22,56,1000.0,1.908250312489801,1984,32
arousal,emg_bsl_stats_22,57,1000.0,1.814330663165759,1984,32
arousal,emg_bsl_stats_22,58,1000.0,1.8032339598819593,1984,32
arousal,emg_bsl_stats_22,59,1000.0,2.285930413889329,1984,32
arousal,emg_bsl_stats_22,60,1000.0,1.9178733882743995,1984,32
arousal,emg_bsl_stats_22,61,1000.0,3.4533291086691973,1984,32
arousal,emg_bsl_stats_22,62,1000.0,1.9616004664798377,1984,32
arousal,emg_bsl_stats_22,63,1000.0,2.0678171810150414,1984,32
arousal,emg_bsl_stats_22,64,1000.0,2.0954712779625724,1984,32
arousal,emg_bsl_stats_22,65,1000.0,1.557869519340915,1984,32
valence,emg_expanded_812,1,1000.0,1.2871237027279774,1984,32
valence,emg_expanded_812,2,1000.0,1.2057909417346204,1984,32
valence,emg_expanded_812,3,1000.0,134407.0502910805,1984,32
valence,emg_expanded_812,5,1000.0,1.1266618867996836,1984,32
valence,emg_expanded_812,6,1000.0,1.2289043959085204,1984,32
